SOURCELONG:Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.wizards.com																								
																										
###Block: Spells																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
##Animate Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon becomes a construct.	SOURCEPAGE:Drac								
#Vipergout			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Good	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:1d4+3 summoned creatures		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:	SOURCEPAGE:SS								
#Air Breathing			TYPE:Divine.Arcane	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched		DURATION:2 hours/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subjects can breathe air freely.	SOURCEPAGE:SS								
Awaken Construct			TYPE:Divine.Arcane	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct		DURATION:Instantaneous	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Construct gains human intellect.	SOURCEPAGE:SS			XPCOST:5000					
#Awaken Undead			TYPE:Divine.Arcane	CLASSES:Cleric=6|Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle 25-ft radius plus 5-ft/2 levels		DURATION:Permanent	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Mindless undead creatures gain Int.	SOURCEPAGE:SS			XPCOST:200					
Awaken Undead (Divine)	OUTPUTNAME:Awaken Undead		TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle 25-ft radius plus 5-ft/2 levels		DURATION:Permanent	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Mindless undead creatures gain Int.	SOURCEPAGE:SS			XPCOST:200					
#Blindsight			TYPE:Divine.Arcane	CLASSES:Cleric=3|Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains blindsight 30-ft for 1 min/level.	SOURCEPAGE:SS								
Blindsight (Improved)	OUTPUTNAME:Blindsight, Improved		TYPE:Divine.Arcane	CLASSES:Cleric=5|Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains blindsight 60-ft for 1 min/level.	SOURCEPAGE:SS								
Blood Wind			TYPE:Divine.Arcane	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A single creature with intelligence of 4 or higher		DURATION:1 round/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject uses natural weapon as thrown weapon.	SOURCEPAGE:SS								
Bridge of Sound			TYPE:Divine.Arcane	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Sonic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bridge of sound 5-ft wide, 1-in thick and up to 10-ft/level long		DURATION:Concentration plus 1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Invisible bridge spans gap of 10 ft/level.	SOURCEPAGE:SS								
Buoyant Lifting			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing swimming or floating creature or object		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Water lifts creature 20-ft above surface.	SOURCEPAGE:SS								
Cacophonic Burst			TYPE:Arcane	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft radius burst		DURATION:Instantaneous	SAVEINFO:Reflex Half	SPELLRES:Yes	DESC:Noise deals 1d6/level sonic damage to all within area.	SOURCEPAGE:SS								
#Camouflage																	DESC:									
Cloud Wings			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:+30 ft to subject's fly speed.	SOURCEPAGE:SS								
Countermoon			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One lycanthrope		DURATION:12 hours	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Prevents lycanthrope from changing form.	SOURCEPAGE:SS								
Crawling Darkness			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:None	DESC:Shroud of tentacles conceals and protects you.	SOURCEPAGE:SS								
Dawn			TYPE:Divine	CLASSES:Druid=0|Ranger=1		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:All creature within a 15-ft radius burst centered on your		DURATION:Instantaneous	SAVEINFO:Fort Negates (Harm)	SPELLRES:Yes	DESC:Sleeping/unconscious creatures in area awaken.	SOURCEPAGE:SS								
Desiccating Bubble			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:3-ft radius sphere of air		DURATION:1 round/level	SAVEINFO:Reflex Negates	SPELLRES:Yes	DESC:Globe of air damages by evaporating moisture from target.	SOURCEPAGE:SS								
Dissonant Chant			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Abjuration		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:100-ft radius emanation		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Concentration checks more difficult within the area of spell.	SOURCEPAGE:SS								
Dream Casting			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 hour	RANGE:Unlimited	TARGETAREA:You and one dreamer		DURATION:1 day/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Alter subject's dreams to produce desired effect.	SOURCEPAGE:SS								
Earth Reaver			TYPE:Divine.Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread +10-ft/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Eruption deals 5d6/level damage to all in area.	SOURCEPAGE:SS								
#Embrace the Wild			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You gain senses, other traits of chosen animal.	SOURCEPAGE:SS								
Enlarge (Improved)	OUTPUTNAME:Enlarge, Improved		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature, or one object of up to 10-ft cubic/level in volume		DURATION:10 minutes/level	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:Subject remain enlarged for 10 minutes/level.	SOURCEPAGE:SS								
Extend Tentacles			TYPE:Divine.Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:+5 ft to reach of tentacle attack.	SOURCEPAGE:SS								
Fins to Feet			TYPE:Divine.Arcane	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:Transforms tails and fins onto legs and feet-	SOURCEPAGE:SS								
