SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
###Block: Special Abilities																																																																						
Beguiler Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Crossbow (Hand)|Rapier|Shortbow|Sword (Short)																												SOURCEPAGE:PHB2																																						
																																																																						
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page																																						
Beguiler Armored Mage	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO								BONUS:VAR|ArmoredMagePower|1																																																											
Dragon Shaman Breath Weapon Line	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DragonShamanBreathWeaponLineLVL|0	DEFINE:BreathWeaponDice|6		BONUS:VAR|BreathWeaponDice|(((DragonShamanBreathWeaponLineLVL-2)/2))	BONUS:VAR|BreathWeaponDC|DragonShamanBreathWeaponLineLVL/2	BONUS:VAR|BreathWeaponLine|min(90,(((DragonShamanBreathWeaponConeLVL+4)/8)*30))	BONUS:VAR|BreathWeaponLine|30|PREVARGTEQ:DragonShamanBreathWeaponLineLVL,20																																																								
Dragon Shaman Breath Weapon Cone	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DragonShamanBreathWeaponConeLVL|0	DEFINE:BreathWeaponDice|6		BONUS:VAR|BreathWeaponDice|(((DragonShamanBreathWeaponConeLVL-2)/2))	BONUS:VAR|BreathWeaponDC|DragonShamanBreathWeaponConeLVL/2	BONUS:VAR|BreathWeaponCone|min(45,(((DragonShamanBreathWeaponConeLVL+4)/8)*15))	BONUS:VAR|BreathWeaponCone|15|PREVARGTEQ:DragonShamanBreathWeaponConeLVL,20																																																								
Dragon Shaman Touch Of Vitality	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DragonShamanTouchOfVitalityLVL|0			BONUS:VAR|TouchOfVitalityHP|2*DragonShamanTouchOfVitalityLVL*max(0,CHA)																																																											
Dragon Shaman Natural Armor	CATEGORY:Special Ability	TYPE:Special	VISIBLE:YES	OUTPUTNAME:Natural Armor	DESC:+%1 natural on AC|DragonShamanNaturalArmor			DEFINE:DragonShamanNaturalArmor|0	DEFINE:DragonShamanNaturalArmorLVL|0		BONUS:COMBAT|AC|DragonShamanNaturalArmor|TYPE=NaturalArmor	BONUS:VAR|DragonShamanNaturalArmor|(DragonShamanNaturalArmorLVL-2)/5																																																										
Duskblade Armored Mage	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DuskbladeArmoredMageLVL|0			BONUS:VAR|ArmoredMagePower|1	BONUS:VAR|ArmoredMagePower|1|PREVARGTEQ:DuskbladeArmoredMageLVL,4	BONUS:VAR|ArmoredMageShield|1	BONUS:VAR|ArmoredMagePower|1|PREVARGTEQ:DuskbladeArmoredMageLVL,7																																																								
Duskblade Quick Cast	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DuskbladeQuickCastLVL|0			BONUS:VAR|QuickCastPerDay|DuskbladeQuickCastLVL/5																																																											
Duskblade Spell Power	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:DuskbladeSpellPowerLVL|0			BONUS:VAR|SpellPower|min(4,1+((DuskbladeSpellPowerLVL-1)/5))	BONUS:VAR|SpellPower|1|PREVARGTEQ:DuskbladeSpellPowerLVL,18																																																										
Knight Knight Challenge	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:KnightKnightChallengeLVL|0			BONUS:VAR|KnightChallengeLVL|KnightKnightChallengeLVL	BONUS:VAR|KnightChallengePerDay|max(1,(KnightKnightChallengeLVL/2)+CHA)																																																										
Knight Shield Block	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:KnightShieldBlockLVL|0			BONUS:VAR|ShieldBlockBonusAC|(KnightShieldBlockLVL+7)/9																																																											
