SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																																														
																																																
# BASICS																																																
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page							
Acrobatic Strike	TYPE:General.Fighter	VISIBLE:YES													PRESKILL:1,Tumble=12									DESC:See Text																	SOURCEPAGE:PHB2							
Active Shield Defense	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:1,Shield Specialization			PREMULT:1,[PREPROFWITHSHIELD:1,TYPE.Light,TYPE.Heavy],[PREFEAT:1,Shield Proficiency]															DESC:See Text																	SOURCEPAGE:PHB2							
Adaptable Flanker	TYPE:General.Fighter	VISIBLE:YES		PREATT:4		PREFEAT:2,Combat Reflexes,Vexing Flanker																		DESC:See Text																	SOURCEPAGE:PHB2							
Agile Shield Fighter	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:2,Shield Specialization,Improved Shield Bash			PREMULT:1,[PREPROFWITHSHIELD:1,TYPE.Light,TYPE.Heavy],[PREFEAT:1,Shield Proficiency]															DESC:See Text																	SOURCEPAGE:PHB2							
Arcane Accompaniment	TYPE:General	VISIBLE:YES				PREFEAT:1,Arcane Flourish			PREABILITY:1,CATEGORY=Special Ability,Bardic Music			PRESKILL:1,TYPE.Perform=4	PRECLASS:1,SPELLCASTER.Arcane=1											DESC:See Text																	SOURCEPAGE:PHB2							
Arcane Consumption	TYPE:General	VISIBLE:YES				PREFEAT:2,Arcane Toughness,Toughness							PRECLASS:1,SPELLCASTER.Arcane=6											DESC:See Text																	SOURCEPAGE:PHB2							
Arcane Flourish	TYPE:General	VISIBLE:YES										PRESKILL:1,TYPE.Perform=4	PRECLASS:1,SPELLCASTER.Arcane=1											DESC:See Text																	SOURCEPAGE:PHB2							
Arcane Thesis	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Arcana)=9	PRESPELLCAST:TYPE=Arcane											DESC:See Text	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[LEVELMIN=1;LEVELMAX=MAXCASTABLE]				BONUS:CASTERLEVEL|SPELL.%LIST|2										SOURCEPAGE:PHB2	SELECT:1						
Arcane Toughness	TYPE:General	VISIBLE:YES				PREFEAT:1,Toughness							PRECLASS:1,SPELLCASTER.Arcane=3											DESC:See Text																	SOURCEPAGE:PHB2							
Armor Specialization (Medium)	TYPE:General.Fighter	VISIBLE:YES		PREATT:12					PREMULT:1,[PREPROFWITHARMOR:1,TYPE.Medium],[PREFEAT:1,Armor Proficiency (Medium)]															DESC:See Text																	SOURCEPAGE:PHB2	DR:2/-|PREARMORTYPE:2,TYPE.Medium,TYPE.Masterwork						
Armor Specialization (Heavy)	TYPE:General.Fighter	VISIBLE:YES		PREATT:12					PREMULT:1,[PREPROFWITHARMOR:1,TYPE.Heavy],[PREFEAT:1,Armor Proficiency (Heavy)]															DESC:See Text																	SOURCEPAGE:PHB2	DR:2/-|PREARMORTYPE:2,TYPE.Heavy,TYPE.Masterwork						
Battle Dancer	TYPE:General	VISIBLE:YES		PREATT:2		PREABILITY:1,CATEGORY=Special Ability,Bardic Music																		DESC:See Text																	SOURCEPAGE:PHB2							
Bonded Familiar	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:See Text																	SOURCEPAGE:PHB2							
Bounding Assault	TYPE:General.AttackOption	VISIBLE:YES		PREATT:12		PREFEAT:3,Dodge,Mobility,Spring Attack									PRESTAT:1,DEX=13									DESC:See Text																	SOURCEPAGE:PHB2							
Brutal Strike	TYPE:General.Fighter	VISIBLE:YES		PREATT:6		PREFEAT:1,Power Attack									PRESTAT:1,STR=13									DESC:See Text																	SOURCEPAGE:PHB2							
Combat Acrobat	TYPE:General.Fighter	VISIBLE:YES										PRESKILL:2,Balance=9,Tumble=9												DESC:See Text																	SOURCEPAGE:PHB2							
Combat Familiar	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar							PRECLASS:1,SPELLCASTER.Arcane=1											DESC:See Text																	SOURCEPAGE:PHB2							
Combat Tactician	TYPE:General	VISIBLE:YES		PREATT:12		PREFEAT:1,Dodge									PRESTAT:1,DEX=13									DESC:See Text																	SOURCEPAGE:PHB2							
Cometary Collision	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:2,Improved Bull Rush,Power Attack									PRESTAT:1,STR=13									DESC:See Text																	SOURCEPAGE:PHB2							
Companion Spellbond	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Animal Companion																		DESC:See Text																	SOURCEPAGE:PHB2							
Crossbow Sniper	TYPE:General	VISIBLE:YES		PREATT:1		PREFEAT:1,Weapon Focus(TYPE=Crossbow)			PREWEAPONPROF:1,TYPE.Crossbow															DESC:See Text	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[TYPE=Crossbow,FEAT=Weapon Focus]						BONUS:WEAPONPROF=%LIST|TOHIT|max(0,DEX/2)|PREEQUIP:1,TYPE=Ranged								SOURCEPAGE:PHB2							
Crushing Strike	TYPE:General	VISIBLE:YES				PREFEAT:1,Weapon Focus(TYPE=Bludgeoning)	PREFEAT:1,Melee Weapon Mastery (Bludgeoning)	PREFEAT:1,Weapon Specialization(TYPE=Bludgeoning)	PREWEAPONPROF:1,TYPE.Bludgeoning															DESC:See Text	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|BardicMusicTimes|4			SOURCEPAGE:PHB2							
Cunning Evasion	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Evasion						PRESKILL:1,Hide=9												DESC:See Text																	SOURCEPAGE:PHB2							
Dampen Spell	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Counterspell																		DESC:See Text																	SOURCEPAGE:PHB2							
Deadeye Shot	TYPE:General.Fighter	VISIBLE:YES		PREATT:4		PREFEAT:2,Point Blank Shot,Precise Shot			PREABILITY:1,CATEGORY=Special Ability,Sneak Attack,Skirmish Attack						PRESTAT:1,CHA=13									DESC:See Text								BONUS:CHECKS|Will|max(WIS,CHA)-WIS									SOURCEPAGE:PHB2							
Defensive Sweep	TYPE:General.Fighter	VISIBLE:YES		PREATT:15																				DESC:See Text																	SOURCEPAGE:PHB2							
Driving Attack	TYPE:General	VISIBLE:YES		PREATT:14		PREFEAT:1,Weapon Focus(TYPE=Piercing)	PREFEAT:1,Melee Weapon Mastery (Piercing)	PREFEAT:1,Weapon Specialization(TYPE=Piercing)	PREWEAPONPROF:1,TYPE.Piercing															DESC:See Text																	SOURCEPAGE:PHB2							
Elven Spell Lore	TYPE:General	VISIBLE:YES																		PREMULT:1,[PRESTAT:1,INT=17],[PREMULT:1,[PRERACE:1,Elf%],[PRERACE:1,RACESUBTYPE=Elf]]				DESC:See Text	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[KNOWN=YES]	SELECT:1													SOURCEPAGE:PHB2
Fade into Violence	TYPE:General	VISIBLE:YES										PRESKILL:1,Bluff=6,Hide=6												DESC:See Text																	SOURCEPAGE:PHB2							
Fiery Fist	TYPE:General.Fighter	VISIBLE:YES		PREATT:8		PREFEAT:2,Improved Unarmed Strike,Stunning Fist									PRESTAT:2,DEX=13,WIS=13									DESC:See Text														BONUS:VAR|StunningFistAttack|1			SOURCEPAGE:PHB2							
Fiery Ki Defense	TYPE:General.Fighter	VISIBLE:YES		PREATT:8		PREFEAT:3,Improved Unarmed Strike,Stunning Fist,Fiery Fist									PRESTAT:2,DEX=13,WIS=13									DESC:See Text																	SOURCEPAGE:PHB2							
Flay	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:1,Power Attack									PRESTAT:1,STR=13									DESC:See Text																	SOURCEPAGE:PHB2							
Grenadier	TYPE:General.Fighter	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:PHB2							
Hindering Opportunist	TYPE:General	VISIBLE:YES		PREATT:3		PREFEAT:1,Combat Reflexes																		DESC:See Text																	SOURCEPAGE:PHB2							
Intimidating Strike	TYPE:General.Fighter	VISIBLE:YES										PRESKILL:1,Intimidate=4												DESC:See Text																	SOURCEPAGE:PHB2							
Indomitable Soul	TYPE:General	VISIBLE:YES				PREFEAT:2,Endurance,Iron Will						PRESKILL:1,Concentration=8												DESC:See Text																	SOURCEPAGE:PHB2							
Keen Eared Scout	TYPE:General	VISIBLE:YES	OUTPUTNAME:Keen-Eared Scout			PREFEAT:1,Alertness,Skill Focus(Listen)						PRESKILL:1,Listen=6												DESC:See Text																	SOURCEPAGE:PHB2							
