SOURCELONG:Power of Faerun	SOURCESHORT:PoF	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Alarm.MOD	CLASSES:Merchant Prince=1	
Charm Person.MOD	CLASSES:Merchant Prince=1	
Comprehend Languages.MOD	CLASSES:Merchant Prince=1	
Create Water.MOD	CLASSES:Merchant Prince=1	
Cure Minor Wounds.MOD	CLASSES:Merchant Prince=1	
Detect Magic.MOD	CLASSES:Merchant Prince=1	
Erase.MOD	CLASSES:Merchant Prince=1	
Expeditious Retreat.MOD	CLASSES:Merchant Prince=1	
Feather Fall.MOD	CLASSES:Merchant Prince=1	
Know Direction.MOD	CLASSES:Merchant Prince=1	
Mage Armor.MOD	CLASSES:Merchant Prince=1	
Mage Hand.MOD	CLASSES:Merchant Prince=1	
Message.MOD	CLASSES:Merchant Prince=1	
Mount.MOD	CLASSES:Merchant Prince=1	
Prestidigitation.MOD	CLASSES:Merchant Prince=1	
Purify Food and Drink.MOD	CLASSES:Merchant Prince=1	
Read Magic.MOD	CLASSES:Merchant Prince=1	
Shield.MOD	CLASSES:Merchant Prince=1	
Unseen Servant.MOD	CLASSES:Merchant Prince=1	
Arcane Lock.MOD	CLASSES:Merchant Prince=2	
Continual Flame.MOD	CLASSES:Merchant Prince=2	
Cure Light Wounds.MOD	CLASSES:Merchant Prince=2	
Detect Thoughts.MOD	CLASSES:Merchant Prince=2	
Endure Elements.MOD	CLASSES:Merchant Prince=2	
Identify.MOD	CLASSES:Merchant Prince=2	
Locate Object.MOD	CLASSES:Merchant Prince=2	
Obscure Object.MOD	CLASSES:Merchant Prince=2	
Leomund's Tiny Hut.MOD	CLASSES:Merchant Prince=2	
Leomund's Trap.MOD	CLASSES:Merchant Prince=2	
Make Whole.MOD	CLASSES:Merchant Prince=2	
Misdirection.MOD	CLASSES:Merchant Prince=2	
Nystul's Magic Aura.MOD	CLASSES:Merchant Prince=2	
#Nystul's Undetectable Aura.MOD	CLASSES:Merchant Prince=2	
Protection from Arrows.MOD	CLASSES:Merchant Prince=2	
Tenser's Floating Disk.MOD	CLASSES:Merchant Prince=2	
Undetectable Alignment.MOD	CLASSES:Merchant Prince=2	
Whispering Wind.MOD	CLASSES:Merchant Prince=2	
Analyze Portal.MOD	CLASSES:Merchant Prince=3	
Create Food and Water.MOD	CLASSES:Merchant Prince=3	
Eagle's Splendor.MOD	CLASSES:Merchant Prince=3	
Fool's Gold.MOD	CLASSES:Merchant Prince=3	
Fox's Cunning.MOD	CLASSES:Merchant Prince=3	
Gembomb.MOD	CLASSES:Merchant Prince=3	
Knock.MOD	CLASSES:Merchant Prince=3	
Leomund's Secure Shelter.MOD	CLASSES:Merchant Prince=3	
Magic Mouth.MOD	CLASSES:Merchant Prince=3	
Owl's Wisdom.MOD	CLASSES:Merchant Prince=3	
Phantom Steed.MOD	CLASSES:Merchant Prince=3	
Resist Energy.MOD	CLASSES:Merchant Prince=3	
Secret Page.MOD	CLASSES:Merchant Prince=3	
See Invisibility.MOD	CLASSES:Merchant Prince=3	
Speak with Animals.MOD	CLASSES:Merchant Prince=3	
Tongues.MOD	CLASSES:Merchant Prince=3	
Arcane Mark.MOD	CLASSES:Court Herald=0	
Dancing Lights.MOD	CLASSES:Court Herald=0	
Detect Magic.MOD	CLASSES:Court Herald=0	
Detect Poison.MOD	CLASSES:Court Herald=0	
Light.MOD	CLASSES:Court Herald=0	
Mage Hand.MOD	CLASSES:Court Herald=0	
Mending.MOD	CLASSES:Court Herald=0	
Message.MOD	CLASSES:Court Herald=0	
Open/Close.MOD	CLASSES:Court Herald=0	
Read Magic.MOD	CLASSES:Court Herald=0	
Alarm.MOD	CLASSES:Court Herald=1	
Comprehend Languages.MOD	CLASSES:Court Herald=1	
Erase.MOD	CLASSES:Court Herald=1	
Feather Fall.MOD	CLASSES:Court Herald=1	
Identify.MOD	CLASSES:Court Herald=1	
Mage Armor.MOD	CLASSES:Court Herald=1	
Silence.MOD	CLASSES:Court Herald=1	
Silent Image.MOD	CLASSES:Court Herald=1	
Unseen Servant.MOD	CLASSES:Court Herald=1	
Arcane Lock.MOD	CLASSES:Court Herald=2	
Blur.MOD	CLASSES:Court Herald=2	
Darkness.MOD	CLASSES:Court Herald=2	
Darkvision.MOD	CLASSES:Court Herald=2	
Detect Thoughts.MOD	CLASSES:Court Herald=2	
Eagle's Splendor.MOD	CLASSES:Court Herald=2	
Invisibility.MOD	CLASSES:Court Herald=2	
Levitate.MOD	CLASSES:Court Herald=2	
Locate Object.MOD	CLASSES:Court Herald=2	
Magic Mouth.MOD	CLASSES:Court Herald=2	
Minor Image.MOD	CLASSES:Court Herald=2	
Mirror Image.MOD	CLASSES:Court Herald=2	
Misdirection.MOD	CLASSES:Court Herald=2	
Obscure Object.MOD	CLASSES:Court Herald=2	
Arcane Sight.MOD	CLASSES:Court Herald=3	
