SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#Ninja Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Crossbow (Hand)|Kama|Kukri|Nunchaku|Sai|Shortbow|Sword (Short)|Shuriken|Siangham						SAB:Daisho Proficiency (Ex)	ADD:FEAT|Exotic Weapon Proficiency(Sword (Bastard))																					SOURCEPAGE:MM2

# Ability Name																																
CATEGORY=Special Ability|Summon Familiar.MOD	COMPANIONLIST:Familiar|Fire Bat|FOLLOWERADJUSTMENT:-14|PRECLASS:1,SPELLCASTER.Arcane=15|PREFEAT:1,Improved Familiar|PRERACE:1,RACESUBTYPE=Fire
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Dire Animal (Dire Toad)|FOLLOWERADJUSTMENT:-3	COMPANIONLIST:Animal Companion|Dire Animal (Dire Hawk)|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Animal Companion|Dinosaur (Allosaurus),Dire Animal (Dire Horse),Dire Animal (Dire Snake)|FOLLOWERADJUSTMENT:-9	COMPANIONLIST:Animal Companion|Dinosaur (Ankylosaurus),Dire Animal (Dire Elk)|FOLLOWERADJUSTMENT:-12	COMPANIONLIST:Animal Companion|Dinosaur (Quetzalcoatlus),Dire Animal (Dire Elephant),Grizzly Mastodon|FOLLOWERADJUSTMENT:-15																											
Training ~ Asperi	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 22 young, DC 29 adult	OUTPUTNAME:Trainable																											SOURCEPAGE:MM2			
Training ~ Corollax	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 23	OUTPUTNAME:Trainable																											SOURCEPAGE:MM2			

# Ability Name																																
#Ninja AC	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaAC|0	DEFINE:NinjaACLVL|0				BONUS:COMBAT|AC|max(WIS,0)+NinjaAC|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|NinjaAC|(NinjaACLVL)/5																	SOURCEPAGE:MM2
Asperi Feather Fall	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FeatherFallPerDay|4	BONUS:VAR|FeatherFallLVL|4																	SOURCEPAGE:MM2
Avolakia Defensive Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DefensiveAuraBonus|CHA																		SOURCEPAGE:MM2
Banshee Detect Living	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DetectLivingPerDay|3																		SOURCEPAGE:MM2
Banshee Horrific Appearance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|HorrificAppearanceRadius|60																		SOURCEPAGE:MM2
Banshee Stunt Plants	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|StuntPlantsPerDay|1																		SOURCEPAGE:MM2
Bladeling Razor Storm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|RazormStormPerDay|1																		SOURCEPAGE:MM2
Blood Ape Rend	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|RendDice|2	BONUS:VAR|RendDie|4																	SOURCEPAGE:MM2
Boggle Dimension Door	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DimensionDoorPerDay|6	BONUS:VAR|DimensionDoorLVL|7																	SOURCEPAGE:MM2
Boggle Grease	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|GreaseDuration|HD																		SOURCEPAGE:MM2
Boggle Rend	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|RendDice|2	BONUS:VAR|RendDie|4																	SOURCEPAGE:MM2
Gambol Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|100	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Gold Clockwork Horror	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|LightningBoltRange|40	BONUS:VAR|LightningBoltDamageDie|6																	SOURCEPAGE:MM2
Julajimus Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|20	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Kelvezu Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:KelvezuSneakAttackLVL|HD					BONUS:VAR|SneakAttackDice|(KelvezuSneakAttackLVL+2)/3*2																		SOURCEPAGE:MM2
Lupinal Dodge Missiles	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DodgeMissilesPerRound|3																		SOURCEPAGE:MM2
Lupinal Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|600	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Malebranche Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraDC|10+(HD/2)+CHA	BONUS:VAR|FearAuraRadius|15																	SOURCEPAGE:MM2
Meenlock Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|30	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Moonbeast Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|60	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Mountain Giant Crush	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|CrushDice|2	BONUS:VAR|CrushDamageDie|6	BONUS:VAR|CrushDamageDie|STR*3/2																SOURCEPAGE:MM2
Phoenix Defensive Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DefensiveAuraBonus|5																		SOURCEPAGE:MM2
Platinum Clockwork Horror	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|LightningBoltRange|80	BONUS:VAR|LightningBoltDamageDie|12																	SOURCEPAGE:MM2
Ragewind Blade Fury	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|BladeFuryPerDay|3																		SOURCEPAGE:MM2
Rampager Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|30	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Rukarazyll Profane Alacrity	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ProfaneAlacrityBonus|3																		SOURCEPAGE:MM2
Sirine Deflection	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DeflectionBonus|CHA																		SOURCEPAGE:MM2
Spawn of Kyuss Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|40	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Spirit of the Land Elemental Manifestation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ElementalManifestationPerDay|1																		SOURCEPAGE:MM2
Tempest Defensive Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DefensiveAuraBonus|7+CHA																		SOURCEPAGE:MM2
Vaporighu Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|30	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
Yak Folk Body Meld	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|BodyMeldPerDay|1																		SOURCEPAGE:MM2
Infernal Aura ~ Hellfire Wyrm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|InfernalAuraRadius|5	BONUS:VAR|InfernalAuraDie|5	BONUS:VAR|InfernalAuraDamageDie|4																SOURCEPAGE:MM2
Dragon Amethyst Explosive Gem	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DragonAmethistExplosiveGemLVL|0					BONUS:VAR|ExplosivesGemsDice|5	BONUS:VAR|ExplosivesGemsDC|17+DragonAge	BONUS:VAR|ExplosivesGemsDice|4|PREVARGTEQ:DragonAmethistExplosiveGemLVL,27	BONUS:VAR|ExplosivesGemsDice|4|PREVARGTEQ:DragonAmethistExplosiveGemLVL,33															SOURCEPAGE:MM2
Dragon Amethyst Body Equilibrium	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|BodyEquilibriumPerDay|1																		SOURCEPAGE:MM2
Dragon Amethyst Amethyst Telekinesis	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|AmethystTelekinesisPerDay|1																		SOURCEPAGE:MM2
Dragon Emerald Shield Of Prudence	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ShieldOfPrudence|3																		SOURCEPAGE:MM2
Death Knight Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FearAuraRadius|15	BONUS:VAR|FearAuraDC|10+(HD/2)+CHA																	SOURCEPAGE:MM2
																																
Trick ~ Mimic Phrases	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PRERACE:1,Corollax													DESC:Mimics Phrase ~ DC 23 ~ A corollax can be trained to repeat a particular phrases. Up to 9 phrases can be memorized each one with a different Handle Animal check.	SOURCEPAGE:MM2
