SOURCELONG:Dungeon's Master Guide 2	SOURCESHORT:DMG2	SOURCEWEB:http://www.gozzilioni.net																											
																													
###Block:Armor abilities																													
# Modifier Name	Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
RST_ACD.MOD		ITYPE:AcidResistance																						SPROP:Acid Resistance %1|ResistAcid	DEFINE:ResistAcid|0				BONUS:VAR|ResistAcid|10|TYPE=Base
RES_ACD_GRT.MOD		ITYPE:AcidResistance																						SPROP:Acid Resistance %1|ResistAcid	DEFINE:ResistAcid|0				BONUS:VAR|ResistAcid|30|TYPE=Base
RST_ACD_IMP.MOD		ITYPE:AcidResistance																						SPROP:Acid Resistance %1|ResistAcid	DEFINE:ResistAcid|0				BONUS:VAR|ResistAcid|20|TYPE=Base
RST_CLD.MOD		ITYPE:ColdResistance																						SPROP:Cold Resistance %1|ResistCold	DEFINE:ResistCold|0				BONUS:VAR|ResistCold|10|TYPE=Base
RES_CLD_GRT.MOD		ITYPE:ColdResistance																						SPROP:Cold Resistance %1|ResistCold	DEFINE:ResistCold|0				BONUS:VAR|ResistCold|30|TYPE=Base
RST_CLD_IMP.MOD		ITYPE:ColdResistance																						SPROP:Cold Resistance %1|ResistCold	DEFINE:ResistCold|0				BONUS:VAR|ResistCold|20|TYPE=Base
RST_ELE.MOD		ITYPE:ElectricityResistance																						SPROP:Electricity Resistance %1|ResistElectricity	DEFINE:ResistElectricity|0				BONUS:VAR|ResistElectricity|10|TYPE=Base
RES_ELE_GRT.MOD		ITYPE:ElectricityResistance																						SPROP:Electricity Resistance %1|ResistElectricity	DEFINE:ResistElectricity|0				BONUS:VAR|ResistElectricity|30|TYPE=Base
RST_ELE_IMP.MOD		ITYPE:ElectricityResistance																						SPROP:Electricity Resistance %1|ResistElectricity	DEFINE:ResistElectricity|0				BONUS:VAR|ResistElectricity|20|TYPE=Base
RST_FR.MOD		ITYPE:FireResistance																						SPROP:Fire Resistance %1|ResistFire	DEFINE:ResistFire|0				BONUS:VAR|ResistFire|10|TYPE=Base
RES_FR_GRT.MOD		ITYPE:FireResistance																						SPROP:Fire Resistance %1|ResistFire	DEFINE:ResistFire|0				BONUS:VAR|ResistFire|30|TYPE=Base
RST_FR_IMP.MOD		ITYPE:FireResistance																						SPROP:Fire Resistance %1|ResistFire	DEFINE:ResistFire|0				BONUS:VAR|ResistFire|20|TYPE=Base
RST_SNC.MOD		ITYPE:SonicResistance																						SPROP:Sonic Resistance %1|ResistSonic	DEFINE:ResistSonic|0				BONUS:VAR|ResistSonic|10|TYPE=Base
RES_SNC_GRT.MOD		ITYPE:SonicResistance																						SPROP:Sonic Resistance %1|ResistSonic	DEFINE:ResistSonic|0				BONUS:VAR|ResistSonic|30|TYPE=Base
RST_SNC_IMP.MOD		ITYPE:SonicResistance																						SPROP:Sonic Resistance %1|ResistSonic	DEFINE:ResistSonic|0				BONUS:VAR|ResistSonic|20|TYPE=Base
SPELL_RES_13.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|13				
SPELL_RES_15.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|15				
SPELL_RES_17.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|17				
SPELL_RES_19.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|19				
SPELL_RES_21.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|21				
SPELL_RES_23.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|23				
SPELL_RES_25.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|25				
SPELL_RES_27.MOD		ITYPE:SpellResistance												SR:ArmorSpellResistance											DEFINE:ArmorSpellResistance|27				
MGC_EAT_13.MOD		ITYPE:SpellResistance																											
# Modifier Name																													
Energy Defense	KEY:NRG_DEF_ACD	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:2,Enhancement.Resistance],[PRETYPE:1,Armor,Shield]	PRETYPE:1,AcidResistance														SPROP:Increase energy resistance by 2					BONUS:VAR|ResistAcid|2
Energy Defense	KEY:NRG_DEF_CLD	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:2,Enhancement.Resistance],[PRETYPE:1,Armor,Shield]	PRETYPE:1,ColdResistance														SPROP:Increase energy resistance by 2					BONUS:VAR|ResistCold|2
Energy Defense	KEY:NRG_DEF_ELE	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:2,Enhancement.Resistance],[PRETYPE:1,Armor,Shield]	PRETYPE:1,ElectricityResistance														SPROP:Increase energy resistance by 2					BONUS:VAR|ResistElectricity|2
Energy Defense	KEY:NRG_DEF_FR	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:2,Enhancement.Resistance],[PRETYPE:1,Armor,Shield]	PRETYPE:1,FireResistance														SPROP:Increase energy resistance by 2					BONUS:VAR|ResistFire|2
Energy Defense	KEY:NRG_DEF_SNC	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:2,Enhancement.Resistance],[PRETYPE:1,Armor,Shield]	PRETYPE:1,SonicResistance														SPROP:Increase energy resistance by 2					BONUS:VAR|ResistSonic|2
Energy Immunity	KEY:NRG_IMM_ACD	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Gain immunity to an element (Acid, Cold, Electricity, Fire) 1/day for 13 minutes as immediate or standard action.					
