SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net
		
#Weapon Groupings used to facilitate homebrews:		
#	Sword, Spear, Axe, Bow, Unarmed	
#	Melee, Ranged, Thrown, Spell	
#	Bludgeoning, Slashing, Piercing	
#	TwoHanded, DoubleWeapon, MeleeTwoHanded, Reach	
#	MeleeSlashing, MeleePiercing, MeeleBludgeoning, RangedSlashing, RangedPiercing, RangedBludgeoning	
#	RangedTouch	
Axe (Ice)	TYPE:Martial.Exotic.Melee.Piercing.Slashing.MeleeSlashing.MeleePiercing.OneHanded.Axe	
Iuak	TYPE:Martial.Exotic.Melee.Slashing.MeleeSlashing.ExoticSlashing.OneHanded.Dagger
Club (Tigerskull)	TYPE:Exotic.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.OneHanded.Club	
#
Goad	TYPE:Exotic.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.TwoHanded.Mace
Ritiik	TYPE:Exotic.Melee.Piercing.MeleePiercing.TwoHanded.Spear
Sugliin	TYPE:Exotic.Melee.Piercing.Slashing.MeleePiercing.MeleeSlashing.TwoHanded.Scythe
#
Glot	TYPE:Exotic.Ranged.Bludgeoning.RangedBludgeoning.OneHanded
Harpoon	TYPE:Exotic.Melee.Ranged.Piercing.MeleePiercing.RangedPiercing.OneHanded.Harpoon
Icechucker	TYPE:Exotic.Ranged.Piercing.RangedPiercing.TwoHanded.Crossbow
Razor Skipdisk	TYPE:Exotic.Ranged.Piercing.RangedPiercing.OneHanded
#
Steelclaw	TYPE:Exotic.Melee.Piercing.Slashing.MeleePiercing.MeleeSlashing.Light
#		
Bolas.MOD	TYPE:Primitive.PrimitiveMelee	
Harpoon.MOD	TYPE:Primitive.PrimitiveMelee	
Club.MOD	TYPE:Primitive.PrimitiveMelee	
Dart.MOD	TYPE:Primitive.PrimitiveMelee	
Greatclub.MOD	TYPE:Primitive.PrimitiveMelee	
Goad.MOD	TYPE:Primitive.PrimitiveMelee	
Iuak.MOD	TYPE:Primitive.PrimitiveMelee	
Javelin.MOD	TYPE:Primitive.PrimitiveMelee	
Longspear.MOD	TYPE:Primitive.PrimitiveMelee	
Quarterstaff.MOD	TYPE:Primitive.PrimitiveMelee	
Ritiik.MOD	TYPE:Primitive.PrimitiveMelee	
Shortbow.MOD	TYPE:Primitive.PrimitiveMelee	
Shortspear.MOD	TYPE:Primitive.PrimitiveMelee	
Sling.MOD	TYPE:Primitive.PrimitiveMelee	
Spear.MOD	TYPE:Primitive.PrimitiveMelee	
Sugliin.MOD	TYPE:Primitive.PrimitiveMelee	
Axe (Throwing).MOD	TYPE:Primitive.PrimitiveMelee	
Club (Tigerskull).MOD	TYPE:Primitive.PrimitiveMelee	
