SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																															
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
#Human																																																																	
Human (Cold Seafarer)	OUTPUTNAME:Human, Cold Seafarer	FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
Human (Everfrost Barbarian)	OUTPUTNAME:Human, Everfrost Barbarian	FAVCLASS:Barbarian	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default|Human Everfrost Barbarian Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
Human (Icefolk)	OUTPUTNAME:Human, Icefolk	FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
Human (Mountain Folk)	OUTPUTNAME:Human, Mountain Folk	FAVCLASS:Ranger	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default|Human Mountain Folk Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
Human (Neanderthal)	OUTPUTNAME:Human, Neanderthal	FAVCLASS:Barbarian	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:Dwarven,Giant,Orc							BONUS:STAT|STR|2	BONUS:STAT|DEX|-2	BONUS:STAT|CON|2	BONUS:STAT|INT|-2														LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default|Human Neanderthal Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Dwarf																																																																	
Dwarf (Glacier)	OUTPUTNAME:Dwarf, Glacier	FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Dwarven	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Undercommon									BONUS:STAT|CON|2			BONUS:STAT|CHA|-2					UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor							LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default|Dwarf Glacier Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Elf																																																																	
Elf (Snow)	OUTPUTNAME:Elf, Snow	FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:Draconic,Gnoll,Gnome,Goblin,Orc,Sylvan								BONUS:STAT|DEX|2				BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Gnome																																																																	
Gnome (Ice)	OUTPUTNAME:Gnome, Ice	FAVCLASS:Bard		STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Gnome	LANGBONUS:Draconic,Dwarven,Elven,Giant,Goblin,Orc							BONUS:STAT|STR|-2		BONUS:STAT|CON|2															LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Gnome Racial Trait Default|Gnome Ice Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Gnome	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Half-Elf																																																																	
Half-Elf (Ice/FRO)	OUTPUTNAME:Half-Elf (Ice)	FAVCLASS:HIGHESTLEVELCLASS		STARTFEATS:2	SIZE:M	MOVE:Walk,31	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Elf|Elf	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Half-Orc																																																																	
Half-Orc (Ice/FRO)	OUTPUTNAME:Half-Orc (Ice)	FAVCLASS:Barbarian		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Orc	LANGBONUS:Damaran,Giant,Gnoll,Goblin,Illuskan,Undercommon									BONUS:STAT|STR|2			BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2										LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Orc Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Orc|Orc	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Halfling																																																																	
Halfling (Tundra)	OUTPUTNAME:Halfling, Tundra	FAVCLASS:Ranger		STARTFEATS:1	SIZE:S	MOVE:Walk,20		FACE:5	REACH:5			AUTO:LANG|Common|Halfling	LANGBONUS:Dwarven,Elven,Gnome,Goblin,Orc										BONUS:STAT|STR|-2	BONUS:STAT|DEX|2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Halfling Racial Trait Default|Halfling Tundra Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Halfling	TYPE:PC							CR:1/2	SOURCEPAGE:Fro	
#Altro																																																																	
Uldra		FAVCLASS:Druid		STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	VISION:Low-Light|Darkvision (120')			AUTO:LANG|Common|Sylvan	LANGBONUS:ALL							BONUS:STAT|STR|-2		BONUS:STAT|CON|2		BONUS:STAT|WIS|2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Uldra Racial Trait Default										RACETYPE:Fey	RACESUBTYPE:Uldra	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:Fro	
