SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	Domains granting the spell	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	Components	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
#Alamanther's Return			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:See text	TARGETAREA:One spell or spell-like abilities.		DURATION:See text	SAVEINFO:See text	SPELLRES:See Text	DESC:See text	SOURCEPAGE:MoF		COST:50	XPCOST:1000					
Algid Enhancement			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One cold creature/level		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Grant bonuses to creatures of the cold subtype.	SOURCEPAGE:Fro		COST:50						
Animate Snow			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to a 20-ft cube of snow.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turns snow into creatures to fight for you.	SOURCEPAGE:Fro								
Anticold Sphere			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft	TARGETAREA:10-ft radius emanation, centered on you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Mobile energy field provides immunity to cold.	SOURCEPAGE:Fro								
Arctic Gaze			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spread in a 30-ft radius, 20 ft high.		DURATION:10 minutes/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Fog obscures vision and deals 4 cold damage/round.	SOURCEPAGE:Fro								
Aura of Cold (Greater)	OUTPUTNAME:Aura of Cold, Greater		TYPE:Divine	CLASSES:Cleric=7|Druid=7		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10 ft	TARGETAREA:10-ft radius spherical emanation, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Intense cold deals 2d6 damage to creatures within 10-ft.	SOURCEPAGE:Fro								
Aura of Cold (Lesser)	OUTPUTNAME:Aura of Cold, Lesser		TYPE:Divine	CLASSES:Cleric=3|Druid=3|Paladin=4|Ranger=4		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:5 ft	TARGETAREA:5-ft radius spherical emanation, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Intense cold deals 1d6 damage to creatures within 5-ft.	SOURCEPAGE:Fro								
Binding Snow			TYPE:Divine	CLASSES:Cleric=3|Druid=3|Paladin=3|Ranger=3		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, DF, Frostfell	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one 10-ft square/level.		DURATION:1 hour/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Snow freezes, impeding movement.	SOURCEPAGE:Fro								
Blizzard			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft radius/level spread.		DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:No	DESC:Temperature drops and powerful blizzard reduces visibility to zero.	SOURCEPAGE:Fro								
Blood Snow			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft square of snow/level.		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Area of fallen  snow drains 1d2 points of Con/round and causes nausea.	SOURCEPAGE:Fro								
Bone Chill			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:No	DESC:Corporeal undead are held by thick layer of frost.	SOURCEPAGE:Fro								
Boreal Wind			TYPE:Arcane	CLASSES:Bard=5|Cleric=5|Druid=4|Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Gust of wind (20-ft wide, 20-ft high) emanating from you to the extreme of the range.		DURATION:1 round/2 levels + 1 round	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Gust of wind deals 1d4 cold damage/level and knocks creatures back.	SOURCEPAGE:Fro								
Brumal Stiffening			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Brittle weapon's hardness reduced by 5.	SOURCEPAGE:Fro								
Call Avalanche			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:10-ft radius/level spread.		DURATION:Instantaneous	SAVEINFO:Reflex half; See text.	SPELLRES:No	DESC:Avalanche of ice and snow falls from sky, burying subjects.	SOURCEPAGE:Fro								
Column of Ice			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One column on ice, 10-ft radius and 5-ft/level in height.		DURATION:Permanent	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Column of ice erupts from ground, lifting anything in its area into the air.	SOURCEPAGE:Fro								
Cometstrike			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three different creature or objects.		DURATION:3 rounds	SAVEINFO:Reflex partial	SPELLRES:No	DESC:Three comets per round strike targets, each dealing 3d6 bludgeoning damage and 1d4/level cold damage.	SOURCEPAGE:Fro								
Conjure Ice Beast I			TYPE:Divine	CLASSES:Cleric=1|Druid=1|Ranger=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One conjured ice creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast II			TYPE:Divine	CLASSES:Cleric=2|Druid=2|Ranger=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast III			TYPE:Divine	CLASSES:Cleric=3|Druid=3|Ranger=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast IV			TYPE:Divine	CLASSES:Cleric=4|Druid=4|Ranger=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast V			TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast VI			TYPE:Divine	CLASSES:Cleric=6|Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast VII			TYPE:Divine	CLASSES:Cleric=7|Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast VIII			TYPE:Divine	CLASSES:Cleric=8|Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Beast IX			TYPE:Divine	CLASSES:Cleric=9|Druid=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creature, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro								
Conjure Ice Object			TYPE:Divine	CLASSES:Cleric=2|Druid=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Conjures an object made of ice.	SOURCEPAGE:Fro								
Control Snow and Ice			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Ice and snow in a volume of 10-ft/level by 10-ft/level by 2-ft/level		DURATION:10 minutes/level.	SAVEINFO:None	SPELLRES:No	DESC:Raise or lower ice or snow.	SOURCEPAGE:Fro								
Control Temperature			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:Cold|Fire	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:20 ft/level	TARGETAREA:20 cu ft/level emanation, centered on you.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Raise or lower temperature by one band/5 levels.	SOURCEPAGE:Fro								
Crack Ice			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft radius/level spread; or one ice creature.		DURATION:Instantaneous	SAVEINFO:Fortitude half; See text	SPELLRES:Yes	DESC:Shatters ice structures or ice creatures.	SOURCEPAGE:Fro		COST:50						
Crunchy Snow			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, Frostfell	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 20-ft by 20-ft square of snow/level.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:-20 penalty on Move Silently checks in area.	SOURCEPAGE:Fro								
Death Hail			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold|Death	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Cylinder (40-ft radius, 20-ft high)		DURATION:1 round/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Summons a storm of death hail.	SOURCEPAGE:Fro								
Defile Snow and Ice			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Evocation		DESCRIPTOR:Cold|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft/level radius spread.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Grants undead a +4 profane bonus against turning and cold creatures SR 15 against fire spells.	SOURCEPAGE:Fro								
Detect Fire			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Divination		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped emanation		DURATION:Concentration, up to (CASTERLEVEL*10) minutes [D]	SAVEINFO:None	SPELLRES:No	DESC:Detect fire within 60-ft.	SOURCEPAGE:Fro	ITEM:Potion							
Dispel Cold			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Abjuration		DESCRIPTOR:Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or object		DURATION:(CASTERLEVEL) rounds or until discharged, whichever comes first	SAVEINFO:See text	SPELLRES:See text	DESC:Cancels cold spells and effects.	SOURCEPAGE:Fro	ITEM:Potion							
Dispel Fire			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or object		DURATION:(CASTERLEVEL) rounds or until discharged, whichever comes first	SAVEINFO:See text	SPELLRES:See text	DESC:Cancels fire spells and effects.	SOURCEPAGE:Fro	ITEM:Potion							
Ease of Breath			TYPE:Divine	CLASSES:Cleric=1|Druid=1|Ranger=1		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:+20 inherent bonus on Fortitude saves to resist altitude sickness.	SOURCEPAGE:Fro								
Entomb			TYPE:Arcane.Divine	CLASSES:Druid=6|Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level, no two of which can be more than 30-ft apart.		DURATION:Instantaneous and 1 round/level; See text.	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Captures subjects in blocks of ice, suffocating them.	SOURCEPAGE:Fro		COST:500						
Evergreen			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft radius.		DURATION:Instantaneous and 1 hour/level; See text.	SAVEINFO:None	SPELLRES:No	DESC:Magical heat warms plant life, healing 1d8 damage+1/level (max +10) and granting immunity to cold.	SOURCEPAGE:Fro								
Fimbulwinter			TYPE:Arcane.Divine	CLASSES:Cleric=9|Druid=8|Sorcerer,Wizard=8		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, XP	CASTTIME:10 minutes	RANGE:1 mile/level	TARGETAREA:1 mile/level radius, centered on you.		DURATION:4d12 weeks	SAVEINFO:None	SPELLRES:No	DESC:Creates winter weather for miles around you that lasts for months.	SOURCEPAGE:Fro			XPCOST:100					
Flash-Freeze			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation		DESCRIPTOR:Cold|Earth	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft square/level.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Earth, stone and water become frozen.	SOURCEPAGE:Fro								
Flesh to Ice			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Turns subject into statue of ice.	SOURCEPAGE:Fro								
Float (Arcane)	OUTPUTNAME:Float		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One Large or smaller creature or object.		DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject becomes buoyant.	SOURCEPAGE:Fro								
Fortify Cold Creature			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Cold subtype creatures gain +1 sacred bonus on attacks and saves against fire effects.	SOURCEPAGE:Fro								
Freeze Armor			TYPE:Divine	CLASSES:Cleric=4|Druid=4		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Metal equipment of one creature/level		DURATION:1 round/level	SAVEINFO:Fortitude partial; See text	SPELLRES:Yes	DESC:Locks up suits of metal armor and equipment, dealing damage and impeding movement.	SOURCEPAGE:Fro								
Freezing Glance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Enchantment		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level; See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Gaze freezes subject in place.	SOURCEPAGE:Fro								
Frost Weapon			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.		DURATION:1 round/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:No	DESC:Weapon gains frost special ability, +1d6 cold damage.	SOURCEPAGE:Fro								
Frostbite			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/2 level, no two of which can be more than 30-ft apart.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Chilled air causes 6d6 cold damage and 2d6 Dex damage.	SOURCEPAGE:Fro								
