SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																				
																																																																																																																																																																																																						
# Template Name				Visible	Template																	Required Size	Natural Attacks																																																																																																																																																																															
Frostfell Ghost 	VISIBLE:YES	SOURCEPAGE:Fro	HITDIE:12		CR:2								LEVELADJUSTMENT:5	TEMPLATE:Undead	TEMPLATE:Incorporeal	TEMPLATE:CHOOSE:Frostfell Ghost (1 Special Attack)|Frostfell Ghost (2 Special Attacks)|Frostfell Ghost (3 Special Attacks)	TEMPLATE:CHOOSE:Frostfell Ghost Qualities (1 Special Quality)|Frostfell Ghost Qualities (2 Special Qualities)					DEFINE:GhostAbilityDC|0											PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Plant	PRESTAT:1,CHA=6														BONUS:COMBAT|AC|max(CHA,1)|TYPE=Deflection																																																																																		BONUS:SKILL|Hide,Listen,Search,Spot|8|TYPE=Racial						BONUS:STAT|CHA|4													BONUS:VAR|TurnResistBonus|4	BONUS:VAR|GhostAbilityDC|10+(TL/2)+CHA	BONUS:VAR|Maneuverability|5									ABILITY:Special Ability|AUTOMATIC|Rejuvenation|Turn Resistance|Manifestation|Flight Maneuverability																																				MOVE:Fly,30	RACETYPE:Undead	RACESUBTYPE:Incorporeal
Frostfell Ghost (1 Special Attack)	VISIBLE:NO	SOURCEPAGE:Fro	BONUS:ABILITYPOOL|Frostfell Ghost Ability|1																																																																																																																																																																																																			
Frostfell Ghost (2 Special Attacks)	VISIBLE:NO	SOURCEPAGE:Fro	BONUS:ABILITYPOOL|Frostfell Ghost Ability|2																																																																																																																																																																																																			
Frostfell Ghost (3 Special Attacks)	VISIBLE:NO	SOURCEPAGE:Fro	BONUS:ABILITYPOOL|Frostfell Ghost Ability|3																																																																																																																																																																																																			
Frostfell Ghost Qualities (1 Special Quality)	VISIBLE:NO	SOURCEPAGE:Fro	BONUS:ABILITYPOOL|Frostfell Ghost Quality|1																																																																																																																																																																																																			
Frostfell Ghost Qualities (2 Special Qualities)	VISIBLE:NO	SOURCEPAGE:Fro	BONUS:ABILITYPOOL|Frostfell Ghost Quality|2																																																																																																																																																																																																			
Ice Beast	VISIBLE:YES	SOURCEPAGE:Fro	PREALIGN:TN	RACETYPE:Construct	RACESUBTYPE:Cold	TEMPLATE:Construct|Mindless	TEMPLATE:Cold	HITDIE:10|CLASS.TYPE=Monster	DEFINE:LOCK.CON|10	DEFINE:LOCK.INT|10	DEFINE:LOCK.WIS|10	DEFINE:LOCK.CHA|1	TEMPLATE:CHOOSE:Ice Beast Tiny|Ice Beast Huge|Ice Beast Gargantuan|Ice Beast Colossal	TEMPLATE:CHOOSE:Ice Beast ~ Claw (Fine)|Ice Beast ~ Claw (Diminutive)|Ice Beast ~ Claw (Tiny)|Ice Beast ~ Claw (Small)|Ice Beast ~ Claw (Medium)|Ice Beast ~ Claw (Large)|Ice Beast ~ Claw (Huge)|Ice Beast ~ Claw (Gargantuan)|Ice Beast ~ Claw (Colossal)	ABILITY:Special Ability|AUTOMATIC|Cold Aura|Engulf|Frigid Touch|Breath Weapon ~ Cone of Cold		DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|HD/2	DEFINE:BreathWeaponDamageDie|6	HD:5-9:DR:5/Magic	HD:10-19:DR:10/Magic	HD:20+:DR:15/Magic																																																																																																																																																																																
Ice Beast Tiny	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZELTEQ:T	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK																																																																																																																																																																																																		
Ice Beast Huge	VISIBLE:NO	SOURCEPAGE:Fro	PREMULT:2,[PRESIZEGTEQ:S],[PRESIZELTEQ:H]	BONUS:COMBAT|AC|2*(SIZE-2)|TYPE=NaturalArmor.STACK																																																																																																																																																																																																		
Ice Beast Gargantuan	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:G	BONUS:COMBAT|AC|11|TYPE=NaturalArmor.STACK																																																																																																																																																																																																		
Ice Beast Colossal	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEGTEQ:C	BONUS:COMBAT|AC|15|TYPE=NaturalArmor.STACK																																																																																																																																																																																																		
