SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																										
																																												
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	ADDSPELLLEVEL	ability	
Altitude Adaptation	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=2				DESC:+4 on Fort saves to avoid altitude sickness;																	SOURCEPAGE:Fro			
Arctic Priest	TYPE:General	VISIBLE:YES																		PREDOMAIN:1,Cold,Winter				DESC:Can swap out prepared spells for a specialized list of spells. 																	SOURCEPAGE:Fro		ABILITY:Special Ability|AUTOMATIC|Spontaneous casting ~ Arctic Priest	
Beckon the Frozen	TYPE:General	VISIBLE:YES				PREFEAT:2,Augment Summoning,Spell Focus(Conjuration)																		DESC:Summoned creatures gain cold subtypoe and +1d6 cold damage to attacks.																	SOURCEPAGE:Fro			
Chosen of Iborighu	TYPE:General	VISIBLE:YES																		PREDEITY:1,Iborighu				DESC:Cleric is favored class, cold damage gaze attack																	SOURCEPAGE:Fro		ABILITY:Special Ability|AUTOMATIC|Cold Gaze	TEMPLATE:Favored of Iborighu
Cold Endurance	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=2				DESC:+2 to cold saves, can exist comfortably in cold environments.																	SOURCEPAGE:Fro			
Cold Focus	TYPE:General	VISIBLE:YES																						DESC:+1 bonus to save DC against cold spells.										BONUS:DC|DESCRIPTOR.Cold|1|TYPE=ColdFocus							SOURCEPAGE:Fro			
Cold Spell Specialization	TYPE:General	VISIBLE:YES				PREFEAT:2,Snowcasting,Frozen Magic									PRESTAT:1,CON=13									DESC:+1 or +2 damage/die when cast spell in cold area.																	SOURCEPAGE:Fro			
Craft Skull Talisman	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=6																			DESC:Create magic skull talismans.																	SOURCEPAGE:Fro			
Faith in the Frost	TYPE:General	VISIBLE:YES																	PREDOMAIN:1,Cold,Winter	PREABILITY:1,CATEGORY=Special Ability,TYPE.Turning				DESC:+%1 cold damage when succesfully turn or rebuke a creature.|CHA																	SOURCEPAGE:Fro			
Frostfell Prodigy	TYPE:General	VISIBLE:YES				PREFEAT:3,Snowcasting,Frozen Magic,Cold Focus									PRESTAT:1,CON=13									DESC:You gain additional bonus spells in cold weather.																	SOURCEPAGE:Fro			
Frozen Berserker	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage				DESC:Gain cold subtype while raging.																	SOURCEPAGE:Fro			
Frozen Magic	TYPE:General	VISIBLE:YES				PREFEAT:1,Snowcasting									PRESTAT:1,CON=13									DESC:Cold spells have higher caster levels in cold weather.																	SOURCEPAGE:Fro			
Frozen Wild Shape	TYPE:General	VISIBLE:YES																	PRECHECKBASE:1,Fortitude=6	PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape				DESC:Wild shape into cold magical beast.																	SOURCEPAGE:Fro			
Greater Cold Focus	TYPE:General	VISIBLE:YES				PREFEAT:1,Cold Focus																		DESC:+1 bonus to save DC against cold spells.										BONUS:DC|DESCRIPTOR.Cold|2|TYPE=ColdFocus							SOURCEPAGE:Fro			
Icy Calling	TYPE:General	VISIBLE:YES				PREFEAT:1,Snowcasting									PRESTAT:1,CON=13									DESC:Summoned frostfell creatures are stronger in cold weather.																	SOURCEPAGE:Fro			
Ice Harmonics	TYPE:General	VISIBLE:YES										PRESKILL:1,Perform (Sing)=6								PREABILITY:1,CATEGORY=Special Ability,Bardic Music				DESC:You can use your voice to shatter ice.																	SOURCEPAGE:Fro			
