SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	AUTO:ARMORPROF|Tatterdemalion	AUTO:WEAPONPROF|Longsword,Rapier,Sap,Sword (Short),Shortbow,Whip																											SOURCEPAGE:LM
Undead Graft ~ Demon Claw	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Undead Graft ~ Demon Claw									SOURCEPAGE:FFo
Undead Graft ~ Whip Tail	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Undead Graft ~ Whip Tail									SOURCEPAGE:FFo
Aboleth Graft ~ Tentacle	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Aboleth Graft ~ Tentacle									SOURCEPAGE:FFo
Fiendish Graft ~ Clawed Arm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Clawed Arm									SOURCEPAGE:FFo
Fiendish Graft ~ Jaws	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Jaws									SOURCEPAGE:FFo
Fiendish Graft ~ Flexible Arm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Flexible Arm									SOURCEPAGE:FFo
Fiendish Graft ~ Grappling Tentacle	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Grappling Tentacle									SOURCEPAGE:FFo
Fiendish Graft ~ Long Arm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Long Arm									SOURCEPAGE:FFo
Fiendish Graft ~ Sting Tail	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Sting Tail									SOURCEPAGE:FFo
Fiendish Graft ~ Trampling Leg	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Trampling Leg									SOURCEPAGE:FFo
Fiendish Graft ~ Whip Tail	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Fiendish Graft ~ Whip Tail									SOURCEPAGE:FFo
Illithid Graft ~ Goring Horn	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				TEMPLATE:Illithid Graft ~ Goring Horn									SOURCEPAGE:FFo
																																
# Ability Name																																
Bacche Rage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO		BONUS:VAR|RageTimes|2																											SOURCEPAGE:FFo
Haraknin Rage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO		BONUS:VAR|RageTimes|1																											SOURCEPAGE:FFo
Farastu Rage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO		BONUS:VAR|RageTimes|3	BONUS:VAR|TirelessRage|1																										SOURCEPAGE:FFo
