SOURCELONG:Fiend folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Bane.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Bless.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Cause Fear.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Command.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Detect Chaos.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Detect Evil.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Detect Good.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Detect Law.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Doom.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Protection from Chaos.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Protection from Evil.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Protection from Good.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Protection from Law.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Sanctuary.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Shield of Faith.MOD	CLASSES:Fiend of Blasphemy=1	TYPE:Arcane
Orb of Fire (Lesser).MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Aid.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Bull's Strength.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Darkness.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Desecrate.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Endurance.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Enthrall.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Hold Person.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Silence.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Undetectable Alignment.MOD	CLASSES:Fiend of Blasphemy=2	TYPE:Arcane
Bestow Curse.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Contagion.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Create Food and Water.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Deeper Darkness.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Dispel Magic.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Invisibility Purge.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Magic Circle against Chaos.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Magic Circle against Evil.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Magic Circle against Good.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Magic Circle against Law.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Prayer.MOD	CLASSES:Fiend of Blasphemy=3	TYPE:Arcane
Death Ward.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Discern Lies.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Imbue with Spell Ability.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Planar Ally (Lesser).MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Poison.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Sending.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Spell Immunity.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Status.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Tongues.MOD	CLASSES:Fiend of Blasphemy=4	TYPE:Arcane
Atonement.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Commune.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Dispel Chaos.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Dispel Evil.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Dispel Good.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Dispel Law.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Command (Grater).MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Mark of Justice.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Plane Shift.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Scrying.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Slay Living.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
Spell Resistance.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
True Seeing.MOD	CLASSES:Fiend of Blasphemy=5	TYPE:Arcane
