SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
#Phooka			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5			PREALIGN:LE,NE,CE			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Intimidate|Listen|Search|Sense Motive|Spot|Swim|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Acidic Hooves|Trample	ABILITY:Special Ability|AUTOMATIC|Water Breathing									RACETYPE:Outsider	RACESUBTYPE:Horse	TYPE:Outsider							CR:5	SOURCEPAGE:RLCoD		DEFINE:AcidicTouchDice|1	DEFINE:AcidicTouchDamageDie|8										
Abrian			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light			AUTO:LANG|Abyssal		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|4|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4					MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:0				NATURALATTACKS:Beak,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*1,1d3|Kick,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Shriek|Augmented Critical ~ Abrian	ABILITY:Special Ability|AUTOMATIC|Resistance To Sonic								MONSTERCLASS:Magical Beast:2	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:2,6	LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:FFo		DEFINE:SonicResistanceBonus|10											
Ghoul (Abyssal)			STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Blindsight (90')		PREALIGN:CE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Balance|Climb|Hide|Jump|Move Silently|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Front Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,1d4|Rear Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Disease|Improved Grab|Sneak Attack|Wisdom Drain ~ Abyssal Ghoul	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Deathwatch (Sp always active)|Immunity To Electricity|Resistance To Fire|Uncanny Dodge ~ Base					SR:20			MONSTERCLASS:Undead:16	RACETYPE:Undead	RACESUBTYPE:Ghoul|Extraplanar	TYPE:Undead					HITDICEADVANCEMENT:24,48		CR:10	SOURCEPAGE:FFo		DEFINE:SneakAttackDice|5	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:FireResistanceBonus|20	BONUS:VAR|UncannyDodgeLevel|2	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK						
Ahuizotl			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,40	FACE:10	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|4		BONUS:STAT|CHA|4			MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Spot|Swim			AUTO:WEAPONPROF|Ahuizotl Tail Hand	AUTO:EQUIP|Ahuizotl Tail Hand					LEGS:2	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Blinding Strike|Drowning|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Voice Mimicry			ABILITY:Special Ability|AUTOMATIC|Ahuizotl Skills					MONSTERCLASS:Aberration:7	RACETYPE:Aberration	RACESUBTYPE:Aquatic	TYPE:Aberration					HITDICEADVANCEMENT:14,21		CR:6	SOURCEPAGE:FFo													
Aoa (Droplet)	OUTPUTNAME:Aoa, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Fly,50	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4				MONCSKILL:Hide|Listen|Move Silently|Search|Spot									LEGS:0	HANDS:0											ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability		DR:5/Magic		MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Aoa|Extraplanar	TYPE:Outsider					HITDICEADVANCEMENT:3,6,12		CR:3	SOURCEPAGE:FFo		DEFINE:Maneuverability|5	DEFINE:ReflectiveSR|22										
Aoa (Sphere)	OUTPUTNAME:Aoa, [NAME]		STARTFEATS:1	SIZE:H	MOVE:Fly,50	FACE:15	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|14	BONUS:STAT|INT|-6	BONUS:STAT|WIS|6				MONCSKILL:Hide|Listen|Move Silently|Search|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Reflective Pulse	ABILITY:Special Ability|AUTOMATIC|Split				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability		DR:10/Magic		MONSTERCLASS:Outsider:13	RACETYPE:Outsider	RACESUBTYPE:Aoa|Extraplanar	TYPE:Outsider					HITDICEADVANCEMENT:20,39		CR:15	SOURCEPAGE:FFo		DEFINE:Maneuverability|5	DEFINE:ReflectivePulsePerDay|3	DEFINE:ReflectiveSR|25									
Ooze (Bloodbloater)	OUTPUTNAME:[NAME]			SIZE:M	MOVE:Walk,5,Swim,30	FACE:5	REACH:0	VISION:Blindsight (60')		PREALIGN:TN										BONUS:STAT|DEX|2	BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Swim									LEGS:0		BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Bloodbloater|Distraction	ABILITY:Special Ability|AUTOMATIC|Amphibious|Vulnerability To Fire								MONSTERCLASS:Ooze:2	RACETYPE:Ooze	RACESUBTYPE:Swarm|Aquatic	TYPE:Ooze	TEMPLATE:Mindless						CR:1	SOURCEPAGE:FFo													
Ooze (Flotsam)	OUTPUTNAME:[NAME]			SIZE:M	MOVE:Walk,10,Swim,30	FACE:5	REACH:5	VISION:Blindsight (60')		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|8|TYPE=Racial				BONUS:STAT|STR|4		BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Hide|Swim									LEGS:0		BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Adhesive	ABILITY:Special Ability|AUTOMATIC|Amphibious|Transparent								MONSTERCLASS:Ooze:2	RACETYPE:Ooze	RACESUBTYPE:Swarm|Aquatic	TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:2,6,15,30,*		CR:2	SOURCEPAGE:FFo													
Ooze (Reekmurk)	OUTPUTNAME:[NAME]			SIZE:H	MOVE:Walk,40,Swim,60	FACE:15	REACH:10	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|12	BONUS:STAT|DEX|14	BONUS:STAT|CON|10		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Swim									LEGS:0					NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Reach.Finesseable.Bludgeoning.Acid,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Acid|Poison|Stench|Tendrils	ABILITY:Special Ability|AUTOMATIC|Amphibious|Immunity To Cold|Vulnerability To Sunlight								MONSTERCLASS:Ooze:5	RACETYPE:Ooze	RACESUBTYPE:Swarm|Aquatic	TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:12,15		CR:6	SOURCEPAGE:FFo													
Bacchae			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CN	AUTO:LANG|Common|Sylvan		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4		BONUS:STAT|WIS|-2	BONUS:STAT|CHA|4			MONCSKILL:Balance|Intimidate|Jump|Listen|TYPE.Perform|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Debauch|Rage|Bacche Rage|Rend	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Electricity|Immunity To Polymorph					SR:11			MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	TYPE:Outsider					HITDICEADVANCEMENT:4		CR:2	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Charm Person,11+CHA|Hideous Laughter,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=7|Good Hope	DEFINE:AcidResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10									
