SOURCELONG:Seafarer's Handbook	SOURCESHORT:Ssh	SOURCEWEB:http://www.gozzilioni.net																																																																																																
																																																																																																		
# Feat Name				Type			Req. Att.	Required Class			Required Feat			Required Non-Monster Lvl	Required Race													Required Skill		Required Stat	Special ABility			Define				Description																												Multiple?	Choose							Automatically Gained Armor Prof.	Unarmed Damage					Add to base move			Bonus to skill						Modify VAR								Class Skill	Source Page
Amphibious Endurance.MOD	DESC:You have steeled your body to the rigors of life on land and learned how to breath air for longer periods than is normal for your race																																																																																																	
Armor Proficiency (Aquatic).MOD	DESC:You are proficient with all types of aquatic armor																																																																																																	
Barroom Brawler.MOD	DESC:You can dish it out and take it in a tavern																																																																																																	
Cast-Iron Stomach.MOD	DESC:You can consume the most unpleasant fare without so much as a second thought																																																																																																	
Child of the Sea.MOD	DESC:The blood of an intelligent aquatic creature flows through your veins																																																																																																	
Create Manikin.MOD	DESC:You can create a manikin-a small representation of a living person-through which you can direct spells that affect the person the manikin represents																																																																																																	
Endurance Swimmer.MOD	DESC:You are very adept at swimming while carrying a heavier-than-normal load																																																																																																	
Fool's Luck.MOD	DESC:You have an innate ability to turn bad situations to your advantage																																																																																																	
Great Lungs.MOD	DESC:You can hold your breath longer than the average person																																																																																																	
Improved Positional Advantage.MOD	DESC:You are highly skilled at combat maneuvering underwater																																																																																																	
Lookout.MOD	DESC:You are capable of spotting creatures, vessels and other objects from a great distance, provided you have an elevated position from which to survey your surroundings																																																																																																	
Naval Heritage.MOD	DESC:You come from a family with a proud tradition of service aboard seagoing vessels																																																																																																	
Notorious.MOD	DESC:You are well known as a dangerous cutthroat not to be trifled with																																																																																																	
Parry.MOD	DESC:You can deflect a melee attack against you with your own weapon																																																																																																	
Parrying Weapon.MOD	DESC:You can use an off-hand weapon as if it were a shield																																																																																																	
Polar Bear Skin.MOD	DESC:Your skin is better able to withstand the affects of extremely cold water than the average person's																																																																																																	
Port Savvy.MOD	DESC:You know all the ins and outs of life in the seedy ports of call that sailors use as stopover points in their journeys																																																																																																	
Pressure Survival.MOD	DESC:You are extremely tolerant to the pressures of the deep																																																																																																	
Riposte.MOD	DESC:You may attempt to turn a successful parry into an additional attack against your opponent																																																																																																	
Rope Climber.MOD	DESC:You are as comfortable climbing ropes and rigging as you are walking on the ground																																																																																																	
Sea Brother.MOD	DESC:An intelligent aquatic race considers you a friend and is well disposed toward requests you make of them																																																																																																	
Sea Dog.MOD	DESC:You have a knack for endeavors relating to sea travel																																																																																																	
Scurvy Dog.MOD	DESC:Your body is accustomed to unhealthy conditions and resists disease better than people who live in less-squalid environments																																																																																																	
Shanty Man.MOD	DESC:You are familiar with the songs of the sea and can sing them with such zest and aplomb as to gain the confidence of sailors everywhere																																																																																																	
Shorewalker.MOD	DESC:You are an experienced traveler in the surface world																																																																																																	
Storm Sense.MOD	DESC:You can reliably predict the onset of storms and other weather																																																																																																	
Swing-By Attack.MOD	DESC:You can swing from a rope past a foe and attack at the same time																																																																																																	
Tail Slam.MOD	DESC:You are trained to use your powerful tail and flukes as a weapon																																																																																																	
Tail Walking.MOD	DESC:You have learned to use your tail while out of water somewhat more gracefully than most of your kind																																																																																																	
#Two-Weapon Defense.MOD	DESC:You can attack and defend with a weapon in each hand. You can fight defensively while still making your normal attacks each round																																																																																																	
Waterfront Native.MOD	DESC:You grew up in an area close to water. You are especially adept at operating in and under the water																																																																																																	
Weapons of Opportunity.MOD	DESC:You can use mundane objects as weapons in combat																																																																																																	
