SOURCELONG:Seafarer's Handbook	SOURCESHORT:Ssh	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Amphibious Endurance	TYPE:General																			PREMULT:1,[PRERACE:1,RACESUBTYPE=Merfolk,Ogre (Half Merrow),Elf (Aquatic),Elf (Coral),Elf (Kelp),Locathah,Sahuagin,Triton],[PRERACE:1,RACESUBTYPE=Aquatic]				DESC:You have steeled your body to the rigors of life on land and learned how to breath air for longer periods than is normal for your race																	SOURCEPAGE:Ssh				
Armor Proficiency (Aquatic)	TYPE:General																							DESC:You are proficient with all types of aquatic armor				AUTO:ARMORPROF|ARMORTYPE=Aquatic													SOURCEPAGE:Ssh				
Barroom Brawler	TYPE:General					PREFEAT:1,Toughness									PRESTAT:1,CON=13									DESC:You can dish it out and take it in a tavern																	SOURCEPAGE:Ssh	UDAM:1,1,1d2,1d3,1d4,1d6,1d8,1d10,1d12			
Cast-Iron Stomach	TYPE:General														PRESTAT:1,CON=13									DESC:You can consume the most unpleasant fare without so much as a second thought																	SOURCEPAGE:Ssh				
Child of the Sea	TYPE:General										PREPCLEVEL:MAX=1													DESC:The blood of an intelligent aquatic creature flows through your veins																	SOURCEPAGE:Ssh				
Create Manikin	TYPE:ItemCreation				PRECLASS:1,Spellcaster=12																			DESC:You can create a manikin-a small representation of a living person-through which you can direct spells that affect the person the manikin represents																	SOURCEPAGE:Ssh				
Endurance Swimmer	TYPE:General					PREFEAT:1,Endurance									PRESTAT:1,STR=13									DESC:You are very adept at swimming while carrying a heavier-than-normal load																	SOURCEPAGE:Ssh		DEFINE:EnduranceSwimmer|0	BONUS:SKILL|Swim|EnduranceSwimmer	BONUS:VAR|EnduranceSwimmer|(WEIGHT.CARRIED/20)*3
Fool's Luck	TYPE:General																							DESC:You have an innate ability to turn bad situations to your advantage																	SOURCEPAGE:Ssh				
Great Lungs	TYPE:General					PREFEAT:1,Endurance									PRESTAT:1,CON=13									DESC:You can hold your breath longer than the average person																	SOURCEPAGE:Ssh				
Improved Positional Advantage	TYPE:General			PREATT:4								PRESKILL:1,Swim=1												DESC:You are highly skilled at combat maneuvering underwater																	SOURCEPAGE:Ssh				
Lookout	TYPE:General																							DESC:You are capable of spotting creatures, vessels and other objects from a great distance, provided you have an elevated position from which to survey your surroundings																	SOURCEPAGE:Ssh				
Naval Heritage	TYPE:General										PREPCLEVEL:MAX=1													DESC:You come from a family with a proud tradition of service aboard seagoing vessels																	SOURCEPAGE:Ssh				
Notorious	TYPE:General																							DESC:You are well known as a dangerous cutthroat not to be trifled with																	SOURCEPAGE:Ssh				
