SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Abyssal Amry			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Evil	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creature, no two of wich can be more than 30-ft apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summons demons to fight for you.	SOURCEPAGE:PH									
Analyze Portal			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 minute	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation from you to the extreme of the range.		DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby portal and discover its properties.	SOURCEPAGE:PH									
Analyze Touchstone			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 minute	RANGE:60-ft.	TARGETAREA:A quarter circle emanating from you to the extreme of the range.		DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby planar touchstone and discover its properties.	SOURCEPAGE:PH									
Anarchic Storm			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Chaotic|Water	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:20-ft radius, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Chaotic-aligned rain falls in 20-ft radius.	SOURCEPAGE:PH									
Anarchic Water			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Transmutation		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes chaotic-aligned anarchic water.	SOURCEPAGE:PH		COST:25							
Astral Hospice			TYPE:Divine	CLASSES:Cleric=4|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text		DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:While on the Astral Plane, open a portal to a demiplane so natural healing can occur.	SOURCEPAGE:PH		COST:250							
Attune Form			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more living creature touched		DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Grant target creature temporary protection against overtly damaging planar traits.	SOURCEPAGE:PH									
Avoid Planar Effects			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:One creature in a 20-ft radius burst centered on you.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Provides temporary protection against overtly damaging planar traits.	SOURCEPAGE:PH									
Axiomatic Storm			TYPE:Divine	CLASSES:Cleric=3|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Lawful|Water	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:20-ft radius, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Lawful-aligned rain falls in 20-ft radius.	SOURCEPAGE:PH									
Axiomatic Water			TYPE:Divine	CLASSES:Cleric=1|Paladin=1		SCHOOL:Transmutation		DESCRIPTOR:Lawful	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes lawful-aligned anarchic water.	SOURCEPAGE:PH		COST:25							
