SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								BONUS:VAR|Maneuverability|
Astral Kraken			STARTFEATS:1	SIZE:G	MOVE:Fly,60	FACE:20	REACH:10	VISION:Blindsight (120')|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|16		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2												LEGS:4	HANDS:2				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d10		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Astral Cocoon|Energy Drain ~ Astral Kraken						SR:25			MONSTERCLASS:Vermin:20	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:28,36		CR:16	SOURCEPAGE:PH									
Dharculus			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5						BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|10		BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Listen|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*6,1d4		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Ethereal Bite	ABILITY:Special Ability|AUTOMATIC|Dualplanar					SR:20			MONSTERCLASS:Aberration:8	RACETYPE:Aberration		TYPE:Aberration		TEMPLATE:Extraplanar			HITDICEADVANCEMENT:8,11,24		CR:9	SOURCEPAGE:PH									
Swarm (Elementite/Air)	OUTPUTNAME:Air Elementite Swarm		STARTFEATS:1	SIZE:T	MOVE:Fly,80	FACE:10	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4		BONUS:STAT|INT|-8					MONCSKILL:Hide|Listen|Spot			BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)		VFEAT:Weapon Finesse				LEGS:0					NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Air Mastery|Distraction|Trip					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Elemental:7	RACETYPE:Elemental	RACESUBTYPE:Air	TYPE:Elemental	TEMPLATE:Swarm	TEMPLATE:Air|Extraplanar					CR:4	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|5
Swarm (Elementite/Earth)	OUTPUTNAME:Earth Elementite Swarm		STARTFEATS:1	SIZE:T	MOVE:Walk,20	FACE:10	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:STAT|CON|2	BONUS:STAT|INT|-8					MONCSKILL:Hide|Listen|Spot			BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)		VFEAT:Weapon Finesse				LEGS:0					NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Distraction	ABILITY:Special Ability|AUTOMATIC|Earth Glide								MONSTERCLASS:Elemental:7	RACETYPE:Elemental	RACESUBTYPE:Earth	TYPE:Elemental	TEMPLATE:Swarm	TEMPLATE:Air|Extraplanar					CR:4	SOURCEPAGE:PH									
Swarm (Elementite/Fire)	OUTPUTNAME:Fire Elementite Swarm		STARTFEATS:1	SIZE:T	MOVE:Walk,40	FACE:10	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-8					MONCSKILL:Hide|Spot			BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)		VFEAT:Weapon Finesse				LEGS:0					NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Burn|Distraction									MONSTERCLASS:Elemental:7	RACETYPE:Elemental	RACESUBTYPE:Fire	TYPE:Elemental	TEMPLATE:Swarm	TEMPLATE:Fire|Extraplanar					CR:4	SOURCEPAGE:PH									
Swarm (Elementite/Water)	OUTPUTNAME:Water Elementite Swarm		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Swim,90	FACE:10	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|-8					MONCSKILL:Hide|Listen|Spot			BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)		VFEAT:Weapon Finesse				LEGS:0					NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Drown	ABILITY:Special Ability|AUTOMATIC|Drench|Water Mastery								MONSTERCLASS:Elemental:7	RACETYPE:Elemental	RACESUBTYPE:Water	TYPE:Elemental	TEMPLATE:Swarm	TEMPLATE:Water|Extraplanar					CR:4	SOURCEPAGE:PH									
Elsewhale			STARTFEATS:1	SIZE:G	MOVE:Swim,80	FACE:20	REACH:15	VISION:Blindsight (120')|Low-Light			AUTO:LANG|Elsewhales		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Listen|Spot|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8			ABILITY:Special Ability|AUTOMATIC|Carry Passenger|Hold Breath	ABILITY:Special Ability|AUTOMATIC|Elsewhale Skills|Training ~ Elsewhale							MONSTERCLASS:Magical Beast:12	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:18,36		CR:7	SOURCEPAGE:PH	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Plane Shift,17+CHA								
Elysian Thrush			STARTFEATS:1	SIZE:T	MOVE:Walk,10,Fly,40	FACE:2.5	REACH:0	VISION:Low-Light		PREALIGN:NG									BONUS:STAT|STR|-10	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*1,1d2		ABILITY:Special Ability|AUTOMATIC|Elysian Song					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Extraplanar|Good					CR:1/4	SOURCEPAGE:PH									
Energon (Xac Yel)	OUTPUTNAME:Xac-Yel		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE							BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Knowledge (The Planes)|Search|Sense Motive|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6	NATURALATTACKS:Energon Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,0						ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Energon	TYPE:Outsider	TEMPLATE:Outsider|Energon	TEMPLATE:Extraplanar|Fire|Incorporeal			HITDICEADVANCEMENT:9,15		CR:5	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|4
Energon (Xac Yij)	OUTPUTNAME:Xac-Yij		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE							BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Diplomacy|Hide|Knowledge (The Planes)|Search|Sense Motive|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6	NATURALATTACKS:Energon Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,0			ABILITY:Special Ability|AUTOMATIC|Immunity To Acid			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Energon	TYPE:Outsider	TEMPLATE:Outsider|Energon	TEMPLATE:Extraplanar|Incorporeal			HITDICEADVANCEMENT:9,15		CR:5	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|4
