SOURCELONG:Gozzilioni Rsrd Modifications monster	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																											
																																														
#																																														
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page														
#CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Giant Traits|PRERACE:1,RACETYPE=Giant																																													
#Giant Traits	CATEGORY:Special Ability	TYPE:TraitAbility	ABILITY:Special Ability|AUTOMATIC|Giant Shared ~ Rock Catching|Giant Shared ~ Rock Throwing							BONUS:VAR|HasLowLightVision|1																						SOURCEPAGE:MM2														
CATEGORY=Special Ability|Giant Traits.MOD	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant	AUTO:LANG|Giant	AUTO:LANG|Common|PRESTAT:1,INT=10																																											
#																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Abeil Traits|PRERACE:1,RACESUBTYPE=Abeil																																													
Abeil Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Common|Elven|Sylvan	ABILITY:Special Ability|AUTOMATIC|Abeil ~ Drone|Abeil ~ Hive Mind|Abeil ~ Improved Grab																												SOURCEPAGE:MM2														
Drone	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As full-round action an abeil can beat its wings to create a droning buzz in a 60-ft spread. Will DC %1 or fall asleep as Sleep spell.|DroneDC	KEY:Abeil ~ Drone				DEFINE:DroneDC|0					BONUS:VAR|DroneDC|DefaultDCCha	BONUS:VAR|DroneDC|2|PREFEAT:1,Ability Focus (Drone)								ABILITY:Ability Focus|AUTOMATIC|Drone									SOURCEPAGE:MM2														
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, an Abeil must hit a single target of at least one size category smaller than itself with both claws attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and deals automatically damage from both claws and the sting.	KEY:Abeil ~ Improved Grab																											SOURCEPAGE:MM2														
Hive Mind	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As full-round action an Abeil can beat its wings to create a droning buzz in a 60-ft spread. Will DC %1 or fall asleep as Sleep spell.|DefaultDCCha	KEY:Abeil ~ Hive Mind																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Automaton Traits|PRERACE:1,RACESUBTYPE=Automaton																																													
Automaton Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Automaton ~ Unreliable																													SOURCEPAGE:MM2														
Unreliable	CATEGORY:Special Ability	TYPE:AutomatonSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The shadow consciousness of an Automaton is only quasi real, like the consciousness of a creation such as a simulacrum. The creature is thus sometimes slow to react to the changing environment around it. At the beginning of each round in which an Automaton attempts to act, roll 1d20. On a results of 11 or better, it acts normally, otherwise it takes no action.	KEY:Automaton ~ Unreliable																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Baatezu Traits|PRERACE:1,RACESUBTYPE=Baatezu																																													
