SOURCELONG:Pandius	SOURCESHORT:Pnd	SOURCEWEB:http://www.gozzilioni.net																																																															
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	
#Horse (Heavy)	OUTPUTNAME:Horse, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5	VISION:Low-light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot			BONUS:WEAPONPROF=Hoof|DAMAGE|-ceil(STR/2)	BONUS:WEAPONPROF=Hoof|TOHIT|-5					LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Scent									MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Horse	TYPE:Animal	TEMPLATE:Animal	TEMPLATE:Horse Untrained					CR:1	SOURCEPAGE:MonstersAnimals.rtf		KIT:1|TN
#Horse (Light)	OUTPUTNAME:Horse, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5	VISION:Low-light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot			BONUS:WEAPONPROF=Hoof|DAMAGE|-ceil(STR/2)	BONUS:WEAPONPROF=Hoof|TOHIT|-5					LEGS:4					NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Scent									MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Horse	TYPE:Animal	TEMPLATE:Animal	TEMPLATE:Horse Untrained					CR:1	SOURCEPAGE:MonstersAnimals.rtf		KIT:1|TN
#Pony	OUTPUTNAME:Pony, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Low-light					BONUS:COMBAT|AC|2|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-6			MONCSKILL:Listen|Spot			BONUS:WEAPONPROF=Hoof|DAMAGE|-ceil(STR/2)	BONUS:WEAPONPROF=Hoof|TOHIT|-5					LEGS:4					NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Scent									MONSTERCLASS:Animal:2	RACETYPE:Animal	RACESUBTYPE:Horse	TYPE:Animal	TEMPLATE:Animal	TEMPLATE:Horse Untrained					CR:1/4	SOURCEPAGE:MonstersAnimals.rtf		KIT:1|TN
Horse (Medium)	OUTPUTNAME:Horse, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5	VISION:Low-light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot			BONUS:WEAPONPROF=Hoof|DAMAGE|-ceil(STR/2)	BONUS:WEAPONPROF=Hoof|TOHIT|-5					LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Scent									MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Horse	TYPE:Animal	TEMPLATE:Animal	TEMPLATE:Horse Untrained					CR:1	SOURCEPAGE:Pnd		KIT:1|TN
Pony (Rochuin/True)	OUTPUTNAME:Pony, True Rochuin		STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5	VISION:Low-light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-7	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Jump|Listen|Spot			BONUS:WEAPONPROF=Hoof|DAMAGE|-ceil(STR/2)	BONUS:WEAPONPROF=Hoof|TOHIT|-5	AUTO:FEAT|Alertness				LEGS:4					NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Scent									MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast	RACESUBTYPE:Horse	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Horse Untrained					CR:1	SOURCEPAGE:Pnd		KIT:1|TN
#																																																																	
# Race Name																																																																	
Horse (Heavy).COPY=Horse (Kalstein)																																																																	
Horse (Kalstein).MOD																			BONUS:STAT|STR|2		BONUS:STAT|CON|2						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Skill Focus(Balance)											ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Rahedan)																																																																	
