SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Cancer Mage	HD:6	TYPE:PC.Prestige.Vile	ABB:Cam	MAXLEVEL:10	SOURCEPAGE:BoVD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
CLASS:Cancer Mage	PREALIGN:LE,NE,CE	PRECHECKBASE:1,Fortitude=5	PRESKILL:1,Heal=3	PRESKILL:2,Hide=6,Move Silently=6	PRESKILL:1,Knowledge (Religion)=2	PREFEAT:3,Great Fortitude,Poison Immunity,Toughness	PRETEXT:must have fallen victim to the ravages of a disease and must have taken damage from a poison.				
#CLASS:Cancer Mage	STARTSKILLPTS:6	CSKILL:Alchemy|Balance|Bluff|Climb|TYPE.Craft|Disable Device|Disguise|Escape Artist|Gather Information|Heal|Hide|Intimidate|Intuit Diorection|Jump|Knowledge (Nature)|Listen|Move Silently|Sleight of Hand|TYPE.Profession|Ride|Search|Sense Motive|Spot|Swim|Tumble|Use Rope									
CLASS:Cancer Mage	STARTSKILLPTS:6	CSKILL:Balance|Bluff|Climb|TYPE.Craft|Disable Device|Disguise|Escape Artist|Gather Information|Heal|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Sleight of Hand|TYPE.Profession|Ride|Search|Sense Motive|Spot|Swim|Tumble|Use Rope|Survival									
1		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|All Martial Weapon Proficiencies	AUTO:FEAT|Simple Weapon Proficiency|Martial Weapon Proficiency Output								
1		AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)|Armor Proficiency (Heavy)									
1		AUTO:FEAT|Shield Proficiency|Tower Shield Proficiency									
#											
1				ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Cancer Mage Sneak Attack|Disease Host			BONUS:VAR|CancerMageSneakAttackLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Contagion (Sp/WIS)|Cancerous Companion			BONUS:VAR|ContagionPerDay|CL	BONUS:VAR|ContagionLVL|CL	BONUS:VAR|CancerousCompanionLVL|CL		
3				ABILITY:Special Ability|AUTOMATIC|Tatterdemalion|Poison (Sp/WIS)			BONUS:VAR|PoisonPerDay|CL	BONUS:VAR|PoisonLVL|CL			
4				ABILITY:Special Ability|AUTOMATIC|Children of the Night							
5				ABILITY:Special Ability|AUTOMATIC|Viral Agent							
