SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net														
																
#Rod of Reversal	COST:132000															
#Rod of Recluse	COST:33600															
																
###Block																
Rod of Reversal		TYPE:Magic.Rod.Relic	COST:132000	WT:5.00	BASEITEM:Rod	SOURCEPAGE:CD	PREDEITY:1,Boccob	MODS:NO	ABILITY:Special Ability|VIRTUAL|Rod of Reversal Ability							
Rod of Recluse		TYPE:Magic.Rod.Relic.Enhancement.Weapon.Melee.Finesseable.Simple.Specific.Bludgeoning.Mace	COST:33600	WT:5.00	BASEITEM:Rod	SOURCEPAGE:CD	PREDEITY:1,Lolth	MODS:NO	ABILITY:Special Ability|VIRTUAL|Rod of Recluse Ability	PROFICIENCY:WEAPON|Mace (Light)	CRITMULT:x2	CRITRANGE:1		EQMOD:STEEL.PLUS3W	WIELD:Light	SIZE:M
																
#Staff																
Staff (the Beatific/Lesser)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:28266	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Beatific/Greater)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:78750	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Building)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:38156	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Diabolical/Lesser)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:28266	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Diabolical/Greater)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:78750	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Fauna)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:19406	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Gaol)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:51563	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Homeland)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:48469	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Hunting Spirit)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:66938	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Incarnation)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:60563	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Jetstream)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:89250	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
