SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																																				
#																																						
# type		HITDIE:12		CR:2	DR:10/Silver and Magic		LEVELADJUSTMENT:8	TEMPLATE:Undead	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	SOURCEPAGE:MonstersT-Z.rtf	SAB:Blood Drain (Ex)	SAB:Children of the Night (Su)	SAB:Dominate (Su) DC%1|VampireAbilityDC	SAB:Energy Drain (Su)	SAB:Create Spawn (Su)	SAB:Alternate Form (Su)	SAB:Fast Healing 5 (Ex)	SAB:Gaseous Form (Su)	SAB:Energy Resistance Cold/Electricity 10	SAB:Turn Resistance +4 (Ex)	SAB:Spider Climb (Ex)	DEFINE:VampireAbilityDC|0		PREALIGN:2,5,8		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	BONUS:VAR|VampireAbilityDC|15+CHA		FEAT:Alertness,Combat Reflexes,Dodge,Improved Initiative,Lightning Reflexes		TYPE:Undead
#																																						
#Spirit Shaman																																						
Spirit Who Walks	VISIBLE:NO		PRECLASS:1,Spirit Shaman=20	RACETYPE:Fey		DR:5/cold iron	TEMPLATE:Fey																															
#																																						
#Contemplative																																						
Eternal Body	VISIBLE:NO		PRECLASS:1,Contemplative=9					TEMPLATE:CHOOSE:Timeless Body ~ Adult|Timeless Body ~ Middle Age|Timeless Body ~ Old|Timeless Body ~ Venerable																														
Contemplative Outsider	VISIBLE:NO		PRECLASS:1,Contemplative=10	RACETYPE:Outsider	RACESUBTYPE:Native	DR:10/Magic	TEMPLATE:Outsider|Native																															
#																																						
#Divine Crusader																																						
Divine Crusader Outsider	VISIBLE:NO		PRECLASS:1,Divine Crusader=10	RACETYPE:Outsider	RACESUBTYPE:Native	DR:10/Magic	TEMPLATE:Outsider|Native																															
#Geomancer																																						
Geomancer Antlers	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Antlers Fine|Geomancer Antlers Diminutive|Geomancer Antlers Tiny|Geomancer Antlers Small|Geomancer Antlers Medium|Geomancer Antlers Large|Geomancer Antlers Huge|Geomancer Antlers Gargantuan|Geomancer Antlers Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Antlers Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1																													
Geomancer Antlers Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d2																													
Geomancer Antlers Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d3																													
Geomancer Antlers Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d4																													
Geomancer Antlers Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d6																													
Geomancer Antlers Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8																													
Geomancer Antlers Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6																													
Geomancer Antlers Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d8																													
Geomancer Antlers Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Antlers,Weapon.Natural.Melee.Finesseable.Piercing,*1,4d6																													
																																						
Geomancer Talons	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Talons Fine|Geomancer Talons Diminutive|Geomancer Talons Tiny|Geomancer Talons Small|Geomancer Talons Medium|Geomancer Talons Large|Geomancer Talons Huge|Geomancer Talons Gargantuan|Geomancer Talons Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Talons Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d2	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d3	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d4	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d6	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,2d6	AUTO:FEAT|Weapon Finesse																												
Geomancer Talons Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Talons,Weapon.Natural.Melee.Finesseable.Slashing,*2,2d8	AUTO:FEAT|Weapon Finesse																												
																																						
Geomancer Mouth	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Bite Fine|Geomancer Bite Diminutive|Geomancer Bite Tiny|Geomancer Bite Small|Geomancer Bite Medium|Geomancer Bite Large|Geomancer Bite Huge|Geomancer Bite Gargantuan|Geomancer Bite Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Bite Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,1																													
Geomancer Bite Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d2																													
Geomancer Bite Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d3																													
Geomancer Bite Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d4																													
Geomancer Bite Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d6																													
Geomancer Bite Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,2d6																													
Geomancer Bite Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,2d8																													
Geomancer Bite Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,4d6																													
Geomancer Bite Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*1,4d8																													
																																						
Geomancer Claws	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Claw Fine|Geomancer Claw Diminutive|Geomancer Claw Tiny|Geomancer Claw Small|Geomancer Claw Medium|Geomancer Claw Large|Geomancer Claw Huge|Geomancer Claw Gargantuan|Geomancer Claw Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Claw Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1																													
Geomancer Claw Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1																													
Geomancer Claw Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d2																													
Geomancer Claw Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d3																													
Geomancer Claw Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d4																													
Geomancer Claw Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,1d6																													
Geomancer Claw Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,2d6																													
Geomancer Claw Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,2d8																													
Geomancer Claw Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Slashing,*2,4d6																													
																																						
Geomancer Stinger	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Stinger Fine|Geomancer Stinger Diminutive|Geomancer Stinger Tiny|Geomancer Stinger Small|Geomancer Stinger Medium|Geomancer Stinger Large|Geomancer Stinger Huge|Geomancer Stinger Gargantuan|Geomancer Stinger Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Stinger Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1																													
Geomancer Stinger Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1																													
Geomancer Stinger Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1d2																													
Geomancer Stinger Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1d3																													
Geomancer Stinger Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1d4																													
Geomancer Stinger Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,1d6																													
Geomancer Stinger Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,2d6																													
Geomancer Stinger Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,2d8																													
Geomancer Stinger Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Stinger,Weapon.Natural.Melee.Finesseable.Piercing,*2,4d6																													
																																						
Geomancer Jaw	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Jaw Fine|Geomancer Jaw Diminutive|Geomancer Jaw Tiny|Geomancer Jaw Small|Geomancer Jaw Medium|Geomancer Jaw Large|Geomancer Jaw Huge|Geomancer Jaw Gargantuan|Geomancer Jaw Colossal	PRECLASS:1,Geomancer=1																																		
