SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Detect Magic.MOD	CLASSES:Blighter=0	
Detect Poison.MOD	CLASSES:Blighter=0	
Flare.MOD	CLASSES:Blighter=0	
Ghost Sound.MOD	CLASSES:Blighter=0	
Inflict Minor Wounds.MOD	CLASSES:Blighter=0	
Read Magic.MOD	CLASSES:Blighter=0	
Touch of Fatigue.MOD	CLASSES:Blighter=0	
Bane.MOD	CLASSES:Blighter=1	
Burning Hands.MOD	CLASSES:Blighter=1	
Curse Water.MOD	CLASSES:Blighter=1	
Decomposition.MOD	CLASSES:Blighter=1	
Detect Undead.MOD	CLASSES:Blighter=1	
Doom.MOD	CLASSES:Blighter=1	
Endure Elements.MOD	CLASSES:Blighter=1	
Inflict Light Wounds.MOD	CLASSES:Blighter=1	
Invisibility to Animals.MOD	CLASSES:Blighter=1	
Ray of Enfeeblement.MOD	CLASSES:Blighter=1	
Chill Metal.MOD	CLASSES:Blighter=2	
Chill Touch.MOD	CLASSES:Blighter=2	
Darkness.MOD	CLASSES:Blighter=2	
Death Knell.MOD	CLASSES:Blighter=2	
Fire Trap.MOD	CLASSES:Blighter=2	
Flaming Sphere.MOD	CLASSES:Blighter=2	
Heat Metal.MOD	CLASSES:Blighter=2	
Inflict Moderate Wounds.MOD	CLASSES:Blighter=2	
Produce Flame.MOD	CLASSES:Blighter=2	
Resist Energy.MOD	CLASSES:Blighter=2	
Warp Wood.MOD	CLASSES:Blighter=2	
Contagion.MOD	CLASSES:Blighter=3	
Deeper Darkness.MOD	CLASSES:Blighter=3	
Desecrate.MOD	CLASSES:Blighter=3	
Diminish Plants.MOD	CLASSES:Blighter=3	
Dispel Magic.MOD	CLASSES:Blighter=3	
Inflict Serious Wounds.MOD	CLASSES:Blighter=3	
Poison.MOD	CLASSES:Blighter=3	
Protection from Energy.MOD	CLASSES:Blighter=3	
Stinking Cloud.MOD	CLASSES:Blighter=3	
Vampiric Touch.MOD	CLASSES:Blighter=3	
Animate Dead.MOD	CLASSES:Blighter=4	
Antiplant Shell.MOD	CLASSES:Blighter=4	
Blight.MOD	CLASSES:Blighter=4	
Death Ward.MOD	CLASSES:Blighter=4	
Flame Strike.MOD	CLASSES:Blighter=4	
Inflict Critical Wounds.MOD	CLASSES:Blighter=4	
Languor.MOD	CLASSES:Blighter=4	
Repel Vermin.MOD	CLASSES:Blighter=4	
Rusting Grasp.MOD	CLASSES:Blighter=4	
Transmute Rock to Mud.MOD	CLASSES:Blighter=4	
Unhallow.MOD	CLASSES:Blighter=4	
Wall of Fire.MOD	CLASSES:Blighter=4	
Antilife Shell.MOD	CLASSES:Blighter=5	
Contagious Touch.MOD	CLASSES:Blighter=5	
Create Undead.MOD	CLASSES:Blighter=5	
Forbiddance.MOD	CLASSES:Blighter=5	
Repel Wood.MOD	CLASSES:Blighter=5	
Waves of Fatigue.MOD	CLASSES:Blighter=5	
Acid Fog.MOD	CLASSES:Blighter=6	
Antipathy.MOD	CLASSES:Blighter=6	
Circle of Death.MOD	CLASSES:Blighter=6	
Finger of Death.MOD	CLASSES:Blighter=6	
Fire Seeds.MOD	CLASSES:Blighter=6	
Dispel Magic (Greater).MOD	CLASSES:Blighter=6	
Control Undead.MOD	CLASSES:Blighter=7	
Control Weather.MOD	CLASSES:Blighter=7	
Earthquake.MOD	CLASSES:Blighter=7	
Fire Storm.MOD	CLASSES:Blighter=7	
Miasma.MOD	CLASSES:Blighter=7	
Repel Metal or Stone.MOD	CLASSES:Blighter=7	
Repulsion.MOD	CLASSES:Blighter=7	
Horrid Wilting.MOD	CLASSES:Blighter=8	
Mind Blank.MOD	CLASSES:Blighter=8	
Shambler.MOD	CLASSES:Blighter=8	
Waves of Exhaustion.MOD	CLASSES:Blighter=8	
Antipathy.MOD	CLASSES:Blighter=9	
Foresight.MOD	CLASSES:Blighter=9	
Implosion.MOD	CLASSES:Blighter=9	
Incendiary Cloud.MOD	CLASSES:Blighter=9	
Storm of Vengeance.MOD	CLASSES:Blighter=9	
Animate Rope.MOD	CLASSES:Consecrated Harrier=1	
Calm Emotions.MOD	CLASSES:Consecrated Harrier=1	
Command.MOD	CLASSES:Consecrated Harrier=1	
Disguise Self.MOD	CLASSES:Consecrated Harrier=1	
Doom.MOD	CLASSES:Consecrated Harrier=1	
Charm Person.MOD	CLASSES:Consecrated Harrier=2	
Daylight.MOD	CLASSES:Consecrated Harrier=2	
Detect Thoughts.MOD	CLASSES:Consecrated Harrier=2	
Hold Person.MOD	CLASSES:Consecrated Harrier=2	
Clairaudience/Clairvoyance.MOD	CLASSES:Consecrated Harrier=3	
Death Ward.MOD	CLASSES:Consecrated Harrier=3	
Discern Lies.MOD	CLASSES:Consecrated Harrier=3	
See Invisibility.MOD	CLASSES:Consecrated Harrier=3	
