SOURCELONG:Noble Steed	SOURCESHORT:Nob	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								BONUS:VAR|Maneuverability|
Horse (Light).MOD	RACESUBTYPE:Horse	TEMPLATE:Horse Untrained																																																																						
Horse (Heavy).MOD	RACESUBTYPE:Horse	TEMPLATE:Horse Untrained																																																																						
Horse (Warhorse Light).MOD	RACESUBTYPE:Horse																																																																							
Horse (Warhorse Heavy).MOD	RACESUBTYPE:Horse																																																																							
Elephant.MOD	RACESUBTYPE:Elephant																																																																							
Elephant (Indian).MOD	RACESUBTYPE:Elephant																																																																							
Dire Animal (Dire Elephant).MOD	RACESUBTYPE:Elephant																																																																							
Dire Animal (Dire Horse).MOD	RACESUBTYPE:Horse																																																																							
Camel.MOD	RACESUBTYPE:Camel																																																																							
Camel (Bactrian).MOD	RACESUBTYPE:Camel																																																																							
																																																																								
																																																																								
Horse (Light).COPY=Horse (Arabian)	OUTPUTNAME:Horse, [NAME]																		BONUS:STAT|STR|-2	BONUS:STAT|DEX|2																							ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob		BONUS:HP|CURRENTMAX|-3							
Horse (Light).COPY=Horse (Barb)	OUTPUTNAME:Horse, [NAME]				BONUS:MOVEADD|TYPE.Walk|-5								BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE								BONUS:STAT|CON|2																						ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob									
Horse (Light).COPY=Horse (Sorraia)	OUTPUTNAME:Horse, [NAME]				BONUS:MOVEADD|TYPE.Walk|-5								BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE								BONUS:STAT|CON|2																						ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob									
Horse (Light).COPY=Horse (Andalusian)	OUTPUTNAME:Horse, [NAME]												BONUS:COMBAT|AC|-1|TYPE=NaturalArmor.REPLACE											BONUS:STAT|CHA|2																			ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob		BONUS:HP|CURRENTMAX|3							
Pony.COPY=Pony (Norvejan)	OUTPUTNAME:Pony, [NAME]																				BONUS:STAT|CON|2																						ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Training ~ Pony											RACESUBTYPE:Pony									SOURCEPAGE:Nob		BONUS:VAR|ColdResistanceBonus|10							
Pony.COPY=Pony (Ariegeois)	OUTPUTNAME:Pony, [NAME]																															AUTO:FEAT|Surefooted											ABILITY:Special Ability|AUTOMATIC|Training ~ Pony											RACESUBTYPE:Pony									SOURCEPAGE:Nob									
Pony.COPY=Pony (Shetland)	OUTPUTNAME:Pony, [NAME]																		BONUS:STAT|STR|2													AUTO:FEAT|Fearless											ABILITY:Special Ability|AUTOMATIC|Training ~ Pony											RACESUBTYPE:Pony									SOURCEPAGE:Nob									
Horse (Heavy).COPY=Horse (Brabant)	OUTPUTNAME:Horse, [NAME]												BONUS:COMBAT|AC|-1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2																								ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob									
Horse (Heavy).COPY=Horse (Percheron)	OUTPUTNAME:Horse, [NAME]																			BONUS:STAT|DEX|-2	BONUS:STAT|CON|2											AUTO:FEAT|Fearless											ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Nob									
