SOURCELONG:Monster of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																														
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
#Hathran Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	AUTO:WEAPONPROF|TYPE.Whip																												SOURCEPAGE:PGtF
#																																#
Gnome Artificer Bonus Item	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:GnomeArtificerBonusItemLVL|0			BONUS:VAR|BonusItemNumber|GnomeArtificerBonusItemLVL/2																					SOURCEPAGE:MoF
Gnome Artificer Shadow Effect	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	SPELLKNOWN:CLASS|Gnome Artificer=3|Fly,Haste,Sleet Storm|Gnome Artificer=4|Ice Storm,Wall of Fire,Wall of Ice																												SOURCEPAGE:MoF
Guild Wizard of Waterdeep Spellpool	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:GuildWizardOfWaterdeepSpellpoolLVL|0			BONUS:VAR|SpellpoolLimit|min(9,(((GuildWizardOfWaterdeepSpellpoolLVL+2)/4)*3))																					SOURCEPAGE:MoF
Harper Mage Harper Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperMageHarperKnowledgeLVL|0			BONUS:VAR|HarperKnowledge|HarperMageHarperKnowledgeLVL																					SOURCEPAGE:MoF
Harper Priest Blessing	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|HarperBlessing|CL+WIS																					SOURCEPAGE:MoF
Harper Priest Harper Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperPriestHarperKnowledgeLVL|0			BONUS:VAR|HarperKnowledge|HarperPriestHarperKnowledgeLVL																					SOURCEPAGE:MoF
Master Alchemist Brew	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MasterAlchemistBrewLVL|0			BONUS:VAR|BrewPerDay|1+(((MasterAlchemistBrewLVL+3)/4))																					SOURCEPAGE:MoF
Master Alchemist Brew Potion	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MasterAlchemistBrewPotionLVL|0			BONUS:VAR|BrewPotionLVL|4|PREVARGTEQ:MasterAlchemistBrewPotionLVL,2	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistBrewPotionLVL,3	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistBrewPotionLVL,4	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistBrewPotionLVL,7	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistBrewPotionLVL,8	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistBrewPotionLVL,10																SOURCEPAGE:MoF
Mystic Wanderer Great Potion	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MysticWandererGreatPotionLVL|0			BONUS:VAR|GreatPotionLVL|(((MysticWandererGreatPotionLVL-4)/2))																					SOURCEPAGE:MoF
Spelldancer Spelldance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpelldancerSpelldanceLVL|0			BONUS:VAR|SpelldancePerDay|SpelldancerSpelldanceLVL																					SOURCEPAGE:MoF
Spelldancer Enthralling Dance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpelldancerEnthrallingDanceLVL|0			BONUS:VAR|EnthrallingDancePerDay|1|PREVARGTEQ:SpelldancerEnthrallingDanceLVL,2	BONUS:VAR|EnthrallingDancePerDay|1|PREVARGTEQ:SpelldancerEnthrallingDanceLVL,4	BONUS:VAR|EnthrallingDanceDC|SpelldancerEnthrallingDanceLVL																			SOURCEPAGE:MoF
Spelldancer Sleep Dance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpelldancerSleepDanceLVL|0			BONUS:VAR|SleepDancePerDay|1	BONUS:VAR|SleepDanceDC|SpelldancerSleepDanceLVL																				SOURCEPAGE:MoF
Spelldancer Confusing Dance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpelldancerConfusingDanceLVL|0			BONUS:VAR|ConfusingDancePerDay|1	BONUS:VAR|ConfusingDanceDC|SpelldancerConfusingDanceLVL																				SOURCEPAGE:MoF
Spellfire Channeler Increased Storage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpellfireChannelerIncreasedStorageLVL|0			BONUS:VAR|IncreasedStorageSpellfire|(((SpellfireChannelerIncreasedStorageLVL+1)/2))*max(0,CON)																					SOURCEPAGE:MoF
Spellfire Channeler Rapid Blast	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpellfireChannelerRapidBlastLVL|0			BONUS:VAR|RapidBlastAttack|SpellfireChannelerRapidBlastLVL/4																					
Spellfire Channeler Maelstrom of Fire	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpellfireChannelerMaelstromOfFireLVL|0			BONUS:VAR|MaelstromOfFireDC|SpellfireChannelerMaelstromOfFireLVL																					
