SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																										
###Block: AB																												
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Acid Splash			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of acid.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Missile deals 1d3 acid damage.	SOURCEPAGE:MoF										
Acid Storm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of acid.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:1d6 acid damage/level, 20-ft radius.	SOURCEPAGE:MoF										
Alamanther's Return			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:See text	TARGETAREA:One spell or spell-like abilities.		DURATION:See text	SAVEINFO:See text	SPELLRES:See Text	DESC:Duplicate observed spell or spell-like ability.	SOURCEPAGE:MoF		COST:50	XPCOST:1000							
Amanuensis			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Object or objects with writing.		DURATION:10 minutes/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Copy nonmagical text.	SOURCEPAGE:MoF										
Amplify			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 minute	RANGE:Long	TARGETAREA:A 15-ft-radius emanation centered on a creature, object or point in space		DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:See Text	DESC:Lowers Listen DC by 20.	SOURCEPAGE:MoF										
Antimagic Aura			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Antimagic Field that affects one creature.	SOURCEPAGE:MoF										
Aura against Flame			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Ignores 12 fire damage/round and extinguish fires.	SOURCEPAGE:MoF										
Aura of Glory			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Bonus on CHA based skill checks, cure allies and bolster them against fear.	SOURCEPAGE:MoF										
Aura of Vitality			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3 levels, no two of which can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subjects gain +4 to STR, DEX and CON.	SOURCEPAGE:MoF							TEMPBONUS:ANYPC|STAT|STR,DEX,CON|4|TYPE=Enhancement			
Azuth's Exalted Triad			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Cast a prepared spell thee times.	SOURCEPAGE:MoF										
