SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																								
																										
# BASICS																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
#Bigby																										
Grasping Hand.COPY=Bigby's Grasping Hand																										
#Drawmij																										
Instant Summons.COPY=Drawmij's Instant Summons																										
#Evard's																										
Black Tentacles.COPY=Evard's Black Tentacles																										
#Leomund																										
Leomund's Trap			TYPE:Arcane			SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:	SOURCEPAGE:PHB		COST:50						
Secure Shelter.COPY=Leomund's Secure Shelter																										
Secret Chest.COPY=Leomund's Secret Chest																										
Tiny Hut.COPY=Leomund's Tiny Hut																										
#Melf																										
Acid Arrow.COPY=Melf's Acid Arrow																										
#Mordenkainen																										
Mage's Disjunction.COPY=Mordenkainen's Disjunction																										
Mage's Faithful Hound.COPY=Mordenkainen's Faithful Hound																										
Mage's Magnificent Mansion.COPY=Mordenkainen's Magnificent Mansion																										
Mage's Sword.COPY=Mordenkainen's Sword																										
#Nystul																										
Magic Aura.COPY=Nystul's Magic Aura																										
#Otiluke																										
#Dispelling Screen.COPY=Otiluke's Dispelling Screen	SOURCEPAGE:CA																									
#Dispelling Screen (Greater).COPY=Otiluke's Dispelling Screen (Greater)	OUTPUTNAME:Otiluke's Dispelling Screen, Greater	SOURCEPAGE:CA																								
Freezing Sphere.COPY=Otiluke's Freezing Sphere																										
Resilient Sphere.COPY=Otiluke's Resilient Sphere																										
#Otto																										
Irresistible Dance.COPY=Otto's Irresistible Dance																										
#Rary																										
Mnemonic Enhancer.COPY=Rary's Mnemonic Enhancer																										
Telepathic Bond.COPY=Rary's Telepathic Bond																										
#Tasha																										
Hideous Laughter.COPY=Tasha's Hideous Laughter																										
#Tenser																										
Transformation.COPY=Tenser's Transformation																										
Floating Disk.COPY=Tenser's Floating Disk																										
#																										
