SOURCELONG:Gozzilioni Rsrd Modifications	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																															
#																																	
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:	
CATEGORY=Special Ability|Turn Air.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Rebuke Air.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Turn Earth.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Rebuke Earth.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Turn Water.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Rebuke Water.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Turn Fire.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Rebuke Fire.MOD	TYPE:TurnElemental																																
CATEGORY=Special Ability|Druid ~ Wild Shape.MOD	TYPE:WildShape																																
CATEGORY=Special Ability|Rage.MOD	TYPE:Rage																																
CATEGORY=Special Ability|Curse of Lycanthropy.MOD	DEFINE:CurseOfLycanthropyDC|15	DESC:Fort DC %1|CurseOfLycanthropyDC																															
CATEGORY=Special Ability|Whirlwind.MOD	DESC:Ref DC %1|WhirlwindDC	DEFINE:WhirlwindDC|10+(HD/2)+STR	BONUS:VAR|WhirlwindDC|2|PREFEAT:1,Ability Focus(Whirlwind)																														
CATEGORY=Special Ability|Burn.MOD	DESC:Ref DC %1|BurnDC	DEFINE:BurnDC|10+(HD/2)+CON	BONUS:VAR|BurnDC|2|PREFEAT:1,Ability Focus(Burn)																														
CATEGORY=Special Ability|Vortex.MOD	DESC:Ref DC %1|VortexDC	DEFINE:VortexDC|10+(HD/2)+CON	BONUS:VAR|VortexDC|2|PREFEAT:1,Ability Focus(Vortex)																														
CATEGORY=Special Ability|Distraction.MOD	DESC:Fort DC %1|DistractionDC	DEFINE:DistractionDC|10+(HD/2)+CON	BONUS:VAR|DistractionDC|2|PREFEAT:1,Ability Focus(Distraction)																														
CATEGORY=Special Ability|Rend.MOD	DESC:%1d%2 + %3|RendDice|RendDie|RendBonusDamage	DEFINE:RendDice|0	DEFINE:RendDie|0	DEFINE:RendBonusDamage|STR*3/2																													
CATEGORY=Special Ability|Stonecunning.MOD	BONUS:SKILL|Search (Notice unusual stonework)|2|TYPE=RACIAL	BONUS:VAR|StonecunningLevel|1|TYPE=Stonecunning																															
CATEGORY=Special Ability|Crippling Strike.MOD	DESC:.CLEAR	DESC:An opponent damaged with Sneak Attack also takes %1 points STR damage.|CripplingStrikeDamage	DEFINE:CripplingStrikeDamage|0	BONUS:VAR|CripplingStrikeDamage|2|TYPE=Base																													
CATEGORY=Special Ability|Archmage Spell Power.MOD	BONUS:CASTERLEVEL|TYPE.Arcane|1																																
CATEGORY=Special Ability|Grace.MOD	DESC:Grace (Ex) +%1|GraceBonus	DEFINE:GraceBonus|0																															
CATEGORY=Special Ability|Regeneration.MOD	OUTPUTNAME:Regeneration %1|RegenerationRate	DESC:%1|RegenerationRate
#																																	
Resistance To Illusions	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:IllusionsResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Illusions Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Illusions,Vulnerability To Illusions													SOURCEPAGE:RLCoD										
Resistance To Illusions Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Illusions	DESC:You get a +%1 bonus on saving throws against Illusion spells.|IllusionsResistanceBonus	ASPECT:Resistance|Illusions	ASPECT:Ability Benefit|%1|IllusionsResistanceBonus																									SOURCEPAGE:RLCoD										

Circle Leader	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY								DEFINE:CircleLeaderPower|0								ABILITY:Special Ability|AUTOMATIC|Circle Leader Output|PREVARLTEQ:CircleLeaderPower,1	ABILITY:Special Ability|AUTOMATIC|Great Circle Leader Output|PREVARGTEQ:CircleLeaderPower,2												SOURCEPAGE:DMG	
Circle Leader Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:EXPORT	OUTPUTNAME:Circle Leader																												SOURCEPAGE:DMG	
Great Circle Leader Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:EXPORT	OUTPUTNAME:Great Circle Leader																												SOURCEPAGE:DMG	

# Immunity to Ranged Attack	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take damage from ranged magic attack.																												SOURCEPAGE:MM	ASPECT:Immunity|Ranged Attack
# Inertial Armor (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike	VISIBLE:YES	DESC:+4armor bonus to AC as long as remain conscious.																												SOURCEPAGE:MM	
