SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	RACESUBTYPE:	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Dragon Cloud			STARTFEATS:1	SIZE:H	MOVE:Fly,150	FACE:15	REACH:15	VISION:Darkvision (60')		PREALIGN:TN	AUTO:LANG|Auran		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|12	BONUS:STAT|CON|8	BONUS:STAT|INT|-4					MONCSKILL:Listen|Spot					AUTO:FEAT|Flyby Attack				LEGS:0	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d4		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Lightning					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability		DR:10/Magic		MONSTERCLASS:Elemental (Air/Fire):21	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar|Good	TYPE:Elemental								SOURCEPAGE:EXD, pag 97		DEFINE:BreathWeaponLine|100	DEFINE:BreathWeaponDice|10	DEFINE:BreathWeaponDamageDie|6					BONUS:VAR|Maneuverability|3
Archon (Owl)	OUTPUTNAME:Archon [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,90	FACE:10	REACH:10			PREALIGN:LG	AUTO:LANG|Celestial|Draconic|Infernal|Sylvan		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|4|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|10	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Diplomacy|Escape Artist|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Eye Rays 2|Freedom of Movement (Sp always active)|Swoop|Stone to Flesh (Sp at will)				ABILITY:Special Ability|AUTOMATIC|Owl Archon Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:25	DR:10/Evil		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:8	CR:11	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Calm Animals,11+CHA|Charm Animal,11+CHA|Dispel Magic|Faerie Fire|Speak with Animals	BONUS:VAR|EyeRaysPerDay|6	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Dismissal,14+CHA|Find the Path,16+CHA|Dispel Magic (Greater)|Neutralize Poison,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Divine Power|Reincarnate					BONUS:VAR|Maneuverability|4
Archon (Sword)	OUTPUTNAME:Archon [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:10			PREALIGN:LG	AUTO:LANG|Celestial|Infernal		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Gather Information,Sense Motive|8|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Concentration|Decipher Script|Diplomacy|Disguise|Gather Information|Hide|Knowledge (Religion)|Knowledge (The Planes)|Search|Sense Motive|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Armblade,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Armblades|Discorporating Dive					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:26	DR:10/Evil		MONSTERCLASS:Outsider:11	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:21,33	LEVELADJUSTMENT:9	CR:11	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Divination|Locate Creature|Locate Object|Message	DEFINE:DiscorporatingPerDay|3	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Commune|Dispel Chaos,15+CHA|Mark of Justice|Wages of Sin,16+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Touch of Adamantine,16+CHA					BONUS:VAR|Maneuverability|4
Archon (Throne)	OUTPUTNAME:Archon [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			PREALIGN:LG	AUTO:LANG|Abyssal|Celestial|Common|Draconic|Infernal		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate,Sense Motive|8|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (History)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spellcraft|Spot|Survival	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy		AUTO:WEAPONPROF|Greatsword						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Penitentiary Gaze	ABILITY:Special Ability|AUTOMATIC|Channeling					SR:30	DR:10/Evil		MONSTERCLASS:Outsider:14	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:29,42	LEVELADJUSTMENT:10	CR:15	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Atonement|Break Enchantment|Bless Weapon|Blessed Sight|Cure Critical Wounds,14+CHA|Detect Evil|Discern Lies,14+CHA|Dispel Magic (Greater)|Hallow|Mark of Justice|Neutralize Poison,14+CHA|Restoration,12+CHA|See Invisibility|Sending|Vision of Heaven,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Banishment,16+CHA|Death Ward,14+CHA|Dictum,17+CHA|Divine Favor|Find the Path,16+CHA|Heal,17+CHA|Heroes' Feast|Holy Sword|Raise Dead|Restoration (Greater),16+CHA|Righteous Smite,17+CHA|Shield of the Archons|True Seeing,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Resurrection						
Archon (Warden)	OUTPUTNAME:Archon [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			PREALIGN:LG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|8|TYPE=Racial				BONUS:STAT|STR|16		BONUS:STAT|CON|6	BONUS:STAT|INT|6		BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Diplomacy|Jump|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spot|Survival|Swim|Tumble	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy								LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Rend	ABILITY:Special Ability|AUTOMATIC|Scent|Uncanny Dodge ~ Base|Unerring Assay					SR:25	DR:10/Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Detect Scrying|Detect Thoughts,12+CHA|Locate Creature|Scrying,15+CHA|See Invisibility|True Strike	BONUS:VAR|UncannyDodgeLevel|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Shield of the Archons|True Seeing,15+CHA					
Asura			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CG	AUTO:LANG|Celestial		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Diplomacy|Escape Artist|Intimidate|Knowledge (The Planes)|Listen|Sense Motive|Spot|Survival|Use Rope	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium		AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Burning Wind		ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Immunity To Petrification|Immunity To Charm Effects|Immunity to Compulsion Effects			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:19	DR:5/Cold Iron or Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Asura|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Detect Good|Detect Evil|Discern Lies,12+CHA|True Seeing	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Holy Smite,13+CHA|Magic Circle against Evil|Polymorph							BONUS:VAR|Maneuverability|4
Bariaur		FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Celestial|Common				BONUS:SKILL|Listen,Spot|2|TYPE=Racial				BONUS:STAT|STR|4		BONUS:STAT|CON|2			BONUS:STAT|CHA|-2			MONCSKILL:Diplomacy|Handle Animal|Hide|Jump|Listen|Move Silently|Ride|Sense Motive|Spot|Survival|Tumble	AUTO:ARMORPROF|ARMORTYPE=Barding.Light|ARMORTYPE=Barding.Medium		AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:4	HANDS:2				NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Powerful Charge	ABILITY:Special Ability|AUTOMATIC|Bariaur Resistance					SR:11+TL			MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Bariaur|Chaotic|Extraplanar|Good	TYPE:Outsider						LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:EXD									
Crypt Warden			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:LG	AUTO:LANG|Celestial|Common		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|2		BONUS:STAT|INT|14	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Climb|Diplomacy|Intimidate|Jump|Knowledge (Religion)|Sense Motive|Tumble	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:WEAPONPROF|Sword (Bastard)						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Animate Objects|Holy Smite (Sp at will)						SR:19	DR:5/Bludgeoning		MONSTERCLASS:Deathless:9	RACETYPE:Deathless		TYPE:Deathless					HITDICEADVANCEMENT:13,27		CR:8	SOURCEPAGE:EXD		DEFINE:HolySmiteLVL|10							
Eladrin (Coure)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,60	FACE:2.5	REACH:0			PREALIGN:CG	AUTO:LANG|Celestial|Common		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial				BONUS:STAT|STR|-4	BONUS:STAT|DEX|14	BONUS:STAT|CON|2	BONUS:STAT|INT|2		BONUS:STAT|CHA|4			MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival|Use Rope			AUTO:WEAPONPROF|Dagger						LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Alternate Form|Magic Circle against Evil								MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Planar|Good	TYPE:Outsider					HITDICEADVANCEMENT:2,6	LEVELADJUSTMENT:5	CR:2	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=4|Dancing Lights|Detect Evil|Detect Magic|Faerie Fire	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Magic Missile|Sleep,11+CHA							BONUS:VAR|Maneuverability|5
Eladrin (Firre)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			PREALIGN:CG	AUTO:LANG|Celestial|Common|Draconic|Infernal		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (The Planes)|TYPE.Perform|Sense Motive|Spellcraft|Survival			AUTO:WEAPONPROF|Greatsword|Javelin						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Gaze	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Magic Circle against Evil|Song				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:27	DR:10/Cold Iron or Evil		MONSTERCLASS:Firre:8	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Planar|Good	TYPE:Outsider					HITDICEADVANCEMENT:16,24	LEVELADJUSTMENT:10	CR:10	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Detect Thoughts,12+CHA|Fireball,13+CHA|Invisibility (Greater)|Persistent Image,15+CHA|Polymorph|See Invisibility|Wall of Fire	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Prismatic Spray,17+CHA							BONUS:VAR|Maneuverability|5
Eladrin (Shiradi)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:10			PREALIGN:CG	AUTO:LANG|Celestial|Common|Draconic|Infernal		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Sense Motive|10|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Gather Information|Heal|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Knowledge (Religion)|Listen|TYPE.Perform|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Chain (Spiked)						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,1,2d6		ABILITY:Special Ability|AUTOMATIC|Lightshard Strike	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Enchantment Awareness|Protective Aura	ABILITY:Special Ability|AUTOMATIC|Blessed Sight (Sp always active)|Discern Lies (Sp always active)|See Invisibility			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:30	DR:10/Cold Iron or Evil		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Planar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:12	CR:14	SOURCEPAGE:EXD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Aid|Bless|Bless Weapon|Detect Poison|Detect Undead|Dispel Magic (Greater)|Divine Favor|Remove Curse,13+CHA|Remove Fear,11+CHA|Remove Paralysis,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Break Enchantment|Holy Smite,14+CHA|Restoration,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Cloak of Chaos,28+CHA|Heal,16+CHA						BONUS:VAR|Maneuverability|4
