SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																										
###Block:Weapons																										
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier		Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus
# Natural																										
																										
# Melee 																										
Turcheon		PROFICIENCY:WEAPON|Turcheon	TYPE:Weapon.Martial.Melee.Standard.Bludgeoning.OneHanded.Finesseable.Subdual.Sap	COST:2	WT:12	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x2							SOURCEPAGE:EXD								
Entangling Pole		PROFICIENCY:WEAPON|Entangling Pole	TYPE:Weapon.Exotic.Melee.Standard.Piercing.Reach.TwoHanded.Polearm	COST:4	WT:5	WIELD:TwoHanded		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD						SOURCEPAGE:EXD			REACHMULT:2				SPROP:entangle with a grapple check without attack of opportunity.	
Grasping Pole		PROFICIENCY:WEAPON|Grasping Pole	TYPE:Weapon.Exotic.Melee.Standard.Bludgeoning.TwoHanded.Subdual.Polearm	COST:8	WT:8	WIELD:TwoHanded		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD						SOURCEPAGE:EXD			REACHMULT:2					
																										
# Ranged																										
Lasso		PROFICIENCY:WEAPON|Lasso	TYPE:Weapon.Exotic.Ranged.Standard.OneHanded.Subdual	COST:1	WT:3	WIELD:OneHanded		SIZE:M				EQMOD:LEATHER						SOURCEPAGE:EXD	RANGE:10						SPROP:Entangling weapon	
																										
# Armor 																										
																										
# Shield																										
																										
# Arrows																										
																										
###Block:Specific Weapons																										
###TODO: it's better to copy the original and modify the copy or not?																										
# Natural																										
																										
# Melee 																										
																										
# Ranged																										
																										
# Armor 																										
# Platinum Armor		PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.Medium.Suit.Specific	COST:0	WT:25	ACCHECK:-2	EQMOD:STEEL.MWORKA.BAHAPLT_A	MAXDEX:4	SOURCEPAGE:EXD	SPELLFAILURE:20	BONUS:COMBAT|AC|4|TYPE=Armor.REPLACE			
Platinum Armor	KEY:Vassal of Bahamut ~ Platinum Armor	PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.Medium.Suit.Specific	COST:0	WT:25	ACCHECK:-2	EQMOD:STEEL.MWORKA.BAHAPLT_A	MAXDEX:4	SOURCEPAGE:ExD	SPELLFAILURE:20	BONUS:COMBAT|AC|4|TYPE=Armor	SIZE:M	PRECLASS:1,Vassal of Bahamut=1
# Shield																										
																										
# Arrows																										
																										
###Block:Monster Weapons																										
###TODO: it's better to copy the original and modify the copy or not?																										
# Melee Specific Weapons																										
																										
# Ranged Specific Weapons																										
																										
# Armor Specific																										
																										
# Shield Specific																										
