SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																													
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Swan	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|3																		
																																
Race Traits ~ Owl Archon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=OwlArchonRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4																		
Natural Weapons	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An owl archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction. Its claws and beak are also treated as silvered weapons for purposes of overcoming damage reduction.	KEY:Owl Archon ~ Natural Weapons																											SOURCEPAGE:ExD
Eye Rays	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1 times per day, an owl archon can shoot twin beams of silvery light from its eyes, striking an opponent within 120 feet. The owl archon must succeed on a ranged touch attack to hit, and any creature struck by the eye rays must make a DC %2 Fortitude save or be turned to stone. This ability's save DC is Constitutionbased.|EyeRaysTimes|EyeRaysDC	KEY:Owl Archon ~ Eye Rays				DEFINE:EyeRaysTimes|0	DEFINE:EyeRaysDC|0				BONUS:VAR|EyeRaysTimes|6	BONUS:VAR|EyeRaysDC|DefaultDCCon	BONUS:VAR|EyeRaysDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Eye Rays)							ABILITY:Ability Focus|AUTOMATIC|Eye Rays									SOURCEPAGE:ExD
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Owl Archon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Calm Animals,11+CHA|Charm Animals,11+CHA|Dispel Magic|Faerie Fire|Speak with Animals	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Dismissal,14+CHA|Find the Path,16+CHA|Dispel Magic (Greater)|Neutralize Poison,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Divine Power|Reincarnate							SOURCEPAGE:ExD
Freedom of Movements	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Always active	KEY:Owl Archon ~ Freedom of Movements																											SOURCEPAGE:ExD
Swoop	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The owl archon can execute a swoop attack that is similar to a charge action in all respects, except as noted here. The owl archon must fly toward its target for a minimum of 40 feet in a straight line. If the swoop attack succeeds, the owl archon can attempt to grapple the target without provoking an attack of opportunity or deal double claw damage (2d8+8 points) Instead.	KEY:Owl Archon ~ Swooop																											SOURCEPAGE:ExD
Stone To Flesh	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An owl archon can use stone to flesh at will, as the spell (Fortitude DC %1 negates). When cast on a creature turned to stone by the archon's own eye rays (see above), the spell does not require the target to make a Fortitude save to survive the transformation. Caster level 12th.	KEY:Owl Archon ~ Stone to Flesh																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Stone to Flesh									SOURCEPAGE:ExD
Skills	CATEGORY:Special Ability	TYPE:OwlArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An owl archon's keen vision gives it a +4 racial bonus on Spot checks. *In areas of shadowy illumination, the bonus increases to +8.	KEY:Owl Archon ~ Skills									BONUS:SKILL|Spot|4|TYPE=Racial	BONUS:SITUATION|Hide=Shadowy area|8|TYPE=Racial																	SOURCEPAGE:ExD
																																
Race Traits ~ Sword Archon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SwordArchonRaceTrait	BONUS:VAR|ArchonStandardLanguages|1																												
Languages	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Sword Archon ~ Languages																		AUTO:LANG|Celestial|Infernal									SOURCEPAGE:ExD
Natural Weapons	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A sword archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Sword Archon ~ Natural Weapons																											SOURCEPAGE:ExD
Armblades	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a free action, a sword archon can mold the flesh of its forearms, hardening and sharpening organic matter into the form of powerful magic blades. The archon wields the blades like longswords, and they gain the properties of +2 holy flaming Longswords. Sword archons can shift back to their "normal" hands as a free action. The armblades cannot be disarmed or sundered, and they automatically assume limb form upon the archon's death.	KEY:Sword Archon ~ Armblades																											SOURCEPAGE:ExD
Discorporating Dive	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1 times per day, a sword archon can attempt to destroy a living enemy with a powerful dive attack, literally flying through its opponent armblades-first, tearing apart its body and sending its soul to imprisonment in the Seven Heavens. Resolve a flying charge as normal. If the archon fails to damage its opponent, the discorporating dive attack is wasted. If damaged, however, the target must make a DC %2 Fortitude save. Those who succeed on the Fortitude save suffer no further effect beyond the damage of the attack.|DiscorporatingDiveTimes|DiscorporatingDiveDC	KEY:Sword Archon ~ Discorporating Dive				DEFINE:DiscorporatingDiveTimes|0	DEFINE:DiscorporatingDiveDC|0				BONUS:VAR|DiscorporatingDiveTimes|3	BONUS:VAR|DiscorporatingDiveDC|DefaultDCCon	BONUS:VAR|DiscorporatingDiveDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Discorporating Dive)							ABILITY:Ability Focus|AUTOMATIC|Discorporating Dive									SOURCEPAGE:ExD
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Sword Archon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Divination|Locate Creature|Locate Object|Message	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Commune|Dispel Chaos,15+CHA|Mark of Justice|Wages of Sin,16+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Touch of Adamantine,16+CHA							SOURCEPAGE:ExD
Skills	CATEGORY:Special Ability	TYPE:SwordArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A sword archon's innate understanding of law, detection, and the taint of sin grants it a +8 racial bonus on Gather Information and Sense Motive checks.	KEY:Sword Archon ~ Skills									BONUS:SKILL|Gather Information,Sense Motive|8|TYPE=Racial																		SOURCEPAGE:ExD
																																
Race Traits ~ Throne Archon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SwordArchonRaceTrait		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	AUTO:WEAPONPROF|Greatsword																	AUTO:EQUIP|Throne Archon ~ Full Plate|Throne Armor ~ Greatsword									
Natural Weapons	CATEGORY:Special Ability	TYPE:ThroneArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Any weapons a throne archon wields are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Throne Archon ~ Natural Weapons																											SOURCEPAGE:ExD
Penitentiary Gaze	CATEGORY:Special Ability	TYPE:ThroneArchonRaceTrait.SpecialAttack.Gaze	VISIBLE:YES	DESC:Any nonlawful good creature within 30 feet of a throne archon that meets the creature's glowing blue eyes must succeed on a Will saving throw (DC %1) or temporarily fall under its influence. Such a being becomes filled with remorse over the distance his life's actions have taken him from the ideals of law or goodness (even if such distance would ordinarily make him proud). The intensity of the remorse (and the relevant game effect) varies depending upon the creature's alignment. Compare the victim's alignment to the chart below, adding any game effects that apply. This ability's save DC is Charisma-based.|PenitentiaryGazeDC	KEY:Throne Archon ~ Penitentiary Gaze				DEFINE:PenitentiaryGazeDC|0					BONUS:VAR|PenitentiaryGazeDC|DefaultDCCha	BONUS:VAR|PenitentiaryGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Penitentiary Gaze)								ABILITY:Ability Focus|AUTOMATIC|Penitentiary Gaze									SOURCEPAGE:ExD
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ThroneArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Throne Archon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Atonement|Break Enchantment|Bless Weapon|Blessed Sight|Cure Critical Wounds,14+CHA|Detect Evil|Discern Lies,14+CHA|Dispel Magic (Greater)|Hallow|Mark of Justice|Neutralize Poison,14+CHA|Restoration,12+CHA|See Invisibility|Sending|Vision of Heaven,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Banishment,16+CHA|Death Ward,14+CHA|Dictum,17+CHA|Divine Favor|Find the Path,16+CHA|Heal,17+CHA|Heroes' Feast|Holy Sword|Raise Dead|Restoration (Greater),16+CHA|Righteous Smite,17+CHA|Shield of the Archons|True Seeing,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Resurrection							SOURCEPAGE:ExD
Channeling	CATEGORY:Special Ability	TYPE:ThroneArchonRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Throne archons can invest mortals with their power. See Channeling in Chapter 2: Variant Rules for details about this process.	KEY:Throne Archon ~ Channeling																											SOURCEPAGE:ExD
Skills	CATEGORY:Special Ability	TYPE:ThroneArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Throne archons command the cities of the Seven Heavens and to mete out justice to mortals and petitioners alike. They enjoy a +8 racial bonus on Intimidate and Sense Motive Checks.	KEY:Throne Archon ~ Skills									BONUS:SKILL|Intimidate,Sense Motive|8|TYPE=Racial																		SOURCEPAGE:ExD
																																
Race Traits ~ Warden Archon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=WardenArchonRaceTrait|Scent		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy																		AUTO:EQUIP|Warden Archon ~ Full Plate									
Natural Weapons	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A warden archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Warden Archon ~ Natural Weapons																											SOURCEPAGE:ExD
Rend	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a warden archon hits a single target with both claws, it latches onto the opponent's body and tears the flesh. This attack deals 2d8+%1 points of Damage.|RendBonusDamage	KEY:Warden Archon ~ Rend				DEFINE:RendBonusDamage|0					BONUS:VAR|RendBonusDamage|RendDefaultDamage																		SOURCEPAGE:ExD
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Warden Archon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Continual Flame|Detect Scrying|Detect Thoughts,12+CHA|Locate Creature|Scrying,15+CHA|See Invisibility|True Strike	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Shield of the Archons|True Seeing,15+CHA								SOURCEPAGE:ExD
Aura Of Menace	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Will save DC 12 + 1/2 archon's HD from class levels + archon's Charisma modifier.	KEY:Warden Archon ~ Aura of Menace									BONUS:VAR|AuraOfMenaceDC|(TL/2)-(HD/2)																		SOURCEPAGE:ExD
Uncanny Dodge	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:A warden archon retains its Dexterity bonus to AC even when flat-footed and cannot be flanked except by a 12thlevel or higher rogue.	KEY:Warden Archon ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLVL|1								ABILITY:Special Ability|VIRTUAL|Uncanny Dodge ~ Base									SOURCEPAGE:ExD
Unerring Assay	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A warden archon instinctively knows the alignment of any creature within 60 feet. Typical methods of masking alignment, such as misdirection or nondetection, have no effect upon a warden archon's unerring assay.	KEY:Warden Archon ~ Unerring Assay																											SOURCEPAGE:ExD
Skills	CATEGORY:Special Ability	TYPE:WardenArchonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A warden archon's keen senses give it a +8 racial bonus on Listen and Spot checks.	KEY:Warden Archon ~ Skills									BONUS:SKILL|Listen,Spot|8|TYPE=Racial																		SOURCEPAGE:ExD
																																
Race Traits ~ Asura	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AsuraRaceTrait|Flight Maneuverability	AUTO:LANG|Celestial										BONUS:VAR|Maneuverability|4									ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfBuckler	AUTO:WEAPONPROF|Scimitar|Longbow	ABILITY:FEAT|AUTOMATIC|Improved Critical (Claw)		AUTO:EQUIP|Asura ~ Breastplate|Asura ~ Scimitar|Asura ~ Buckler|Asura ~ Composite Longbow|Trumpet of Doom				
Natural Weapons	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An asura's natural weapons, as well as any weapons it wields, are treated as having the chaotic and good alignments for the purpose of overcoming damage reduction.	KEY:Asura ~ Natural Weapons																											SOURCEPAGE:ExD
Burning Wind	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An asura can beat its wings as a standard action and generate a searing wave of heat that deals 2d6 points of damage to all creatures within a 15-foot radius.	KEY:Asura ~ Burning Wind																											SOURCEPAGE:ExD
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Asura ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Detect Good|Detect Evil|Discern Lies,12+CHA|True Seeing	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Holy Smite,13+CHA|Magic Circle against Evil (Self Only)|Polymorph								SOURCEPAGE:ExD
Immunities	CATEGORY:Special Ability	TYPE:AsuraRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Asura ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Immunity To Petrification|Immunity To Charm Effects|Immunity to Compulsion									SOURCEPAGE:ExD
																																
Race Traits ~ Exalted Bariaur	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ExaltedBariaurRaceTrait						DEFINE:ExaltedBariaur|0					BONUS:VAR|ExaltedBariaur|1|TYPE=Racial											AUTO:WEAPONPROF|Scimitar|Longbow							
Powerful Charge	CATEGORY:Special Ability	TYPE:ExaltedBariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bariaur often begins a battle by charging at an opponent, lowering its head to smash its horns against a foe. In addition to the normal benefits and hazards of a charge, this allows the bariaur to make a single gore attack that deals 2d6+2 points of bludgeoning damage.	KEY:Exalted Bariaur ~ Powerful Charge																											SOURCEPAGE:ExD
																																
Race Traits ~ Crypt Warden	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CryptWardenRaceTrait	AUTO:LANG|Celestial|Common																			ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf	AUTO:WEAPONPROF|Sword (Bastard)							SOURCEPAGE:ExD
Animate Objects	CATEGORY:Special Ability	TYPE:CryptWardenRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a crypt warden can cause a statue or another object within the tomb it guards to animate, as if affected by the animate objects spell. It can animate one object of Large size or smaller each round; this ability otherwise works as the spell cast by a 10th-level cleric.	KEY:Crypt Warden ~ Animate Objects																											SOURCEPAGE:ExD
