SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Anointed Knight	HD:10	TYPE:PC.Prestige.Exalted	ABB:AnK	MAXLEVEL:10	SOURCEPAGE:EXD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE		
CLASS:Anointed Knight	PREALIGN:LG,NG,CG	PREATT:5	PRESKILL:1,Craft (Alchemy)=5	PRESKILL:2,Knowledge (Arcana)=3,Spellcraft=3	PREFEAT:1,Ancestral Relic						
CLASS:Anointed Knight	STARTSKILLPTS:2	CSKILL:Climb|Concentration|Craft (Alchemy)|Heal|Jump|Knowledge (Arcana)|Knowledge (Religion)|Knowledge (The Planes)|Ride|Spellcraft									
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Annointed Knight								
#											
1							BONUS:ABILITYPOOL|Anoint Self|(CL+2)/3	BONUS:VAR|AnointSelf|CL+CHA		DEFINE:AnointSelf|0	
2							BONUS:ABILITYPOOL|Anoint Ancestral Weapon|(CL+1)/3	BONUS:VAR|AnointAncestralWeapon|CL+CHA		DEFINE:AnointAncestralWeapon|0	
3							BONUS:ABILITYPOOL|Anointed Knight Feat|CL/3				
4											
5											
6											
7											
8											
9											
10											
#											
CLASS:Apostole of Peace	HD:4	TYPE:PC.Prestige.Exalted	ABB:AoP	MAXLEVEL:10	SOURCEPAGE:EXD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE		
CLASS:Apostole of Peace	PREALIGN:LG,NG,CG	PRECHECKBASE:1,Will=5	PRESKILL:1,Concentration=10	PRESKILL:1,Diplomacy=6	PREFEAT:4,Sacred Vow,Vow of Nonviolence,Vow of Peace,Vow of Poverty						
CLASS:Apostole of Peace	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|TYPE.Craft|Diplomacy|Escape Artist|Gather Information|Handle Animal|Heal|TYPE.Knowledge|Listen|TYPE.Perform|TYPE.Profession|Search|Sense Motive|Speak Language|Spellcraft|Spot									
