SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																																																																
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	
#Human																																																																		
Human (Giorgio)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5					LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		
#Dwarf																																																																		
Dwarf (Darkonian)		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor		AUTO:LANG|Common|Dwarven	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Undercommon									BONUS:STAT|CON|2			BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		
#Elf																																																																		
Elf (Darkonian)		FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:Draconic,Gnoll,Gnome,Goblin,Orc,Sylvan								BONUS:STAT|DEX|2	BONUS:STAT|CON|-2															LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		
Elf (Sithican)		FAVCLASS:Wizard		STARTFEATS:2	SIZE:M	MOVE:Walk,31	FACE:6	REACH:6	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:Draconic,Gnoll,Gnome,Goblin,Orc,Sylvan								BONUS:STAT|DEX|3	BONUS:STAT|CON|-1															LEGS:3	HANDS:3						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		
#Half-Elf																																																																		
Half-Elf (Feyborn)		FAVCLASS:HIGHESTLEVELCLASS		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Elf|Elf	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		
#Half-Orc																																																																		
Caliban		FAVCLASS:Barbarian		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')				LANGBONUS:Draconic,Giant,Gnoll,Goblin,Abyssal							BONUS:STAT|STR|2			BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Orc Racial Trait Default					ABILITY:Regional|AUTOMATIC|Ravenloft Region					RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Orc|Orc	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		BONUS:VAR|OutcastRatingBase|5
Half-Vistani				STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5					LANGBONUS:ALL											BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Vistani Racial Trait Default|Half-Vistani Racial Trait					ABILITY:Regional|AUTOMATIC|Ravenloft Region					RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Vistani|Vistani	TYPE:PC							CR:1/2	SOURCEPAGE:RLPHB		BONUS:VAR|OutcastRatingBase|2
