SOURCELONG:Ravenloft Player's Hanbdbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
# Amnesia			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:I ricordi della vittima vengono cancellati permanentemente	SOURCEPAGE:Nep		COST:5000	XPCOST:1000						
Bestow Ancient Curse			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Necromancy			COMPS:V, DF, XP	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You bestow a curse that persists through generations.	SOURCEPAGE:RLPHB	ITEM:Potion		XPCOST:2000						TEMPDESC:The curse persists across the generations.
Bestow Divine Curse			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Transmutation			COMPS:V, M, DF, PowerCheck	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One creature		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:-6 to an ability score; -4 on attack rolls, saves, and checks; or 50%% chance of losing each action.	SOURCEPAGE:RLPHB	ITEM:Potion				TEMPBONUS:ANYPC|CHECKS|ALL|-4|TYPE=Temporary	TEMPBONUS:ANYPC|COMBAT|TOHIT|-4|TYPE=Temporary	TEMPBONUS:ANYPC|SKILL|ALL|-4|TYPE=Temporary		TEMPDESC:Applies penalty to attacks, saves, and skill checks.
Borrowed Time			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5|Blackguard=4		SCHOOL:Necromancy			COMPS:V, M, PowerCheck	CASTTIME:3 days	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Animate yourself as one of the undead to complete a specific task.	SOURCEPAGE:RLPHB									
Borrowed Time (Greater)	OUTPUTNAME:Borrowed Time, Greater		TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Necromancy			COMPS:V, M, PowerCheck	CASTTIME:3 days	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Animate yourself as one of the undead to complete a specific task.	SOURCEPAGE:RLPHB									
Borrowed Time (Lesser)	OUTPUTNAME:Borrowed Time, Lesser		TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3|Blackguard=3		SCHOOL:Necromancy			COMPS:V, M, PowerCheck	CASTTIME:3 days	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Animate yourself as one of the undead to complete a specific task.	SOURCEPAGE:RLPHB									
Feign Undeath			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S, M, PowerCheck	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:2 minutes/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:You may deal your target with the physical aspects of a zombie.	SOURCEPAGE:RLPHB									
Soul Anchor			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION: 1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Bars extradimensional movement.	SOURCEPAGE:RLPHB	ITEM:Potion								
Tomb Ward			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Abjuration			COMPS:V, S, DF, PowerCheck	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One tomb		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Invoke a curse to protect a tomb from defilers.	SOURCEPAGE:RLPHB									
Zone of Deception			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft.-radius emanation		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subjects within range cannot tell the truth.	SOURCEPAGE:RLPHB	ITEM:Potion								
#
Final Rest			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One newly dead body.		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:No	DESC:It can resist to any attermpt to transformation into an undead creature (including Animate Dead and Create Undead spells and create spawn ability of undead creatures).	SOURCEPAGE:RLPHB
