SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
Ravenloft Region	CATEGORY:Regional	TYPE:Regional	VISIBLE:YES								BONUS:ABILITYPOOL|Ravenloft Region|1								COST:0	TEMPLATE:Outcast Rating												SOURCEPAGE:RLDMG
#																																
#	DWARF	BONUS:VAR|OutcastRatingBase|3																														
#	ELF	BONUS:VAR|OutcastRatingBase|3																														
#	GNOME	BONUS:VAR|OutcastRatingBase|2																														
#	HALF-ELF	BONUS:VAR|OutcastRatingBase|1																														
#	HALFLING	BONUS:VAR|OutcastRatingBase|1																														
#Human Aglarond Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Aglarond		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Aglarond Region													SOURCEPAGE:PGtF
Barovia	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Barovia Region													SOURCEPAGE:RLPHB
Borca	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Borca Region													SOURCEPAGE:RLPHB
Darkon	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Darkon Region													SOURCEPAGE:RLPHB
Dementlieu	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Dementlieu Region													SOURCEPAGE:RLPHB
Falkovnia	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Falkovnia Region													SOURCEPAGE:RLPHB
Forlorn	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Forlorn Region													SOURCEPAGE:RLPHB
Hazlan	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Hazlan Region													SOURCEPAGE:RLPHB
Invidia	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Invidia Region													SOURCEPAGE:RLPHB
Kartakass	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Kartakass Region													SOURCEPAGE:RLPHB
Keening	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Keening Region													SOURCEPAGE:RLPHB
Lamordia	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Lamordia Region													SOURCEPAGE:RLPHB
Markovia	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Markovia Region													SOURCEPAGE:RLPHB
Mordent	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Mordent Region													SOURCEPAGE:RLPHB
Necropolis	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Necropolis Region													SOURCEPAGE:RLPHB
Nocturnal Sea	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Nocturnal Sea Region													SOURCEPAGE:RLPHB
Nova Vaasa	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Nova Vaasa Region													SOURCEPAGE:RLPHB
Richmulot	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Richmulot Region													SOURCEPAGE:RLPHB
Sea of Sorrow	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Sea of Sorrow Region													SOURCEPAGE:RLPHB
Shadow Rift	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Shadow Rift Region													SOURCEPAGE:RLPHB
Sithicus	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Sithicus Region													SOURCEPAGE:RLPHB
Tepest	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Tepest Region													SOURCEPAGE:RLPHB
Valachan	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Valachan Region													SOURCEPAGE:RLPHB
