SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net						
								
###Block: Region								
# Template Name	Visible							
# Human Region A/B								
# 								
RL Fear Minor Effect	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC	BONUS:COMBAT|TOHIT|-2|PREAPPLY:ANYPC	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are shaken
RL Fear Moderate Effect	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC	BONUS:COMBAT|TOHIT|-2|PREAPPLY:ANYPC	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are frightened
RL Fear Major Effect	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC		BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are panicked and must drop anything you hold and flee at top speed from the source of your fear
RL Horror Minor Effect Aversion	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC	BONUS:COMBAT|TOHIT|-2|PREAPPLY:ANYPC	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are frightened. You become also Shaken when 50-ft from the location where failed the horror check or identical places.
RL Horror Minor Effect Fearstruck	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC		BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are panicked and must drop anything you hold and flee at top speed from the source of your fear
RL Horror Minor Effect Frozen	VISIBLE:NO	SOURCEPAGE:RLPHB						TEMPDESC:You are overwhelmed by the scene and Take no action for 3 rounds.
RL Horror Minor Effect Nauseated	VISIBLE:NO	SOURCEPAGE:RLPHB						TEMPDESC:You are nauseated. Cannot attack, cast spell, concentrare on spells or anything that requiring attention.
RL Horror Moderate Effect Nightmare	VISIBLE:NO	SOURCEPAGE:RLPHB	BONUS:CHECKS|Fortitude,Reflex,Will|-2|PREAPPLY:ANYPC	BONUS:COMBAT|TOHIT|-2|PREAPPLY:ANYPC	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-2|PREAPPLY:ANYPC			TEMPDESC:You are shaken. When you go to sleep, the horrific event play again in your mind causing waking up in screaming. After 5d6 minutes. Prevent rest.
RL Horror Moderate Effect Obsession	VISIBLE:NO	SOURCEPAGE:RLPHB		BONUS:COMBAT|INITIATIVE|-1|PREAPPLY:ANYPC	BONUS:SKILL|Listen,Search,Spot|-1|PREAPPLY:ANYPC			TEMPDESC:You continually replay the event in your mind.
