SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																						
#Monster Mayhem	http://www.wizards.com/default.asp?x=dnd/mm/20031226a																																																																							
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Dragon (Mist Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,40,Fly,100,Swim,60	FACE:2.5	REACH:0			PREALIGN:TN	AUTO:LANG|Draconic										BONUS:STAT|CON|2									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:3	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:5		CR:3	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 01							BONUS:VAR|Maneuverability|3
Dragon (Mist Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Fly,100,Swim,60	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|2		BONUS:STAT|CON|2									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:8		CR:4	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 02							BONUS:VAR|Maneuverability|3
Dragon (Mist Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150,Swim,60	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|4		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:9	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:11		CR:5	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 03							BONUS:VAR|Maneuverability|2
Dragon (Mist Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150,Swim,60	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|6		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:14		CR:6	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 04							BONUS:VAR|Maneuverability|2
Dragon (Mist Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Swim,60	FACE:10	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:15	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:17		CR:8	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 05							BONUS:VAR|Maneuverability|2
Dragon (Mist Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Swim,60	FACE:10	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:18	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:20		CR:10	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 06							BONUS:VAR|Maneuverability|2
Dragon (Mist Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,60	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|16		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:21	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:23		CR:12	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 07							BONUS:VAR|Maneuverability|2
Dragon (Mist Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,60	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:24	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:26		CR:15	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 08							BONUS:VAR|Maneuverability|2
Dragon (Mist Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,60	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|20		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:27	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:29		CR:17	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 09							BONUS:VAR|Maneuverability|2
Dragon (Mist Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,60	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|22		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Mist Dragon:30	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:32		CR:18	SOURCEPAGE:MMay		SORTKEY:Dragon Mist 10							BONUS:VAR|Maneuverability|2
