SOURCELONG:Arms and Equipment guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net																											
#																													
###Block:Armor abilities																													
# Modifier Name	Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Quick Escape	KEY:QUICK_ESC	TYPE:Armor		COST:300	VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Masterwork,Armor															SPROP:reduce the time to remove the armor. Double the time to don.					
																													
#																													
Acidic	KEY:ACIDIC	TYPE:Armor.Shield	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:2d4 acid damage per round of contact during a grapple.					
Aquatic	KEY:AQUATIC	TYPE:Armor	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]																				
Aquatic (Water Breathing)	KEY:AQUATIC_WTB	TYPE:Armor	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:3,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor],[PRETYPE:1,EQMOD=AQUATIC]															ABILITY:Special Ability|VIRTUAL|Water Breathing					
#Arrow Catching	see DMG																												
Bane Blind	KEY:BANE_BLN	TYPE:Armor	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]															SPROP:Greater Invisibility vs. %CHOICE				CHOOSE:STRING|Aberrations|Animals|Constructs|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical Beasts|Monstrous Humanoids|Oozes|Outsiders (chaotic)|Outsiders (evil)|Outsiders (good)|Outsiders (lawful)|Undead|Vermin|TITLE=Designated Foe	
Buffering	KEY:BUFF	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Buffering					
Command	KEY:CMD	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									BONUS:SKILL|STAT.CHA|4|TYPE=Competence	BONUS:SKILL|Hide|-6					SPROP:Command					
Dancing	KEY:DANCE_SH	TYPE:Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]															SPROP:can be loosed to defend on its own.					
