SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com																			
																					
# Equipment Name		Type	Cost	Weight	Source Page					Bonus to skill		Desc	Special Property								
Collar of Material Entrapment		TYPE:Magic.Wondrous.Mount.Collar.Animal	COST:30000	WT:1	SOURCEPAGE:AaEG								SPROP:Barred from extradimensional voyage								
Bracelet of Friends (Mount)		TYPE:Magic.Wondrous.Bracer.Mount	COST:19000	WT:0	SOURCEPAGE:AaEG		EQMOD:CHARGED_ITEM_4|CHARGES[4]														
																					
# Equipment Name																					
Bridle of Ease		TYPE:Magic.Wondrous.Mount	COST:500	WT:1	SOURCEPAGE:AaEG								SPROP:+5 competence bonus to Handle Animal checks of the trainer when training a mount.								
Bridle of Ease (Exotic)		TYPE:Magic.Wondrous.Mount	COST:500	WT:1	SOURCEPAGE:AaEG								SPROP:+5 competence bonus to Handle Animal checks of the trainer when training an exotic mount.								
Bridle (Clever/3 tricks)	OUTPUTNAME:Clever Bridle (3 tricks)	TYPE:Magic.Wondrous.Mount	COST:1000	WT:1	SOURCEPAGE:AaEG					BONUS:ABILITYPOOL|Animal Trick|3											
Bridle (Clever/6 tricks)	OUTPUTNAME:Clever Bridle (6 tricks)	TYPE:Magic.Wondrous.Mount	COST:4000	WT:1	SOURCEPAGE:AaEG					BONUS:ABILITYPOOL|Animal Trick|6											
Bridle (Clever/9 tricks)	OUTPUTNAME:Clever Bridle (9 tricks)	TYPE:Magic.Wondrous.Mount	COST:9000	WT:1	SOURCEPAGE:AaEG					BONUS:ABILITYPOOL|Animal Trick|9											
Saddle (Equestrian's)	OUTPUTNAME:[NAME] Saddle	TYPE:Magic.Wondrous.Mount.Saddle.Military	COST:2000	WT:30	SOURCEPAGE:AaEG								SPROP:+10 circumstance bonus to Ride checks of the rider.								
Saddle (Horseless)	OUTPUTNAME:[NAME] Saddle	TYPE:Magic.Wondrous.Mount.Saddle	COST:43200	WT:25	SOURCEPAGE:AaEG								SPROP:Phantom Steed.								
Horseshoes of Thunder		TYPE:Magic.Wondrous.Mount.Boot	COST:10080	WT:1	SOURCEPAGE:AaEG								SPROP:20'ft radius Shout (5/day)								
Saddlebags of Holding		TYPE:Magic.Wondrous.Mount.Saddle.Container	COST:5000	WT:30	SOURCEPAGE:AaEG											CONTAINS:*250					
Saddlebags of Providing		TYPE:Magic.Wondrous.Mount.Saddle.Container	COST:8000	WT:16	SOURCEPAGE:AaEG											CONTAINS:*83					
Shielding Blinders		TYPE:Magic.Wondrous.Mount.Eyegear	COST:12000	WT:2	SOURCEPAGE:AaEG								ABILITY:Special Ability|VIRTUAL|Immunity To Gaze								
Shrink Collar		TYPE:Magic.Wondrous.Mount.Amulet	COST:10000	WT:1	SOURCEPAGE:AaEG					BONUS:SIZEMOD|NUMBER|-1|PRESIZEEQ:M	BONUS:SIZEMOD|NUMBER|-2|PRESIZEEQ:L		SPROP:reduce the creature to Small size.	BONUS:SIZEMOD|NUMBER|-3|PRESIZEEQ:H	BONUS:SIZEMOD|NUMBER|-4|PRESIZEEQ:G	BONUS:SIZEMOD|NUMBER|-5|PRESIZEEQ:C					
Whip of Obeyance		TYPE:Magic.Wondrous.Weapon.Melee.Exotic.Reach.Finesseable.Subdual.Slashing	COST:2000	WT:2	SOURCEPAGE:AaEG	PROFICIENCY:WEAPON|Whip	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d3	BONUS:SKILL|Handle Animal|10|TYPE=Circumstance	EQMOD:LEATHER.MWORKW	WIELD:OneHanded	REACH:15								
Amulet of Ooze Riding		TYPE:Magic.Wondrous.Amulet	COST:28000	WT:0	SOURCEPAGE:AaEG								SPROP:An energy sphere protect the wearer and prevent from direct attacks by the oozes								
																					
Skin Paint		TYPE:Magic.Wondrous.Armor.Light.Specific	COST:5000	WT:0	SOURCEPAGE:AaEG	BONUS:COMBAT|AC|5|TYPE=Armor															
Emerald Caltrops		TYPE:Magic.Wondrous	COST:166	WT:2	SOURCEPAGE:AaEG	SPROP:If hit, the caltrop deals an additional +1 hp damage and +1d6 Acid damage															
#																					
																					
Ioun Stone (Dull Grey).MOD		TYPE:IounStone																			
Ioun Stone (Clear).MOD		TYPE:IounStone																			
Ioun Stone (Dusty Rose).MOD		TYPE:IounStone																			
Ioun Stone (Deep Red).MOD		TYPE:IounStone																			
Ioun Stone (Incandescent Blue).MOD		TYPE:IounStone																			
Ioun Stone (Pale Blue).MOD		TYPE:IounStone																			
Ioun Stone (Pink).MOD		TYPE:IounStone																			
Ioun Stone (Pink and Green).MOD		TYPE:IounStone																			
Ioun Stone (Scarlet and Blue).MOD		TYPE:IounStone																			
Ioun Stone (Dark Blue).MOD		TYPE:IounStone																			
Ioun Stone (Vibrant Purple).MOD		TYPE:IounStone																			
Ioun Stone (Iridescent).MOD		TYPE:IounStone																			
Ioun Stone (Pale Lavender).MOD		TYPE:IounStone																			
Ioun Stone (Pearly White).MOD		TYPE:IounStone																			
Ioun Stone (Pale Green).MOD		TYPE:IounStone																			
Ioun Stone (Orange).MOD		TYPE:IounStone																			
Ioun Stone (Lavender and Green).MOD		TYPE:IounStone																			
Ioun Stone (Rainbow).MOD		TYPE:IounStone																			
																					
# Equipment Name																					
Armband of Reduction		TYPE:Magic.Wondrous.Bracer	COST:2000	WT:1	SOURCEPAGE:AaEG								SPROP:At command reduces the wearer to half its height. 2 hours duration.								
Bag of Endless Caltrop		TYPE:Magic.Wondrous	COST:2300	WT:0	SOURCEPAGE:AaEG								SPROP:Endless supply of normal Caltrops. Each standard action enaugh  to fill a 5-ft square								
