SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com																									
																											
#Melee Weapons																											
#Sword (Katana)	OUTPUTNAME:Sword, Katana	PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Weapon.Melee.Martial.Exotic.Standard.Slashing.Sword	COST:35	WT:6	WIELD:TwoHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.MWORKW						SOURCEPAGE:CW	REACHMULT:2							BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Sword (Bastard)),Exotic Weapon Proficiency(Sword (Katana))	
Lucern Hammer		PROFICIENCY:WEAPON|Lucern Hammer	TYPE:Weapon.Melee.Martial.Standard.Piercing.Hammer	COST:12	WT:10	WIELD:TwoHanded		SIZE:M	DAMAGE:2d4	CRITRANGE:1	CRITMULT:x4	EQMOD:STEEL						SOURCEPAGE:AeEG									
#Maul	vedi CW																										
#																											
#Exotic Weapon																											
Bracers (Claw)	OUTPUTNAME:[NAME] Bracers	PROFICIENCY:WEAPON|Bracers (Claw)	TYPE:Weapon.Melee.Exotic.Standard.Piercing.Claw	COST:30	WT:2	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Bracers (Claw/Panther)	OUTPUTNAME:[NAME] Bracers	PROFICIENCY:WEAPON|Bracers (Claw)	TYPE:Weapon.Melee.Exotic.Standard.Piercing.Claw	COST:75	WT:3	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL						SOURCEPAGE:AeEG									
Dagger (Stump)	OUTPUTNAME:Dagger, [NAME]	PROFICIENCY:WEAPON|Dagger (Stump)	TYPE:Weapon.Melee.Finesseable.Exotic.Standard.Piercing.Dagger	COST:8	WT:2	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Bracers (Claw/Tiger)	OUTPUTNAME:[NAME] Bracers	PROFICIENCY:WEAPON|Bracers (Claw)	TYPE:Weapon.Melee.Exotic.Standard.Piercing.Claw	COST:5	WT:2	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Gauntlet (Ward Cestus)	OUTPUTNAME:Gauntlet, [NAME]	PROFICIENCY:WEAPON|Gauntlet (Ward Cestus)	TYPE:Weapon.Melee.Finesseable.Exotic.Standard.Piercing.Unarmed.Gauntlet	COST:10	WT:4	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Battlepick (Gnome)	OUTPUTNAME:Battlepick, Gnome	PROFICIENCY:WEAPON|Battlepick (Gnome)	TYPE:Weapon.Melee.Martial.Exotic.Standard.Piercing.Pick.Gnomish	COST:10	WT:5	WIELD:TwoHanded		SIZE:S	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x4	EQMOD:STEEL						SOURCEPAGE:AeEG								BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Battlepick (Gnome))	
#Gauntlet (Bladed)	vedi Nep																										
#Sai	vedi DMG																										
Sapara		PROFICIENCY:WEAPON|Sapara	TYPE:Weapon.Melee.Exotic.Standard.Slashing	COST:15	WT:6	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Sword (Butterfly)	OUTPUTNAME:Sword, [NAME]	PROFICIENCY:WEAPON|Sword (Butterfly)	TYPE:Weapon.Melee.Exotic.Standard.Slashing.Sword	COST:10	WT:2	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
Tonfa		PROFICIENCY:WEAPON|Tonfa	TYPE:Weapon.Melee.Exotic.Standard.Bludgeoning	COST:0.2	WT:2	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG									
War Fan		PROFICIENCY:WEAPON|War Fan	TYPE:Weapon.Melee.Exotic.Standard.Slashing	COST:30	WT:3	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL						SOURCEPAGE:AeEG									
Chain and Dagger	OUTPUTNAME:Chain-and-Dagger	PROFICIENCY:WEAPON|Chain and Dagger	TYPE:Weapon.Melee.Exotic.Reach.Finesseable.Standard.Piercing.Chain	COST:4	WT:4	WIELD:TwoHanded		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:AeEG	REACHMULT:2								
#Sword (Kopesh)	vedi FRCS																										
Sword (Mercurial)	OUTPUTNAME:Sword, Mercurial	PROFICIENCY:WEAPON|Sword (Mercurial)	TYPE:Weapon.Melee.Exotic.Standard.Slashing.Sword	COST:400	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x4	EQMOD:STEEL						SOURCEPAGE:AeEG								BONUS:WEAPON|TOHIT|-2	BONUS:WEAPON|TOHIT|+2|PREFEAT:1,Exotic Weapon Proficiency(Sword (Mercurial))
