SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net																																																																
																																																																		
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells		
Climbdog			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,40	FACE:5	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|4|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Hide|Listen|Spot|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6			ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ Climbdog					MONSTERCLASS:Animal:2	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:2,4,6		CR:1	SOURCEPAGE:AaEG			
Thudhunter			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Burrow,10	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump|5|TYPE=Racial				BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Jump|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Thud			ABILITY:Special Ability|AUTOMATIC|Training ~ Thudhunter					MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:4,8,12		CR:2	SOURCEPAGE:AaEG			
#																																																																		
Axebeak			STARTFEATS:1	SIZE:L	MOVE:Walk,65	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Jump|Listen|Spot									LEGS:2	HANDS:0				NATURALATTACKS:Beak,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Kick,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d4						ABILITY:Special Ability|AUTOMATIC|Training ~ Axebeak|Axebeak Skills|Axebeak Speed					MONSTERCLASS:Animal:3	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:6,9		CR:1	SOURCEPAGE:AaEG			
Animal (Lizard/Climbing)	OUTPUTNAME:Riding Lizard, Climbing		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Low-light|Darkvision (60')		PREALIGN:TN									BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:4					NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8	ABILITY:Special Ability|AUTOMATIC|Training ~ Climbing Lizard|Light Blindness|Sticky Pads										MONSTERCLASS:Animal:4	RACETYPE:Animal		TYPE:Mount							CR:2	SOURCEPAGE:AaEG			
#																																																																		
Golem (Equine)	OUTPUTNAME:[NAME], Golem			SIZE:L	MOVE:Walk,50	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10												LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Shatter (Sp)	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:5/Adamantine		MONSTERCLASS:Construct (Mindless):6	RACETYPE:Construct		TYPE:Mount	TEMPLATE:Mindless				HITDICEADVANCEMENT:12		CR:5	SOURCEPAGE:AaEG		DEFINE:ShatterPerDay|3	DEFINE:ShatterLVL|10
Zaratan			STARTFEATS:1	SIZE:C	MOVE:Walk,10,Swim,30	FACE:100	REACH:40				AUTO:LANG|Zaratan		BONUS:COMBAT|AC|30|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32		BONUS:STAT|CON|18	BONUS:STAT|INT|-4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Special Ability|AUTOMATIC|Fin Sweep									MONSTERCLASS:Magical Beast:38	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:76		CR:20	SOURCEPAGE:AaEG			
Soarwhale			STARTFEATS:1	SIZE:C	MOVE:Fly,20	FACE:40	REACH:15	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|28		BONUS:STAT|CON|18	BONUS:STAT|INT|-10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cloud of Paralyzing Gas				ABILITY:Special Ability|AUTOMATIC|Training ~ Soarwhale	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:32	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:70		CR:15	SOURCEPAGE:AaEG		DEFINE:Maneuverability|4	DEFINE:BreathWeaponCloud|10
#																																																																		
