SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com												
														
# Equipment Name		Type	Cost	Weight	Source Page	Special Property	Desc	Bonus to skill		Contains				
Animal Call		TYPE:Goods.General.Resizable	COST:20	WT:0	SOURCEPAGE:AaEG	SPROP:+2 circumstance on Wilderness Lore when hunting for food								
Armor Maintenance Kit		TYPE:Goods.General.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG	SPROP:+2 circumstance on Craft (Armorsmithing) when repairing an armor								
Ascender/Slider		TYPE:Goods.General.Resizable	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Climb check when using a single rope								
Banner/Standard		TYPE:Goods.General.Resizable	COST:30	WT:10	SOURCEPAGE:AaEG	SPROP:+2 circumstance on Spot checks to be seen on distance								
Barbed Wire (50-ft)		TYPE:Goods.General.Resizable	COST:75	WT:35	SOURCEPAGE:AaEG									
Bolt Cutters		TYPE:Goods.General.Resizable	COST:6	WT:5	SOURCEPAGE:AaEG									
Book (False)		TYPE:Goods.General.Resizable	COST:30	WT:2	SOURCEPAGE:AaEG									
Brewmaker (Dwarven)		TYPE:Goods.General.Resizable	COST:40	WT:5	SOURCEPAGE:AaEG									
Cage (Diminutive)		TYPE:Goods.General.Resizable	COST:10	WT:13	SOURCEPAGE:AaEG	SPROP:One diminutive creature or multiple smaller								
Cage (Large)		TYPE:Goods.General.Resizable	COST:75	WT:200	SOURCEPAGE:AaEG	SPROP:One large creature or multiple smaller								
Cage (Medium)		TYPE:Goods.General.Resizable	COST:50	WT:100	SOURCEPAGE:AaEG	SPROP:One Medium creature or multiple smaller								
Cage (Small)		TYPE:Goods.General.Resizable	COST:25	WT:75	SOURCEPAGE:AaEG	SPROP:One small creature or multiple smaller								
Cage (Tiny)		TYPE:Goods.General.Resizable	COST:15	WT:25	SOURCEPAGE:AaEG	SPROP:One tiny creature or multiple smaller								
Candelabra 4-candle gold		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource.Container	COST:25	WT:1	SOURCEPAGE:AaEG		CONTAINS:1|Candle=4	QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.					
Candelabra 4-candle silver		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource	COST:10	WT:.5	SOURCEPAGE:AaEG		CONTAINS:1|Candle=4	QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.					
Candelabra 8-candle gold		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource	COST:35	WT:2	SOURCEPAGE:AaEG		CONTAINS:1|Candle=8	QUALITY:Shadowy Illumination|15 ft.	QUALITY:Duration|1 hr.					
Candelabra 8-candle silver		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource	COST:20	WT:1	SOURCEPAGE:AaEG		CONTAINS:1|Candle=8	QUALITY:Shadowy Illumination|15 ft.	QUALITY:Duration|1 hr.					
Candelabra 16-candle gold		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource	COST:45	WT:6	SOURCEPAGE:AaEG		CONTAINS:1|Candle=16	QUALITY:Shadowy Illumination|20 ft.	QUALITY:Duration|1 hr.					
