SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																													
																																
#																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:
Aberration	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Aberration																											SOURCEPAGE:AaEG
Construct	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Construct																											SOURCEPAGE:AaEG
Dragon	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Dragon																											SOURCEPAGE:AaEG
Elemental	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Elemental																											SOURCEPAGE:AaEG
Fey	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Fey																											SOURCEPAGE:AaEG
Giant	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Giant																											SOURCEPAGE:AaEG
Magical Beast	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Magical Beast																											SOURCEPAGE:AaEG
Monstrous Humanoid	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Monstrous Humanoid																											SOURCEPAGE:AaEG
Ooze	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Ooze																											SOURCEPAGE:AaEG
Outsider	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Outsider																											SOURCEPAGE:AaEG
Plant	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Plant																											SOURCEPAGE:AaEG
Undead	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Undead																											SOURCEPAGE:AaEG
Vermin	CATEGORY:Special Ability	TYPE:TrainerChoice.SpecialQuality	VISIBLE:YES		KEY:Trainer ~ Vermin																											SOURCEPAGE:AaEG
																																
###Block: Tricks																																
Don't Attack	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDontAttack		DESC:The creature never attack one specific person or creature besides the master.	KEY:Animal Trick ~ Don't Attack																											SOURCEPAGE:AaEG, 75
[Special Ability]	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickSpecialAbility		DESC:Use the specific special ability until commanded to stop.	KEY:Animal Trick ~ Special Ability																											SOURCEPAGE:AaEG, 75
Alert	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickAlert		DESC:The creature makes some distinctive noise when detects or attacks intruders.	KEY:Animal Trick ~ Alert																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Alert],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAlert]									SOURCEPAGE:AaEG, 75
Disable	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDisable		DESC:The creature fight until it senses that its target has been incapacitated. Then it backs off.	KEY:Animal Trick ~ Disable																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Disable],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDisable]									SOURCEPAGE:AaEG, 75
Disarm	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDisarm		DESC:If the creature is able to make disarm attacks, it attempts to do so until commanded to stop.	KEY:Animal Trick ~ Disarm																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Disarm],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDisarm]									SOURCEPAGE:AaEG, 75
Subdue	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickSubdue		DESC:if possible, the creature deals subdual damage instead of normal damage.	KEY:Animal Trick ~ Subdue																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Subdue],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickSubdue]									SOURCEPAGE:AaEG, 75
Trip	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickTrip		DESC:If the creature is capable of making trip attacks, it attempts to do so until commanded to stop.	KEY:Animal Trick ~ Trip																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Trip],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickTrip]									SOURCEPAGE:AaEG, 75
																																
###Block: Abilities																																
Spell Like	CATEGORY:Special Ability	TYPE:SpecialAttack.SpellLike	VISIBLE:YES		KEY:Armor ~ Stonecunning ~ Spell Like														SPELLS:Armor ~ Stonecunning|TIMES=1|CASTERLEVEL=11|Stone Shape|Stone Tell													SOURCEPAGE:AaEG
Smite Good	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once a day, you may attempt to smite good with one normal melee attack. Adds wielder's Charisma modifier (if positive) to his attack roll and deals 10 extra point of damage.	KEY:Weapon ~ Balor's Sword of Smiting ~ Smite Good						BONUS:VAR|SmiteGood|1	BONUS:VAR|SmiteGoodDamage|10																				SOURCEPAGE:AaEG
Fear Aura	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Fear aura %1-ft affect all opponents (Fort DC %2).|FearAuraRadius|FearAuraDC	KEY:Eqmod ~ Fearsome ~ Fear Aura			DEFINE:FearAuraRadius|0	DEFINE:FearAuraDC|0		BONUS:VAR|FearAuraRadius|40	BONUS:VAR|FearAuraDC|11																				SOURCEPAGE:AaEG
Pounce		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraodinary	VISIBLE:YES	DESC:During the first round of combat, the wielder can leap on a foe, allowing her to make a full attack with the claws of the leopard even if she has already taken a move action.	KEY:Weapon ~ Claws of the Leopard ~ Pounce																											SOURCEPAGE:AaEG
Poison	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Carrion Crawler Brain Juice (Fort DC %1 or be paralyzed).|PoisonDC	KEY:Weapon ~ Dart of Pinning ~ Poison									BONUS:VAR|PoisonDC|13																		SOURCEPAGE:AaEG
Fear Aura	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Fear aura %1-ft affect all opponents (Fort DC %2).|FearAuraRadius|FearAuraDC	KEY:Weapon ~ Dragontooth ~ Fear Aura			DEFINE:FearAuraRadius|0	DEFINE:FearAuraDC|0		BONUS:VAR|FearAuraRadius|5	BONUS:VAR|FearAuraDC|16																				SOURCEPAGE:AaEG
