SOURCELONG:Champions of Darkness	SOURCESHORT:RLCoD	SOURCEWEB:http://www.gozzilioni.net
		
#Weapon Groupings used to facilitate homebrews:		
#	Sword, Spear, Axe, Bow, Unarmed	
#	Melee, Ranged, Thrown, Spell	
#	Bludgeoning, Slashing, Piercing	
#	TwoHanded, DoubleWeapon, MeleeTwoHanded, Reach	
#	MeleeSlashing, MeleePiercing, MeeleBludgeoning, RangedSlashing, RangedPiercing, RangedBludgeoning	
#	RangedTouch	
		
Poker	TYPE:Melee.Piercing.MeleePiercing	
#		
Cat-o-Nine-Tail	TYPE:Whip.Ranged.Slashig.RangedSlashing	
