SOURCELONG:Creature del Terrore	SOURCESHORT:CdT	SOURCEWEB:http://www.gozzilioni.net																																																																			
																																																																					
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells					
Abominio Putrescente			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16		BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Spot									LEGS:0	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Pestilential Aura|Rotting Metabolism						DR:5/-		MONSTERCLASS:Aberration:15	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:22,27		CR:12	SOURCEPAGE:CdT						
Amorfide			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')		PREALIGN:NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Listen|Concentration|Move Silently|Hide|Spot									LEGS:3	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Debilitating Touch|Touch of Insanity	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance to Cold|Resistance To Fire|Oneiric Shield					SR:22	DR:10/Bludgeoning		MONSTERCLASS:Aberration:13	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:21,39		CR:10	SOURCEPAGE:CdT	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=13|Mirror Image|Sleep,11+CHA|Touch of Idiocy,12+CHA	DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10	SPELLS:Innate|TIMES=3|CASTERLEVEL=13|Phantasmal Killer,14+CHA|Confusion,14+CHA|Crushing Despair,14+CHA|Deep Slumber,13+CHA|Suggestion,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=13|Mislead,16+CHA|Nightmare,15+CHA|Mind Fog,15+CHA|Feeblemind,15+CHA|Sonno Eterno,17+CHA
Animoide (Tiny)	OUTPUTNAME:Animoidi, [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,30	FACE:2.5	REACH:0	VISION:Low-light		PREALIGN:CN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|6	BONUS:STAT|CON|-2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|4			MONCSKILL:Tumble|Handle Animal|Listen|Move Silently|Hide|Spot|Survival					AUTO:FEAT|Track				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d3		ABILITY:Special Ability|AUTOMATIC|Fury of Revenge	ABILITY:Special Ability|AUTOMATIC|Primordial Affinity|Trackless Step|Ancestral Rebellion						DR:5/Cold Iron		MONSTERCLASS:Fey:2	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey						CR:2	SOURCEPAGE:CdT	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Calm Animals,11+CHA|Charm Animal,11+CHA|Summon Nature's Ally I|Detect Animals or Plants|Hide from Animals,11+CHA|Magic Fang,11+CHA					
Animoide (Small)	OUTPUTNAME:Animoidi, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light		PREALIGN:CN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|4			MONCSKILL:Tumble|Handle Animal|Listen|Knowledge (Nature)|Move Silently|Hide|Spot|Survival					AUTO:FEAT|Track				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Fury of Revenge	ABILITY:Special Ability|AUTOMATIC|Primordial Affinity|Trackless Step|Ancestral Rebellion						DR:5/Cold Iron		MONSTERCLASS:Fey:6	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey						CR:5	SOURCEPAGE:CdT	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Calm Animals,11+CHA|Charm Animal,11+CHA|Summon Nature's Ally I|Detect Animals or Plants|Hide from Animals,11+CHA|Magic Fang,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Hold Animal,12+CHA|Dominate Animal,13+CHA|Summon Nature's Ally III|Barkskin|Magic Fang (Greater),13+CHA				
Animoide (Medium)	OUTPUTNAME:Animoidi, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Low-light		PREALIGN:CN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|4			MONCSKILL:Tumble|Handle Animal|Escape Artist|Listen|Knowledge (Nature)|Move Silently|Hide|Spot|Jump|Survival					AUTO:FEAT|Track				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Fury of Revenge	ABILITY:Special Ability|AUTOMATIC|Primordial Affinity|Trackless Step|Ancestral Rebellion						DR:5/Cold Iron		MONSTERCLASS:Fey:10	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey						CR:8	SOURCEPAGE:CdT	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Calm Animals,11+CHA|Charm Animal,11+CHA|Summon Nature's Ally I|Detect Animals or Plants|Hide from Animals,11+CHA|Magic Fang,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Hold Animal,12+CHA|Dominate Animal,13+CHA|Summon Nature's Ally III|Barkskin|Magic Fang (Greater),13+CHA	SPELL:Innate|TIMES=2|CASTERLEVEL=HD|Animal Growth,15+CHA|Summon Nature's Ally V|Freedom of Movement,14+CHA			
Animoide (Large)	OUTPUTNAME:Animoidi, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:10	REACH:10	VISION:Low-light		PREALIGN:CN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|4			MONCSKILL:Tumble|Handle Animal|Escape Artist|Listen|Knowledge (Nature)|Move Silently|Hide|Spot|Jump|Survival					AUTO:FEAT|Track				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Fury of Revenge	ABILITY:Special Ability|AUTOMATIC|Primordial Affinity|Trackless Step|Ancestral Rebellion						DR:5/Cold Iron		MONSTERCLASS:Fey:14	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey						CR:11	SOURCEPAGE:CdT	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Calm Animals,11+CHA|Charm Animal,11+CHA|Summon Nature's Ally I|Detect Animals or Plants|Hide from Animals,11+CHA|Magic Fang,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Hold Animal,12+CHA|Dominate Animal,13+CHA|Summon Nature's Ally III|Barkskin|Magic Fang (Greater),13+CHA	SPELL:Innate|TIMES=2|CASTERLEVEL=HD|Animal Growth,15+CHA|Summon Nature's Ally V|Freedom of Movement,14+CHA	SPELL:Innate|TIMES=1|CASTERLEVEL=HD|Summon Nature's Ally VII|Animal Shapes		
Araknor			STARTFEATS:1	SIZE:L	MOVE:Walk,50,Climb,20	FACE:10	REACH:10	VISION:Darkvision (120')			LANGAUTO:Common,Undercommon,Drow Sign Language		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|-4	BONUS:STAT|CON|14	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot|Climb			AUTO:WEAPONPROF|Falchion|Greatclub		AUTO:FEAT|Two Weapon Fighting				LEGS:2	HANDS:6				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing.Poison,*1,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Fear Aura|Web|Poison							DR:10/Piercing		MONSTERCLASS:Aberration:16	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:16,25,48		CR:14	SOURCEPAGE:CdT		DEFINE:FearAuraDC|18+CHA	DEIFNE:FearAuraRadius|10			
Breln		FAVCLASS:Warrior	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Breln	LANGBONUS:Giant,Goblin,Orc	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Craft (Weaponsmithing),Intimidate|2|TYPE=Racial				BONUS:STAT|STR|6		BONUS:STAT|CON|6		BONUS:STAT|WIS|-2				MONCSKILL:Craft (Weaponsmithing)|Listen|Intimidate|Spot		AUTO:ARMORPROF|Leather	AUTO:WEAPONPROF|Greatsword						LEGS:2	HANDS:2				NATURALATTACKS:Head butt,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Powerful Charge|Blood Pact	ABILITY:Special Ability|AUTOMATIC|Unshakeable Morale								MONSTERCLASS:Monstrous Humanoid:2	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid					LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:CdT				DEFINE:RegenerationRate|5		
Cerrebron			STARTFEATS:1	SIZE:T	MOVE:Walk,5,Fly,30	FACE:2.5	REACH:0			PREALIGN:NE	LANGAUTO:Common	LANGBONUS:ALL	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Search,Spot|2|TYPE=Racial	BONUS:SKILL|Move Silently|4|TYPE=Racial			BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Move Silently|Hide|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1		ABILITY:Special Ability|AUTOMATIC|Living|Confusion					ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:5	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration						CR:4	SOURCEPAGE:CdT		BONUS:VAR|Maneuverability|5				
Chelifero			STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	VISION:Tremorsense (60')|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Spot,Climb|4|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Hide|Spot|Climb									LEGS:6	HANDS:2				NATURALATTACKS:Pincer,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Poison									MONSTERCLASS:Magical Beast:8	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:24		CR:9	SOURCEPAGE:CdT						
