SOURCELONG:Creature del Terrore	SOURCESHORT:CdT	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE	
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	define class variables (DEFINE:variable|value	FINE			
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Plague Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:CdT	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Plague Dragon	PRERACE:1,Dragon (Plague%	PRERACETYPE:Dragon										
CLASS:Plague Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device|Move Silently|Hide|Swim				SPELLLIST:4|Sorcerer|Cleric|DOMAIN.Destruction|DOMAIN.Death				MODTOSKILLS:YES		
1							BONUS:VAR|DragonCL|max(DragonAge,(var("BL=Cleric")+classlevel("Cleric")))			DEFINE:DragonCL|0		
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')|Low-light		
###Block: Breath Weapon and other SA's												
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Stinking Cloud									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)		
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Acid										DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|6
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis											
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep											
###Block: Frightful Presence												
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5					
###Block: Normal Progression												
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Water Breathing						DEFINE:DragonAge|1		
7												
10										DEFINE:DragonAge|2		
13										DEFINE:DragonAge|3		
16				ABILITY:Special Ability|AUTOMATIC|Fog Cloud (Sp)			BONUS:VAR|FogCloudPerDay|3	BONUS:VAR|FogCloudLVL|DragonCL		DEFINE:DragonAge|4		
19	ADD:SPELLCASTER|1|Sorcerer							SR:18	DR:5/Magic	DEFINE:DragonAge|5		
21	BONUS:PCLEVEL|Sorcerer|1											
22	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Contagion (Sp)			BONUS:VAR|ContagionPerDay|3	BONUS:VAR|ContagionLVL|DragonCL	SR:19	DEFINE:DragonAge|6		
24	BONUS:PCLEVEL|Sorcerer|1											
25	BONUS:PCLEVEL|Sorcerer|1							SR:22	DR:10/Magic	DEFINE:DragonAge|7		
27	BONUS:PCLEVEL|Sorcerer|1											
28	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Hallucinatory Terrain (Sp)			BONUS:VAR|HallucinatoryTerrainPerDay|1	BONUS:VAR|HallucinatoryTerrainLVL|DragonCL	SR:23	DEFINE:DragonAge|8		
30	BONUS:PCLEVEL|Sorcerer|1											
31	BONUS:PCLEVEL|Sorcerer|1							SR:24	DR:15/Magic	DEFINE:DragonAge|9		
33	BONUS:PCLEVEL|Sorcerer|1											
34	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Insect Plague (Sp)			BONUS:VAR|InsectPlaguePerDay|1	BONUS:VAR|InsectPlagueLVL|DragonCL	SR:26	DEFINE:DragonAge|10		
36	BONUS:PCLEVEL|Sorcerer|1											
37	BONUS:PCLEVEL|Sorcerer|1							SR:27	DR:20/Magic	DEFINE:DragonAge|11		
39	BONUS:PCLEVEL|Sorcerer|1											
40	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Regenerate (Sp)			BONUS:VAR|RegeneratePerDay|1	BONUS:VAR|RegenerateLVL|DragonCL	SR:29	DEFINE:DragonAge|12		
												
CLASS:Savage Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:CdT	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Savage Dragon	PRERACE:1,Dragon (Savage%	PRERACETYPE:Dragon										
CLASS:Savage Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device|Move Silently|Hide|Survival				SPELLLIST:4|Sorcerer|Cleric|DOMAIN.Destruction|DOMAIN.Death				MODTOSKILLS:YES		
1							BONUS:VAR|DragonCL|max(DragonAge,(var("BL=Cleric")+classlevel("Cleric")))			DEFINE:DragonCL|0		
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')|Low-light		
###Block: Breath Weapon and other SA's												
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Acid									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|6
1												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis											
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep											
###Block: Frightful Presence												
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5					
###Block: Normal Progression												
1			AUTO:FEAT|Track	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Woodland Stride	ABILITY:Special Ability|AUTOMATIC|Savage Dragon Skills					DEFINE:DragonAge|1		
6												
9				ABILITY:Special Ability|AUTOMATIC|Detect Animals or Plants (Sp/atwill)				DEFINE:DetectAnimalsOrPlantsLVL|DragonCL		DEFINE:DragonAge|2		
12										DEFINE:DragonAge|3		
15				ABILITY:Special Ability|AUTOMATIC|Hide from Animals (Sp/atwill)				BONUS:VAR|HideFromAnimalsLVL|DragonCL		DEFINE:DragonAge|4		
18								SR:18	DR:5/Magic	DEFINE:DragonAge|5		
21	ADD:SPELLCASTER|1|Sorcerer			ABILITY:Special Ability|AUTOMATIC|Trackless Step				SR:20		DEFINE:DragonAge|6		
23	BONUS:PCLEVEL|Sorcerer|1											
24	BONUS:PCLEVEL|Sorcerer|1							SR:22	DR:10/Magic	DEFINE:DragonAge|7		
26	BONUS:PCLEVEL|Sorcerer|1											
#												
27	BONUS:PCLEVEL|Sorcerer|1											
28	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Hallucinatory Terrain (Sp)			BONUS:VAR|HallucinatoryTerrainPerDay|1	BONUS:VAR|HallucinatoryTerrainLVL|DragonCL	SR:23	DEFINE:DragonAge|8		
30	BONUS:PCLEVEL|Sorcerer|1											
31	BONUS:PCLEVEL|Sorcerer|1							SR:24	DR:15/Magic	DEFINE:DragonAge|9		
33	BONUS:PCLEVEL|Sorcerer|1											
34	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Insect Plague (Sp)			BONUS:VAR|InsectPlaguePerDay|1	BONUS:VAR|InsectPlagueLVL|DragonCL	SR:26	DEFINE:DragonAge|10		
36	BONUS:PCLEVEL|Sorcerer|1											
37	BONUS:PCLEVEL|Sorcerer|1							SR:27	DR:20/Magic	DEFINE:DragonAge|11		
39	BONUS:PCLEVEL|Sorcerer|1											
40	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Regenerate (Sp)			BONUS:VAR|RegeneratePerDay|1	BONUS:VAR|RegenerateLVL|DragonCL	SR:29	DEFINE:DragonAge|12		
