SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																																																															
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
#Human																																																																	
Human (Calishites)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Chondathans)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Damarans)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Illuskans)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Mulan)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Rashemis)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Human (Thetyrians)		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Human Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
#Dwarf																																																																	
Dwarf (Gold)		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor		AUTO:LANG|Common|Dwarven	LANGBONUS:Giant,Gnome,Goblin,Shaaran,Terran,Untheric								BONUS:STAT|DEX|2	BONUS:STAT|CON|2															LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default|Dwarf Gold Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Dwarf (Gray)		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (120')	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor		AUTO:LANG|Dwarven|Undercommon	LANGBONUS:Common,Draconic,Giant,Goblin,Orc,Terran									BONUS:STAT|CON|2			BONUS:STAT|CHA|-4												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default|Dwarf Gray Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:PC						LEVELADJUSTMENT:2	CR:1/2	SOURCEPAGE:PGtF	
Dwarf (Shield)		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor		AUTO:LANG|Common|Dwarven	LANGBONUS:Chondathan,Draconic,Giant,Goblin,Illuskan,Orc									BONUS:STAT|CON|2			BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
#Elf																																																																	
Elf (Drow/FR)	OUTPUTNAME:Elf (Drow FR)	TEMPLATE:CHOOSE:Drow FR Male|Drow FR Female		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (120')			AUTO:LANG|Elven|Undercommon	LANGBONUS:Abyssal,Common,Draconic,Drow Sign Language,Goblin,Illuskan								BONUS:STAT|DEX|2	BONUS:STAT|CON|-2	BONUS:STAT|INT|2		BONUS:STAT|CHA|2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default|Elf Drow FR Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Elf|Drow	TYPE:PC						LEVELADJUSTMENT:2	CR:1/2	SOURCEPAGE:PGtF	
Elf (Moon)		FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:Auran,Chondathan,Gnoll,Gnome,Halfling,Illuskan,Sylvan								BONUS:STAT|DEX|2	BONUS:STAT|CON|-2																						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
Elf (Sun)		FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven	LANGBONUS:Auran,Celestial,Chondathan,Gnome,Halfling,Illuskan,Sylvan									BONUS:STAT|CON|-2	BONUS:STAT|INT|2														LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:PC							CR:1/2	SOURCEPAGE:PGtF	
