SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:PGtF	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Acid Storm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A cylinder 20-ft radius, 20-ft high		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Deals 1d8/level acid damage in 20-ft radius.	SOURCEPAGE:PGtF								
Ball Lightning			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One lightning ball/two level		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Energy balls deals 1d6/level electricity damage.	SOURCEPAGE:PGtF								
Battletide			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and up to one creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Black Talon			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None; See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Blinding Spittle			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of spit		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged touch attack makes subject blind.	SOURCEPAGE:PGtF								
Blindsight			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grants blindsight out to 30-ft.	SOURCEPAGE:PGtF								
Bombardment			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:15-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Falling rocks deal 1d8 damage/level and bury target.	SOURCEPAGE:PGtF								
Briartangle			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Plants in a 40-ft.-radius spread		DURATION:1 minute/level	SAVEINFO:Reflex partial; see text	SPELLRES:No	DESC:Plants entangle everyone in 40-ft.-radius circle.	SOURCEPAGE:PGtF								
Caligarde's Claw			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Invisible claw of force		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Claw of force attacks opponent or guards area.	SOURCEPAGE:PGtF								
Claws of the Beast			TYPE:Divine	CLASSES:Druid=1|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your hands become harder and your unharmed attacks deal normal damage.	SOURCEPAGE:PGtF								
Cloud of Bewilderment			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-cone		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Generates a nauseating 10-ft cone.	SOURCEPAGE:PGtF								
Create Magic Tatoo			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, F	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 day	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subject receives a magic tatoo with various effects.	SOURCEPAGE:PGtF		COST:100						
Dread Blast			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:Instantaneous	SAVEINFO:Will half; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Elminster's Effulgent Epuration			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One magic-absorbing sphere/caster level		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creates one sphere/level to negate hostile magic-	SOURCEPAGE:PGtF								
Eye of Power			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Unlimited	TARGETAREA:Magical sensor		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Invisible floating eye moves 30 ft./round.	SOURCEPAGE:PGtF								
Favor of Ilmater			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subjects gains Endurance plus immunity to non-lethal damage, charme and compulsion effects, pain attacks and other adverse conditions, subject can function at -1 to -9 hp.	SOURCEPAGE:PGtF								
Fiendform			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation	SUBSCHOOL:Polymorph	DESCRIPTOR:Evil	COMPS:V, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As Polymorph, except you can gain the form and power of an evil outsider.	SOURCEPAGE:PGtF								
Fireward			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 20-ft. cubes/level		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Extinguishes nonmagical fires or one magic item.	SOURCEPAGE:PGtF								
Fleshshiver			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Target is stunned for 1 round, takes 1d6/level damage and is nauseated for 1d4+2 rounds.	SOURCEPAGE:PGtF								
Forceward			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 full round	RANGE:10 ft.	TARGETAREA:You and any ally within 10-ft-radius emanation centered on you		DURATION:1 minute/level	SAVEINFO:None; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Gedlee's Electric Loop			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3  level, each of wich must be adjacent to another target		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Deals 1d6/2 levels electricity damage plus stunning to a single creature.	SOURCEPAGE:PGtF								
Glory of the Martyr			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF		COST:50						
General of Undeath			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Handfire			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Harmony			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Holy Star			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Protective star of energy		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Howling Chain			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature within range		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Chain of force entangles and attacks opponent.	SOURCEPAGE:PGtF		COST:500						
Icelance			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One lance of ice		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Changes ice into lance, wich attacks target for 5d6 damage and stuns for 1d4 rounds.	SOURCEPAGE:PGtF								
Inferno			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creatures bursts into flames and takes 6d6 fire damage/round.	SOURCEPAGE:PGtF								
Lawful Sword			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Evocation		DESCRIPTOR:Lawful	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon becomes +5 axiomatic weapon and emits Magic Circle against Chaos.	SOURCEPAGE:PGtF								
Lightning Ring			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Two lightning bolts/round or eight lightning bolts all at once		DURATION:See text	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Ring of lightning gives you resistance to electricity 20, emits two Lightning Bolts per round or eight at once.	SOURCEPAGE:PGtF								
Lively Step			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:30-ft-radius emanation centered on you		DURATION:See text	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:You and your allies gain +10 increase to speed and can hustle for an extra hour per day per level.	SOURCEPAGE:PGtF								
Mace of Odo			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Mace of force		DURATION:1 round/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
