SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net		
#				
#STARTPACK:	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:
#TEMPLATE:Region				
#GEAR:		EQMOD:Masterwork		
#				
STARTPACK:Mercantile Background Kit	EQUIPBUY:0		VISIBLE:NO	
FUNDS:gp	QTY:300			
#				
REGION:Faerunian without region				
STARTPACK:No Fearunian Region	EQUIPBUY:0		PRELEVELMAX:1	
FUNDS:gp	QTY:100			
#				
REGION:Aglarond				
STARTPACK:AglarondA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Rashemi
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Arrow	QTY:20	EQMOD:MWORKW		
#				
STARTPACK:AglarondB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Rashemi
GEAR:Scroll (Protection from Arrows)				
GEAR:Scroll (Web)				
#				
STARTPACK:AglarondA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon
GEAR:Longbow		EQMOD:MWORKW		
#				
STARTPACK:AglarondA3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon
GEAR:Longsword		EQMOD:MWORKW		
#				
STARTPACK:AglarondB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon
GEAR:Hide		EQMOD:MWORKA		
GEAR:Shield (Heavy/Wood)		EQMOD:MWORKA.DARK		
#				
REGION:Altumbel				
STARTPACK:AltumbelA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Mulan
GEAR:Longsword		EQMOD:MWORKW		
#				
STARTPACK:AltumbelA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Mulan
GEAR:Spear		EQMOD:MWORKW		
#				
