SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																														
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
#																																#
Token (spellguard)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	OUTPUTNAME:Token															AUTO:EQUIP|Adrath Token													SOURCEPAGE:PGtF										
#
Arcane Devotee Reach of the Holy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|ReachOfTheHolyPerDay|max(1,1+CHA)																					SOURCEPAGE:PGtF
Arcane Devotee Sacred Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ArcaneDevoteeSacredDefenseLVL|0			BONUS:VAR|SacredDefenseBonus|ArcaneDevoteeSacredDefenseLVL/2																					SOURCEPAGE:PGtF
Divine Champion Sacred Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineChampionSacredDefenseLVL|0			BONUS:VAR|SacredDefenseBonus|DivineChampionSacredDefenseLVL/2																					SOURCEPAGE:PGtF
Divine Champion Smite Infidels	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineChampionSmiteInfidelsLVL|0			BONUS:VAR|SmiteInfidels|1	BONUS:VAR|SmiteInfidelsDamage|DivineChampionSmiteInfidelsLVL																				SOURCEPAGE:PGtF
Divine Disciple Divine Emissary	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineDiscipleDivineEmissaryLVL|0			BONUS:VAR|DivineEmissaryBonus|DivineDiscipleDivineEmissaryLVL																					SOURCEPAGE:PGtF
Divine Disciple Sacred Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineDiscipleSacredDefenseLVL|0			BONUS:VAR|SacredDefenseBonus|DivineDiscipleSacredDefenseLVL/2																					SOURCEPAGE:PGtF
Divine Seeker Sacred Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineSeekerSacredDefenseLVL|0			BONUS:VAR|SacredDefenseBonus|DivineSeekerSacredDefenseLVL/2																					SOURCEPAGE:PGtF
Divine Seeker Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineSeekerSneakAttackLVL|0			BONUS:VAR|SneakAttackDice|(DivineSeekerSneakAttackLVL+1)/3																					SOURCEPAGE:PGtF
Divine Seeker Uncanny Dodge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:DivineSeekerUncannyDodgeLVL|0			BONUS:VAR|UncannyDodgeFlankingLevel|DivineSeekerUncannyDodgeLVL|TYPE=EachClass.STACK																					SOURCEPAGE:PGtF
Eye Horus Re Positive Energy Burst	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:EyeHorusRePositiveBurstLVL|0			BONUS:VAR|PositiveEnergyBurstDC|CHA+10|TYPE=LevelBurst.REPLACE	BONUS:VAR|PositiveEnergyDie|EyeHorusRePositiveBurstLVL																				SOURCEPAGE:PGtF
Eye Horus Re Positive Energy Burst (Epic)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO									BONUS:VAR|PositiveEnergyBurstDC|(EyeHorusRePositiveBurstLVL-10)/2|TYPE=Epic																				SOURCEPAGE:PGtF
Eye Horus Re Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:EyeHorusReTurnUndeadLVL|0			BONUS:VAR|TurnLevelBase|EyeHorusReTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|EyeHorusReTurnUndeadLVL																				SOURCEPAGE:PGtF
Hammer Moradin Chaos Crusher	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|ChaosCrusherPerDay|1	BONUS:VAR|ChaosCrusherDuration|CHA																				SOURCEPAGE:PGtF
Hammer Moradin Damage Reduction	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HammerMoradinDR|0	DEFINE:HammerMoradinDRLVL|0		BONUS:VAR|HammerMoradinDR|(HammerMoradinDRLVL/3)*2								DR:HammerMoradinDR/-													SOURCEPAGE:PGtF
Hammer Moradin Goblinkiller	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|GoblinkillerPerDay|1	BONUS:VAR|GoblinkillerDuration|CHA																				SOURCEPAGE:PGtF
Hammer Moradin Power Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HammerMoradinPowerStrikeLVL|0			BONUS:VAR|PowerStrikeDC|HammerMoradinPowerStrikeLVL																					SOURCEPAGE:PGtF
Hammer Moradin Quake	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HammerMoradinQuakeLVL|0			BONUS:VAR|QuakeDC|HammerMoradinQuakeLVL																					SOURCEPAGE:PGtF
Harper Agent Harper Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperAgentHarperKnowledgeLVL|0			BONUS:VAR|HarperKnowledge|HarperAgentHarperKnowledgeLVL																					SOURCEPAGE:PGtF
Hathran Awe of Wychlaran	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HathranAweOfWychlaranLVL|0			BONUS:VAR|AweOfWychlaran|2+(((HathranAweOfWychlaranLVL-4)/3)*2)																					SOURCEPAGE:PGtF
Hathran Circle Leader	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HathranCircleLeaderLVL|0			BONUS:VAR|CircleLeaderPower|HathranCircleLeaderLVL																					SOURCEPAGE:PGtF
Hathran Instant Metamagic	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|InstantMetamagicPerDay|2																					SOURCEPAGE:PGtF
Hathran Leadership	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|LeadershipScore|2																					SOURCEPAGE:PGtF
Hathran Universal Spirit Magic	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HathranUniversalSpiritMagicLVL|0			BONUS:VAR|UniversalSpiritMagicPerDay|HathranUniversalSpiritMagicLVL/3																					SOURCEPAGE:PGtF
Incantatrix Instant Metamagic	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:IncantatrixInstantMetamagicLVL|0			BONUS:VAR|InstantMetamagicPerDay|(IncantatrixInstantMetamagicLVL-5)/2																					SOURCEPAGE:PGtF
Justicar Axiomatic Spellcasting	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:JusticarAxiomaticSpellcastingLVL|0			BONUS:VAR|AxiomaticSpellcastingBonus|(JusticarAxiomaticSpellcastingLVL+3)/6																					SOURCEPAGE:PGtF
