SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																											
#																													
###Block:Armor abilities																													
# Modifier Name	Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Death Ward (timed)	KEY:DTH_WRD_TIME	TYPE:Armor	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Armor															SPROP:Deth Ward spell 7 min/day	SPELLS:Death Ward|TIMES=1|CASTERLEVEL=7|Death Ward				
#																													
###Block:Weapon abilities																													
Dispelling	KEY:DISP_A	TYPE:Ammunition		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Ammunition															SPROP:Dispel magic upon striked creature 1/day	SPELLS:Dispelling|TIMES=1|CASTERLEVEL=5|Dispel Magic				ASSIGNTOALL:NO
Dispelling	KEY:DISP_M	TYPE:Weapon.Melee		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Dispel Magic upon striked creature 1/day	SPELLS:Dispelling|TIMES=1|CASTERLEVEL=5|Dispel Magic				ASSIGNTOALL:NO
Dispelling	KEY:DISP_R	TYPE:Weapon.Ranged		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:Dispel Magic upon striked creature 1/day	SPELLS:Dispelling|TIMES=1|CASTERLEVEL=5|Dispel Magic				ASSIGNTOALL:NO
Dispelling (Greater)	KEY:DISP_GRT_A	TYPE:Ammunition		COST:79200	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Ammunition															SPROP:Greater Dispel Magic upon striked creature 3/day	SPELLS:Greater Dispelling|TIMES=3|CASTERLEVEL=11|Dispel Magic (Greater)				ASSIGNTOALL:NO
Dispelling (Greater)	KEY:DISP_GRT_M	TYPE:Weapon.Melee		COST:79200	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Greater Dispel Magic upon striked creature 3/day	SPELLS:Greater Dispelling|TIMES=3|CASTERLEVEL=11|Dispel Magic (Greater)				ASSIGNTOALL:NO
Dispelling (Greater)	KEY:DISP_GRT_R	TYPE:Weapon.Ranged		COST:79200	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:Greater Dispel Magic upon striked creature 3/day	SPELLS:Greater Dispelling|TIMES=3|CASTERLEVEL=11|Dispel Magic (Greater)				ASSIGNTOALL:NO
Domineering	KEY:DMRNG_A	TYPE:Ammunition	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Ammunition															SPROP:Will DC 16 or become Shaken					ASSIGNTOALL:NO
Domineering	KEY:DMRNG_M	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Will DC 16 or become Shaken					ASSIGNTOALL:NO
Domineering	KEY:DMRNG_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:Will DC 16 or become Shaken					ASSIGNTOALL:NO
Doomwarding	KEY:DOOMWRD_A	TYPE:Ammunition		COST:38500	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Ammunition															SPROP:Use a charge to reroll a die or make an extra attack, 7 charges					ASSIGNTOALL:NO
Doomwarding	KEY:DOOMWRD_M	TYPE:Weapon.Melee		COST:38500	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Use a charge to reroll a die or make an extra attack, 7 charges					ASSIGNTOALL:NO
Doomwarding	KEY:DOOMWRD_R	TYPE:Weapon.Ranged		COST:38500	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:Use a charge to reroll a die or make an extra attack, 7 charges					ASSIGNTOALL:NO
Spellblade	KEY:SPELL_A	TYPE:Ammunition		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:2,Enhancement,Ammunition															SPROP:The weapon absorb a choosen single spell and can direct to another target the next round					ASSIGNTOALL:NO
Spellblade	KEY:SPELL_M	TYPE:Weapon.Melee		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:The weapon absorb a choosen single spell and can direct to another target the next round					ASSIGNTOALL:NO
Spellblade	KEY:SPELL_R	TYPE:Weapon.Ranged		COST:6000	VISIBLE:QUALIFY			SOURCEPAGE:PGtF	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:The weapon absorb a choosen single spell and can direct to another target the next round					ASSIGNTOALL:NO
