SOURCELONG:Forgotten Realms Campaing Setting	SOURCESHORT:FRCS	SOURCEWEB:http://www.gozzilioni.net																								
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Aganazzar's Scorcher			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft-wide path to close range		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Path of fire deals 1d8/2 levels.	SOURCEPAGE:FRCS								
Analyze Portal			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M/DF	CASTTIME:1 minute	RANGE:60 ft.	TARGETAREA:A quarter circle emanating from you to the extreme of the range		DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Detects magic portals.	SOURCEPAGE:FRCS								
Anyspell			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:You can read and prepare up to a 2nd level arcane spell from a scroll or spellbook in a 3rd level domain spell slot.	SOURCEPAGE:FRCS								
Armor of Darkness			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Darkness	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:FRCS								
Blacklight			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Darkness	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A 20-ft-radius emanation centered on a creature, object or point in space		DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Creates a 20-ft. radius of supernatural darkness you can see trough	SOURCEPAGE:FRCS								
Claws of Darkness			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Your hands become reach melee touch attacks that deal 1d4 cold damage plus Slow. 	SOURCEPAGE:FRCS								
Cloak of Dark Power			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Protects subject from effects of sunlight, grants +4 resistance bonus on saves against light or darkness effects.	SOURCEPAGE:FRCS								
Create Magic Tatoo			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, F	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 day	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:FRCS								
Darkbolt			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Darkness	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One ray/2 caster levels (max 7)		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:You hurl one/two level beams of darkness dealing 2d8 damage/round and may daze target for 1 round.	SOURCEPAGE:FRCS								
Eagle's Splendor			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:target gains 1d4+1 enhancement bonus on CHA.	SOURCEPAGE:FRCS								
Elminster's Evasion			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Evocation			COMPS:V, S, M, F, XP	CASTTIME:at least 10 minutes	RANGE:Personal	TARGETAREA:You		DURATION:Until discharged	SAVEINFO:None	SPELLRES:No	DESC:Enhanced Contingency spell teleports you under six possible conditions.	SOURCEPAGE:FRCS		COST:1500	XPCOST:5000					
Fantastic Machine			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A 10-ft machine		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Create illusory many-armed machine that functions as Large animated object.	SOURCEPAGE:FRCS								
Fire Stride			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level, or until expended	SAVEINFO:None	SPELLRES:No	DESC:Multiple-use Dimension Door that works only through large fires.	SOURCEPAGE:FRCS								
