SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE	HASSUBCLASS	HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Harper Scout	HD:6	TYPE:Prestige	ABB:Hrp	MAXLEVEL:5	SOURCEPAGE:FRCS	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	EXCLASS:Ex Harper Scout		
CLASS:Harper Scout	PREALIGN:LG,LN,NG,TN,CG,CN	PRESKILL:1,Diplomacy=8	PRESKILL:2,Bluff=4,Knowledge (Local)=4	PRESKILL:2,Sense Motive=2,Survival=2	PRESKILL:1,TYPE.Perform=5	PREFEAT:2,Alertness,Iron Will	PRETEXT:The candidate must be sponsored by a member in good standing of the Harpers and win approval from High Harpers.					
CLASS:Harper Scout	STARTSKILLPTS:4	CSKILL:Appraise|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Speak Language|Survival|Swim|Tumble										
CLASS:Harper Scout	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3	BONUS:CASTERLEVEL|Harper Scout|CL							
1		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies	AUTO:FEAT|Simple Weapon Proficiency									
1		AUTO:FEAT|Armor Proficiency (Light)										
#												
1				ABILITY:Special Ability|AUTOMATIC|Basic Harper Favored Enemy|Harper Scout Favored Enemy			BONUS:VAR|HarperScoutFavoredEnemyLVL|CL					
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Harper Knowledge|Harper Scout Harper Knowledge			BONUS:VAR|HarperScoutHarperKnowledgeLVL|CL					
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Deneyr's Eye (scout)|Harper Skill Focus								
3	CAST:0,1,0			ABILITY:Special Ability|AUTOMATIC|Tymora's Smile (scout)								
4	CAST:0,1,1			ABILITY:Special Ability|AUTOMATIC|Lliira's Heart								
5	CAST:0,1,1,0			ABILITY:Special Ability|AUTOMATIC|Craft Harper Item								
#
CLASS:Ex Harper Scout	HD:6	TYPE:Prestige	ABB:xHrp	MAXLEVEL:5	SOURCEPAGE:FRCS	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	VISIBLE:NO		
CLASS:Ex Harper Scout	STARTSKILLPTS:4	CSKILL:Appraise|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Speak Language|Survival|Swim|Tumble										
CLASS:Ex Harper Scout	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3	BONUS:CASTERLEVEL|Ex Harper Scout|CL							
1		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies	AUTO:FEAT|Simple Weapon Proficiency									
1		AUTO:FEAT|Armor Proficiency (Light)										
#												
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Harper Knowledge|Harper Scout Harper Knowledge			BONUS:VAR|HarperScoutHarperKnowledgeLVL|CL					
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Harper Skill Focus								
3	CAST:0,1,0											
4	CAST:0,1,1											
5	CAST:0,1,1,0			ABILITY:Special Ability|AUTOMATIC|Craft Harper Item
