SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
Faerunian Region	CATEGORY:Regional	TYPE:Regional	VISIBLE:YES								BONUS:ABILITYPOOL|Faerun Region|1								COST:0													SOURCEPAGE:PGtF
#																																
Human Aglarond Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Aglarond		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Aglarond Region													SOURCEPAGE:PGtF
Human Altumbel Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Altumbel		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Altumbel Region													SOURCEPAGE:PGtF
Human Amn Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Amn		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Amn Region													SOURCEPAGE:PGtF
Human Anauroch Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Anauroch		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Anauroch Region													SOURCEPAGE:PGtF
Human Calimshan Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Calimshan		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Calimshan Region													SOURCEPAGE:PGtF
Human Chessenta Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Chessenta		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Chessenta Region													SOURCEPAGE:PGtF
Human Chult Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Chult		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Chult Region													SOURCEPAGE:PGtF
Human Cormyr Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Cormyr		PRERACE:1,RACESUBTYPE=Human													TEMPLATE:Human Cormyr Region													SOURCEPAGE:PGtF
