SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
#Naturewatch.MOD	CLASSES:Hathran=0	
#Low-Light Vision.MOD	CLASSES:Hathran=1	
#Scatterspray.MOD	CLASSES:Hathran=1	
#Flame Dagger.MOD	CLASSES:Hathran=2	
#Moonbeam.MOD	CLASSES:Hathran=2	
#One with the Land.MOD	CLASSES:Hathran=2	
#Flashburst.MOD	CLASSES:Hathran=3	
#Moon Blade.MOD	CLASSES:Hathran=3	
#Land Womb.MOD	CLASSES:Hathran=4	
#Planar Ally (Lesser).MOD	CLASSES:Hathran=4	
#Planar Binding (Lesser).MOD	CLASSES:Hathran=5	
#Moon Path.MOD	CLASSES:Hathran=5	
#Planar Ally.MOD	CLASSES:Hathran=6	
#Planar Binding.MOD	CLASSES:Hathran=6	
#Planar Ally (Greater).MOD	CLASSES:Hathran=8	
Low-Light Vision.MOD	CLASSES:Assassin=1	
Silent Portal.MOD	CLASSES:Assassin=1	
Amorphous Form.MOD	CLASSES:Assassin=3	
Spider Poison.MOD	CLASSES:Assassin=3	
Faith Healing.MOD	CLASSES:Blackguard=1	
Mark of the Outcast.MOD	CLASSES:Blackguard=1	
Strategic Charge.MOD	CLASSES:Blackguard=1	
Summon Undead I.MOD	CLASSES:Blackguard=1	
Clarity of Mind.MOD	CLASSES:Blackguard=2	
Hand of Divinity.MOD	CLASSES:Blackguard=2	
Summon Undead II.MOD	CLASSES:Blackguard=2	
Know Greatest Enemy.MOD	CLASSES:Blackguard=3	
Summon Undead III.MOD	CLASSES:Blackguard=3	
Summon Undead IV.MOD	CLASSES:Blackguard=4	
Weapon of Deity.MOD	CLASSES:Blackguard=4	
Cause Fear.MOD	CLASSES:Celebrant of Sharess=1	
Charm Person.MOD	CLASSES:Celebrant of Sharess=1	
Confusion (Lesser).MOD	CLASSES:Celebrant of Sharess=1	
Daze.MOD	CLASSES:Celebrant of Sharess=1	
Disguise Self.MOD	CLASSES:Celebrant of Sharess=1	
Hypnotism.MOD	CLASSES:Celebrant of Sharess=1	
Lullaby.MOD	CLASSES:Celebrant of Sharess=1	
Ray of Hope.MOD	CLASSES:Celebrant of Sharess=1	
Read Magic.MOD	CLASSES:Celebrant of Sharess=1	
Remove Fear.MOD	CLASSES:Celebrant of Sharess=1	
Sleep.MOD	CLASSES:Celebrant of Sharess=1	
Tasha's Hideous Laughter.MOD	CLASSES:Celebrant of Sharess=1	
Alter Self.MOD	CLASSES:Celebrant of Sharess=2	
Calm Emotions.MOD	CLASSES:Celebrant of Sharess=2	
Cat's Grace.MOD	CLASSES:Celebrant of Sharess=2	
Daze Monster.MOD	CLASSES:Celebrant of Sharess=2	
Detect Thoughts.MOD	CLASSES:Celebrant of Sharess=2	
Eagle's Splendor.MOD	CLASSES:Celebrant of Sharess=2	
Ease Pain.MOD	CLASSES:Celebrant of Sharess=2	
Elation.MOD	CLASSES:Celebrant of Sharess=2	
Enthrall.MOD	CLASSES:Celebrant of Sharess=2	
Faerinaal's Hymn.MOD	CLASSES:Celebrant of Sharess=2	
Heroism.MOD	CLASSES:Celebrant of Sharess=2	
Hold Person.MOD	CLASSES:Celebrant of Sharess=2	
Hypnotic Pattern.MOD	CLASSES:Celebrant of Sharess=2	
Rage.MOD	CLASSES:Celebrant of Sharess=2	
Scare.MOD	CLASSES:Celebrant of Sharess=2	
Suggestion.MOD	CLASSES:Celebrant of Sharess=2	
Tongues.MOD	CLASSES:Celebrant of Sharess=2	
Yoke of Mercy.MOD	CLASSES:Celebrant of Sharess=2	
Charm Monster.MOD	CLASSES:Celebrant of Sharess=3	
Confusion.MOD	CLASSES:Celebrant of Sharess=3	
Crushing Despair.MOD	CLASSES:Celebrant of Sharess=3	
Deep Slumber.MOD	CLASSES:Celebrant of Sharess=3	
Fear.MOD	CLASSES:Celebrant of Sharess=3	
Glibness.MOD	CLASSES:Celebrant of Sharess=3	
Good Hope.MOD	CLASSES:Celebrant of Sharess=3	
Geas (Lesser).MOD	CLASSES:Celebrant of Sharess=3	
Refreshment.MOD	CLASSES:Celebrant of Sharess=3	
Slow.MOD	CLASSES:Celebrant of Sharess=3	
War Cry.MOD	CLASSES:Celebrant of Sharess=3	
Blinding Beauty.MOD	CLASSES:Celebrant of Sharess=4	
Break Enchantment.MOD	CLASSES:Celebrant of Sharess=4	
Dominate Person.MOD	CLASSES:Celebrant of Sharess=4	
Hold Monster.MOD	CLASSES:Celebrant of Sharess=4	
Suggestion (Mass).MOD	CLASSES:Celebrant of Sharess=4	
Modify Memory.MOD	CLASSES:Celebrant of Sharess=4	
Rainbow Pattern.MOD	CLASSES:Celebrant of Sharess=4	
