SOURCELONG:Forgotten Realm Campaing Setting	SOURCESHORT:FRCS	SOURCEWEB:http://www.gozzilioni.net						
#FOLLOWERALIGN(deprecato)								
# usare prealign su DOMAIN)								
#	ALIGN:	DEITYWEAP:	DESC: ()	DOMAINS:	TYPE:	PANTHEON:	SOURCEPAGE:FRCS	
#Mosat	ALIGN:CG	DEITYWEAP:Tiger claws	DESC:The CONTENTed One	DOMAINS:Chaos,Knowledge,Animal|PREALIGN:NG,CG,CN	TYPE:	PANTHEON:BoD	SOURCEPAGE:not recorded yet	SYMBOL:a Kitten on a keyboard
Akadi	ALIGN:TN	DEITYWEAP:Flail (Heavy)	DESC:Akadi (F)	DOMAINS:Air,Illusion,Travel,Trickery|PREALIGN:LN,NG,TN,NE,CN	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Auril	ALIGN:NE	DEITYWEAP:Battleaxe	DESC:Auril ()	DOMAINS:Air,Cold FR,Evil,Storm|PREALIGN:LE,TN,NE,CE	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Azuth	ALIGN:LN	DEITYWEAP:Quarterstaff	DESC:Azuth (M)	DOMAINS:Illusion,Magic,Knowledge,Law,Spell|PREALIGN:LG,LN,LE,TN	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Bane	ALIGN:LE	DEITYWEAP:Morningstar	DESC:Bane (M)	DOMAINS:Destruction,Evil,Hatred,Law,Tyranny FR|PREALIGN:LN,LE,NE	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Beshaba	ALIGN:CE	DEITYWEAP:Scourge	DESC:Beshaba ()	DOMAINS:Chaos,Evil,Fate FR,Luck,Trickery|PREALIGN:NE,CN,CE	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Chauntea	ALIGN:NG	DEITYWEAP:Scythe	DESC:Chauntea ()	DOMAINS:Animal,Earth,Good,Plant,Protection,Renewal|PREALIGN:LG,NG,TN,CG	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Cyric	ALIGN:CE	DEITYWEAP:Longsword	DESC:Cyric (M)	DOMAINS:Chaos,Destruction,Evil,Illusion,Trickery|PREALIGN:NE,CN,CE	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Deneir	ALIGN:NG	DEITYWEAP:Longsword	DESC:Deneir ()	DOMAINS:Good,Knowledge,Protection,Rune FR|PREALIGN:LG,NG,TN,CG	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Eldath	ALIGN:NG	DEITYWEAP:Net	DESC:Eldath ()	DOMAINS:Family,Good,Plant,Protection,Water|PREALIGN:LG,NG,TN,CG	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Finder Wyvernspur	ALIGN:CN	DEITYWEAP:Sword (Bastard)	DESC:Finder Wyvernspur ()	DOMAINS:Chaos,Charm FR,Renewal,Scalykind FR|PREALIGN:TN,CG,CN,CE	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Garagos	ALIGN:CN	DEITYWEAP:Longsword	DESC:Garagos ()	DOMAINS:Chaos,Destruction,Strength FR,War|PREALIGN:TN,CG,CN,CE	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Gargauth	ALIGN:LE	DEITYWEAP:Dagger	DESC:Gargauth ()	DOMAINS:Charm FR,Evil,Law,Trickery|PREALIGN:LN,LE,NE	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Gond	ALIGN:TN	DEITYWEAP:Warhammer	DESC:Gond ()	DOMAINS:Craft,Earth,Fire,Knowledge,Metal,Planning FR|PREALIGN:LN,NG,TN,NE,CN	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Grumbar	ALIGN:TN	DEITYWEAP:Warhammer	DESC:Grumbar ()	DOMAINS:Cavern,Earth,Metal,Time|PREALIGN:LN,NG,TN,NE,CN	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Gwaeron Windstorm	ALIGN:NG	DEITYWEAP:Greatsword	DESC:Gwaeron Windstorm ()	DOMAINS:Animal,Good,Knowledge,Plant,Travel|PREALIGN:LG,NG,TN,CG	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Helm	ALIGN:LN	DEITYWEAP:Sword (Bastard)	DESC:Helm ()	DOMAINS:Law,Planning FR,Protection,Strength FR|PREALIGN:LG,LN,LE,TN	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Hoar	ALIGN:LN	DEITYWEAP:Javelin	DESC:Hoar ()	DOMAINS:Fate FR,Law,Retribution,Travel|PREALIGN:LG,LN,LE,TN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Ilmater	ALIGN:LG	DEITYWEAP:Unarmed Strike	DESC:Ilmater ()	DOMAINS:Good,Healing,Law,Strength FR,Suffering|PREALIGN:LG,LN,NG	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Istishia	ALIGN:TN	DEITYWEAP:Warhammer	DESC:Istishia ()	DOMAINS:Destruction,Ocean,Storm,Travel,Water|PREALIGN:LN,NG,TN,NE,CN	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Jergal	ALIGN:LN	DEITYWEAP:Scythe	DESC:Jergal ()	DOMAINS:Fate FR,Law,Repose FR,Rune FR,Suffering|PREALIGN:LG,LN,LE,TN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Kelemvor	ALIGN:LN	DEITYWEAP:Sword (Bastard)	DESC:Kelemvor (M)	DOMAINS:Fate FR,Law,Protection,Repose FR,Travel|PREALIGN:LG,LN,LE,TN	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Kossuth	ALIGN:TN	DEITYWEAP:Chain (Spiked)	DESC:Kossuth ()	DOMAINS:Destruction,Fire,Renewal,Suffering|PREALIGN:LG,LN,LE,NG,TN,NE,CN	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Lathander	ALIGN:NG	DEITYWEAP:Mace (Light)|Mace (Heavy)	DESC:Lathander ()	DOMAINS:Good,Nobility FR,Protection,Renewal,Strength FR,Sun|PREALIGN:LG,NG,TN,CG	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Lliira	ALIGN:CG	DEITYWEAP:Shuriken	DESC:Lliira ()	DOMAINS:Chaos,Charm FR,Family,Good,Travel|PREALIGN:NG,CG,CN	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Loviatar	ALIGN:LE	DEITYWEAP:Scourge	DESC:Loviatar (F)	DOMAINS:Evil,Law,Retribution,Strength FR,Suffering|PREALIGN:LN,LE,NE	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Lurue	ALIGN:CG	DEITYWEAP:Shortspear	DESC:Lurue ()	DOMAINS:Animal,Chaos,Good,Healing|PREALIGN:NG,CG,CN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Malar	ALIGN:CE	DEITYWEAP:Claw Bracer	DESC:Malar ()	DOMAINS:Animal,Chaos,Evil,Moon,Strength FR|PREALIGN:NE,CN,CE	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Mask	ALIGN:NE	DEITYWEAP:Longsword	DESC:Mask ()	DOMAINS:Darkness FR,Evil,Luck,Trickery|PREALIGN:LE,TN,NE,CE	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Mielikki	ALIGN:NG	DEITYWEAP:Scimitar	DESC:Mielikki ()	DOMAINS:Animal,Good,Plant,Travel|PREALIGN:LG,NG,TN,CG	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Milil	ALIGN:NG	DEITYWEAP:Rapier	DESC:Milil ()	DOMAINS:Charm FR,Good,Knowledge,Nobility FR|PREALIGN:LG,NG,TN,CG	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Mystra	ALIGN:NG	DEITYWEAP:Shuriken	DESC:Mystra (F)	DOMAINS:Good,Illusion,Knowledge,Magic,Rune FR,Spell|PREALIGN:LG,LN,LE,NG,TN,CG	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Nobanion	ALIGN:LG	DEITYWEAP:Pick (Heavy)	DESC:Nobanion ()	DOMAINS:Animal,Good,Law,Nobility FR|PREALIGN:LG,LN,NG	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Oghma	ALIGN:TN	DEITYWEAP:Longsword	DESC:Oghma ()	DOMAINS:Charm FR,Knowledge,Luck,Travel,Trickery|PREALIGN:LN,NG,TN,NE,CN	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Red Knight	ALIGN:LN	DEITYWEAP:Longsword	DESC:Red Knight (M)	DOMAINS:Law,Nobility FR,Planning FR,War|PREALIGN:LG,LN,LE,TN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Savras	ALIGN:LN	DEITYWEAP:Dagger	DESC:Savras ()	DOMAINS:Fate FR,Knowledge,Law,Magic,Spell|PREALIGN:LG,LN,LE,TN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Selune	ALIGN:CG	DEITYWEAP:Mace (Heavy)	DESC:Selune (F)	DOMAINS:Chaos,Good,Moon,Protection,Travel|PREALIGN:NG,CG,CN	TYPE:Intermediate	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Shar	ALIGN:NE	DEITYWEAP:Chakram	DESC:Shar (F)	DOMAINS:Cavern,Darkness FR,Evil,Knowledge|PREALIGN:LE,TN,NE,CE	TYPE:Greater	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Sharess	ALIGN:CG	DEITYWEAP:Claw Bracer	DESC:Sharess ()	DOMAINS:Chaos,Charm FR,Good,Travel,Trickery|PREALIGN:NG,CG,CN	TYPE:Demigod	PANTHEON:Faerun	SOURCEPAGE:FRCS	
Shaundakul	ALIGN:CN	DEITYWEAP:Greatsword	DESC:Shaundakul ()	DOMAINS:Air,Chaos,Portal,Protection,Trade,Travel|PREALIGN:TN,CG,CN,CE	TYPE:Lesser	PANTHEON:Faerun	SOURCEPAGE:FRCS	
