SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
# Class Name req	Requirements	FINE											
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE	HASSUBCLASS	HASSUBSTITUTIONLEVEL	ALLOWBASECLASS	
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Black Blood Hunter	HD:8	TYPE:Prestige	ABB:Bbh	MAXLEVEL:10	SOURCEPAGE:PGtF	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE				
CLASS:Black Blood Hunter	PRETEMPLATE:1,Lycanthrope	PRESKILL:2,Jump=6,Survival=6	PRESKILL:1,Knowledge (Nature)=4	PREFEAT:2,Power Attack,Vile Natural Attack	PREDEITY:1,Malar					HASSUBCLASS:YES		ALLOWBASECLASS:NO	
CLASS:Black Blood Hunter	STARTSKILLPTS:4	CSKILL:Climb|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Spot|Survival|Swim											
#													
SUBCLASS:Black Blood Hunter ~ Natural	COST:0	PROHIBITCOST:0	PRETEMPLATE:1,Natural Lycanthrope										
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Improved Damage Reduction ~ Natural|Black Blood Improved Damage Reduction			BONUS:VAR|BlackBloodImprovedDamageReductionLVL|CL						
SUBCLASS:Black Blood Hunter ~ Afflicted	COST:0	PROHIBITCOST:0	PRETEMPLATE:1,Afflicted Lycanthrope	PRESKILL:1,Control Shape=6									
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Improved Damage Reduction ~ Afflict			BONUS:VAR|BlackBloodImprovedDamageReductionLVL|CL						
#													
1				ABILITY:Special Ability|AUTOMATIC|Greater Curse of Lycanthropy|Black Blood Greater Curse of Lycanthropy|Lycanthropic Spell|Wild Items			BONUS:VAR|BlackBloodGreaterCurseOfLycanthropyLVL|CL						
2				ABILITY:Special Ability|AUTOMATIC|Animal Form|Black Blood Animal Form|Wild Empathy			BONUS:VAR|BlackBloodAnimalFormLVL|CL	BONUS:VAR|WildEmpathy|CL					
3				ABILITY:Special Ability|AUTOMATIC|Improved Hybrid Form									
4				ABILITY:Special Ability|AUTOMATIC|Improved Vile Natural Attack									
5													
6				ABILITY:Special Ability|AUTOMATIC|Faster Change									
7													
8													
9				ABILITY:Special Ability|AUTOMATIC|Quick Change									
10													
#													
CLASS:Celebrant of Sharess	HD:8	TYPE:Prestige	ABB:Cel	MAXLEVEL:10	SOURCEPAGE:PGtF	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE				
CLASS:Celebrant of Sharess	PREALIGN:CG	PRESKILL:1,Diplomacy=7	PRESKILL:1,TYPE.Perform=7	PREFEAT:2,Sacred Vow,Vow of Purity	PREDEITY:1,Sharess								
CLASS:Celebrant of Sharess	STARTSKILLPTS:6	CSKILL:Bluff|Concentration|TYPE.Craft|Diplomacy|Disguise|Gather Information|Jump|Listen|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Spellcraft|Tumble											
CLASS:Celebrant of Sharess	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Celebrant of Sharess|CL								
1	CAST:0,0	KNOWN:0,2		ABILITY:Special Ability|AUTOMATIC|Feline Familiar|Fascinate (Sp)|Flirtation			BONUS:VAR|FFLevel|CL*2	BONUS:VAR|FlirtationPerDay|CL		DEFINE:FlirtationPerDay|0			
2	CAST:0,1	KNOWN:0,3		ABILITY:Special Ability|AUTOMATIC|Fury of the Tigress|Celebrant of Sharess Fury of Tigress			BONUS:VAR|CelebrantOfSharessFuryOfTigressTimesLVL|CL						
3	CAST:0,2,0	KNOWN:0,3,2											
4	CAST:0,3,1	KNOWN:0,4,3		ABILITY:Special Ability|AUTOMATIC|Flirtation ~ Suggestion (Sp)									
5	CAST:0,3,2,0	KNOWN:0,4,3,2		ABILITY:Special Ability|AUTOMATIC|Pounce of the Tigress									
6	CAST:0,3,3,1	KNOWN:0,4,4,3											
7	CAST:0,3,3,2,0	KNOWN:0,4,4,3,2		ABILITY:Special Ability|AUTOMATIC|Sanctuary (Sp)									
8	CAST:0,3,3,3,1	KNOWN:0,4,4,4,3		ABILITY:Special Ability|AUTOMATIC|Swiftness of the Tigress|Celebrant of Sharess Swiftness of the Tigress			BONUS:VAR|CelebrantOfSharessSwiftnessOfTheTigressLVL|CL						
9	CAST:0,3,3,3,2	KNOWN:0,4,4,4,3											
10	CAST:0,3,3,3,3	KNOWN:0,4,4,4,4		ABILITY:Special Ability|AUTOMATIC|Inspire Desire (Sp)									
#													
CLASS:Harper Paragon	HD:10	TYPE:Prestige	ABB:Hap	MAXLEVEL:10	SOURCEPAGE:PGtF	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE				
CLASS:Harper Paragon	PRESKILL:1,Diplomacy=8	PRESKILL:1,TYPE.Perform=5	PRESKILL:1,Sense Motive=4	PRESKILL:1,Survival=2	PREFEAT:2,Sacred Vow,Vow of Obedience	PREABILITY:1,CATEGORY=Special Ability,Favored Enemy (Humanoid (Goblinoid)),Favored Enemy (Humanoid (Gnoll)),Favored Enemy (Humanoid (Orc)),Favored Enemy (Humanoid (Reptilian)),Favored Enemy (Outsider (Evil)),Favored Enemy (Undead),Favored Enemy (Church of Bane),Favored Enemy (Cult of the Dragon),Favored Enemy (Iron Throne),Favored Enemy (Malaugryms),Favored Enemy (Red Wizards),Favored Enemy (Zhentarim)							
#CLASS:Harper Paragon	STARTSKILLPTS:4	CSKILL:Appraise|bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|Pick Pockets|TYPE.Profession|Sense Motive|Speak Language|Survival|Swim|Tumble											
CLASS:Harper Paragon	STARTSKILLPTS:4	CSKILL:Appraise|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|Sleight of Hand|TYPE.Profession|Sense Motive|Speak Language|Survival|Swim|Tumble											
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Aura of Good|Detect Evil			BONUS:VAR|AuraGood|CL	BONUS:VAR|DetectEvilLVL|CL					
