SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net																																								
																																										
# BASICS																																										
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat			Special Ability	Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat		Save checks bonus			Combat bonus	Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	ADDSPELLLEVEL
#Ambidexterity.MOD	TYPE:Reaver																																									
Two-Weapon Fighting.MOD	TYPE:Reaver
Combat Reflexes.MOD	TYPE:Reaver																																									
Dodge.MOD	TYPE:Reaver																																									
Exotic Weapon Proficiency.MOD	TYPE:Reaver																																									
Improved Critical.MOD	TYPE:Reaver																																									
Improved Initiative.MOD	TYPE:Reaver																																									
Quick Draw.MOD	TYPE:Reaver																																									
Weapon Finesse.MOD	TYPE:Reaver																																									
Weapon Focus.MOD	TYPE:Reaver																																									
#																																										
Amazing Agilities	TYPE:General											PRESKILL:1,Balance=12							PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Bargain	TYPE:General														PRESTAT:1,CHA=13				PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Duck and Wave	TYPE:General														PRESTAT:1,DEX=15				PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Eagles Eyes	TYPE:General																		PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Improved Underwater Combat	TYPE:General			PREATT:6		PREFEAT:1,Underwater Combat													PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Inspire Loyalty	TYPE:General					PREFEAT:1,Leadership													PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Master Helmsman	TYPE:General											PRESKILL:1,Knowledge (Seamanship)=8							PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Rapid Loader	TYPE:General											PRESKILL:1,Profession (Siege Engineer)=4							PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Sea Legs (SoB)	TYPE:General																		PRETEXT:Must spend a great deal of time at sea. Must have spent at least 3 months at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Steady Captain	TYPE:General					PREFEAT:1,Leadership						PRESKILL:1,Knowledge (Seamanship)=6							PRETEXT:Must spend a great deal of time at sea. Must be captain of a ship					DESC:See Text.																	SOURCEPAGE:SoB	
Superior Helmsmann	TYPE:General											PRESKILL:1,Knowledge (Seamanship)=6							PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Strong Swimmer	TYPE:General											PRESKILL:1,Swim=8			PRESTAT:1,STR=13				PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB	
Underwater Combat	TYPE:General														PRESTAT:1,DEX=13				PRETEXT:Must spend a great deal of time at sea					DESC:See Text.																	SOURCEPAGE:SoB
