SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Dragon (Fang Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,60,Fly,90	FACE:2.5	REACH:0			PREALIGN:CN	LANGAUTO:Draconic										BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Fang Dragon:3	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:5	LEVELADJUSTMENT:3	CR:2	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|3
Dragon (Fang Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,60,Fly,120	FACE:5	REACH:5			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6											MONSTERCLASS:Fang Dragon:6	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:8	LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,120	FACE:5	REACH:5			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|4		BONUS:STAT|CON|4		BONUS:STAT|WIS|4							AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6											MONSTERCLASS:Fang Dragon:9	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:11	LEVELADJUSTMENT:5	CR:4	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,120	FACE:10	REACH:5			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|8		BONUS:STAT|CON|6		BONUS:STAT|WIS|4							AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Fang Dragon:12	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:14	LEVELADJUSTMENT:5	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,120	FACE:10	REACH:5			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|10		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Fang Dragon:15	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:17		CR:8	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,120	FACE:10	REACH:5			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Fang Dragon:18	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:20		CR:10	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,120	FACE:15	REACH:10			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|16		BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6											MONSTERCLASS:Fang Dragon:21	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:23		CR:12	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,120	FACE:15	REACH:10			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6											MONSTERCLASS:Fang Dragon:24	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:26		CR:15	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Fang Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,150	FACE:20	REACH:15			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|20		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d8|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Fang Dragon:27	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:29		CR:17	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Fang Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,150	FACE:20	REACH:15			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|22		BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d8|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Fang Dragon:30	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:32		CR:18	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
