SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Bloodscaled Fury Draconic Fury	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BloodscaledFuryDraconicFuryLVL|0					BONUS:VAR|DraconicFuryPower|((BloodscaledFuryDraconicFuryLVL+2)/4)	BONUS:VAR|TirelessRage|1|PREVARGTEQ:BloodscaledFuryDraconicFuryLVL,9																	SOURCEPAGE:Drac
Bloodscaled Fury Scales Of Blood	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BloodScaledFuryScalesOfBloodLVL|0					BONUS:VAR|ScalesOfBloodDR|5	BONUS:VAR|ScalesOfBloodPower|((BloodScaledFuryScalesOfBloodLVL-4)/3)	BONUS:VAR|ScalesOfBloodSR|BloodScaledFuryScalesOfBloodLVL																SOURCEPAGE:Drac
Ashardalon Resistance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AshardalonResistanceLVL|0					BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|5+((AshardalonResistanceLVL/4)*5)																		SOURCEPAGE:Drac
Dispassionate Watcher Stunning Rebuke	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DispassionateWatcherStunningRebukeLVL|0					BONUS:VAR|StunningRebukeDC|DispassionateWatcherStunningRebukeLVL	BONUS:VAR|StunningRebukePerDay|1																	SOURCEPAGE:Drac
Dragon Ascendant Awesome Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DragonAscendantAwesomeAuraLVL|0					BONUS:VAR|AwesomeAuraRange|30*DragonAge	BONUS:VAR|AwesomeAuraDC|DragonAscendantAwesomeAuraLVL/2																	SOURCEPAGE:Drac
Elemental Master Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AllowImprovedTurning|1	DEFINE:AllowExtraTurning|1				BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																	SOURCEPAGE:Drac
Elemental Master Summon Elemental	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SummonElementalPerDay|3																		SOURCEPAGE:Drac
Elemental Master Energy Focus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalMasterEnergyFocusLVL|0					BONUS:VAR|EnergyFocusBonus|ElementalMasterEnergyFocusLVL/3																		SOURCEPAGE:Drac
Elemental Master Energy Burst	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalMasterEnergyBurstLVL|0					BONUS:VAR|EnergyBurstRadius|5*ElementalMasterEnergyBurstLVL	BONUS:VAR|EnergyBurstDice|ElementalMasterEnergyBurstLVL	BONUS:VAR|EnergyBurstDamageDie|8	BONUS:VAR|EnergyBurstDC|ElementalMasterEnergyBurstLVL															SOURCEPAGE:Drac
Elemental Master Energy Storm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalMasterEnergyStormLVL|0					BONUS:VAR|EnergyStormRadius|5*ElementalMasterEnergyStormLVL	BONUS:VAR|EnergyStormDamage|2*ElementalMasterEnergyStormLVL	BONUS:VAR|EnergyStormDuration|ElementalMasterEnergyStormLVL																SOURCEPAGE:Drac
