SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																													
																																															
###Block: Masterwork																																															
																																															
# Modifier Name	Unique Key	Naming Format	Naming Option	Type	Cost	Visible	Type granted	Source Page	Required Type														Prohibited Type							Bonus Armor Modifiers				Modify the item cost									Weapon prop. bonus				Apply to both heads
Dragoncrafted	KEY:DRAGCRFTW			TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon	COST:300	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	!PRETYPE:1,Masterwork,Mithral,Adamantine,Darkwood	BONUS:ITEMCOST|TYPE=Ammunition|6		BONUS:WEAPON|TOHIT|1|TYPE=Enhancement	ASSIGNTOALL:YES		REPLACES:MWORKW																															
Dragoncrafted	KEY:DRAGCRFTA_LT			TYPE:BaseMaterial.MasterworkQuality.Armor	COST:3000	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Armor	!PRETYPE:1,BaseMaterial	BONUS:EQMARMOR|ACCHECK|2|TYPE=Enhancement			ASSIGNTOALL:YES		REPLACES:MWORKA																															
Dragoncrafted	KEY:DRAGCRFTA_MED			TYPE:BaseMaterial.MasterworkQuality.Armor	COST:6000	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Armor	!PRETYPE:1,BaseMaterial	BONUS:EQMARMOR|ACCHECK|2|TYPE=Enhancement			ASSIGNTOALL:YES	ARMORTYPE:Medium|Light	REPLACES:MWORKA																															
Dragoncrafted	KEY:DRAGCRFTA_HVY			TYPE:BaseMaterial.MasterworkQuality.Armor	COST:11000	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Armor	!PRETYPE:1,BaseMaterial	BONUS:EQMARMOR|ACCHECK|2|TYPE=Enhancement			ASSIGNTOALL:YES	ARMORTYPE:Heavy|Medium	REPLACES:MWORKA																															
Dragoncrafted	KEY:DRAGCRFTA_SHLD			TYPE:BaseMaterial.MasterworkQuality.Shield	COST:3000	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Shield	!PRETYPE:1,BaseMaterial	BONUS:EQMARMOR|ACCHECK|2|TYPE=Enhancement			ASSIGNTOALL:YES		REPLACES:MWORKA																															
Dragoncrafted	KEY:DRAGCRFTI			TYPE:BaseMaterial.MasterworkQuality.Instrument	COST:95	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Instrument	!PRETYPE:1,BaseMaterial				ASSIGNTOALL:YES		REPLACES:MWORKI																															
Dragoncrafted	KEY:DRAGCRFTT			TYPE:BaseMaterial.MasterworkQuality.Tools	COST:50	VISIBLE:QUALIFY	ITYPE:Masterwork.Dragoncrafted	SOURCEPAGE:Drac	PRETYPE:1,Tools	!PRETYPE:1,Masterwork,Mithral,Adamantine,Darkwood	BONUS:ITEMCOST|TYPE=Thief|20			ASSIGNTOALL:YES		REPLACES:MWORKT																															
																																															
Black Dragon Skin	KEY:DRAGCRFTA_MET_BLK			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BlackDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|5																																			
Green Dragon Skin	KEY:DRAGCRFTA_MET_GRN			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.GreenDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|5																																			
