SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Blood Scaled Fury	HD:12	TYPE:NPC.Monster.Prestige.Dragon	ABB:BlSF	MAXLEVEL:12	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	EXCLASS:Ex Blood Scaled Fury	
CLASS:Blood Scaled Fury	PRERACE:1,RACETYPE=Dragon	PREALIGN:CG,CN,CE	PREATT:22	PREFEAT:3,Power Attack,Shock Wave,Wingstorm	PRESKILL:1,Intimidate=14	PREABILITY:1,CATEGORY=Special Ability,Rage	PREABILITY:1,CATEGORY=Special Ability,Frightful Presence	PREVARGTEQ:RageTimes,3		
CLASS:Blood Scaled Fury	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Listen|Swim|Spot|Survival									
1				ABILITY:Special Ability|AUTOMATIC|Fearsome Presence			BONUS:VAR|FearsomePresence|CL				
2				ABILITY:Special Ability|AUTOMATIC|Draconic Fury|Bloodscaled Fury Draconic Fury			BONUS:VAR|BloodscaledFuryDraconicFuryLVL|CL				
3				ABILITY:Special Ability|AUTOMATIC|Scales of Blood|Bloodscaled Fury Scales Of Blood			BONUS:VAR|BloodScaledFuryScalesOfBloodLVL|CL				
4			VFEAT:Rend								
5				ABILITY:Special Ability|AUTOMATIC|Extended Fury			BONUS:VAR|RageDuration|3				
6											
7											
8				ABILITY:Special Ability|AUTOMATIC|Incite Rage							
9							BONUS:VAR|TirelessRage|1				
10											
11											
12				ABILITY:Special Ability|AUTOMATIC|Blinding Speed							
#											
CLASS:Ex Blood Scaled Fury	HD:12	TYPE:NPC.Monster.Prestige.Dragon	ABB:XBlSF	MAXLEVEL:12	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	VISIBLE:NO	
CLASS:Ex Blood Scaled Fury	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Listen|Swim|Spot|Survival									
#											
CLASS:Disciple of Ashardalon	HD:8	TYPE:NPC.Monster.Prestige	ABB:DoAs	MAXLEVEL:12	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE		
