SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Abyssal Drake			STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150	FACE:15	REACH:10	VISION:Low-Light|Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing.Poison,*1,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4	ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Breath Weapon ~ Flame Strike|Poison|Rend	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Immunity To Sleep|Immunity To Paralysis|Scent|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Vulnerability To Cold				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Evil|Fire	TYPE:Outsider					HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:5	CR:9	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|120	DEFINE:BreathWeaponCone|60	DEFINE:BreathWeaponDice|10	DEFINE:BreathWeaponDamageDie|6	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:ElectricitydResistanceBonus|20	BONUS:VAR|Maneuverability|2
Dragonkin		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:L	MOVE:Walk,20,Fly,40	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Draconic	LANGBONUS:Common,Dwarven,Gnoll,Goblin,Orc	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|Longspear						LEGS:2	HANDS:2				NATURALATTACKS:Foreclaw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Rake	ABILITY:Special Ability|AUTOMATIC|Detect Magic				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Reptilian	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|4
Dragonnel			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')		PREALIGN:TN	AUTO:LANG|Draconic		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Roar	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis|Scent				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Training ~ Dragonnel				MONSTERCLASS:Dragon:6	RACETYPE:Dragon		TYPE:Dragon					HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:3	CR:4	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|3
Elemental Drake (Air Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,120	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')|Blindsense (60')			AUTO:LANG|Draconic|Auran		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4				MONCSKILL:Bluff|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Move Silently|Spot					VFEAT:Blind Fight				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Air Mastery|Blinding Sandstorm	ABILITY:Special Ability|AUTOMATIC|Gaseous Form (Su)|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Air Drake Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon					HITDICEADVANCEMENT:19,24	LEVELADJUSTMENT:3	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|4
Elemental Drake (Earth Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Burrow,20,Fly,60	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')|Tremorsense (60')			AUTO:LANG|Draconic|Terran		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Tremor|Earth Mastery	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Earth Drake Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon					HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	CR:11	SOURCEPAGE:Drac		DEFINE:TremorPerDay|1							BONUS:VAR|Maneuverability|2
Elemental Drake (Fire Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Ignan		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Search|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2				MONCSKILL:Bluff|Climb|Diplomacy|Intimidate|Jump|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Heat	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Vulnerability To Cold|Immunity To Sleep|Immunity To Paralysis				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:14	RACETYPE:Dragon	RACESUBTYPE:Fire	TYPE:Dragon					HITDICEADVANCEMENT:19,29,39,42	LEVELADJUSTMENT:3	CR:10	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|3
Elemental Drake (Ice Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,110,Swim,20	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Auran|Aquan		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Climb|2|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|8		BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Escape Artist|Hide|Listen|Search|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Freezing Touch ~ Ice Drake	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Vulnerability To Fire|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Ice Drake Skill	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Cold|Water	TYPE:Dragon					HITDICEADVANCEMENT:19,24	LEVELADJUSTMENT:3	CR:7	SOURCEPAGE:Drac		DEFINE:FreezingTouch|1	DEFINE:FreezingTouchStrDamage|1						BONUS:VAR|Maneuverability|3
Elemental Drake (Magma Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,10,Fly,60	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')|Tremorsense (60')			AUTO:LANG|Draconic|Ignan|Terran		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Hide|2|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2				MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Burn	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Vulnerability To Cold|Immunity To Sleep|Immunity To Paralysis				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:16	RACETYPE:Dragon	RACESUBTYPE:Fire|Earth	TYPE:Dragon					HITDICEADVANCEMENT:19,29,39,51	LEVELADJUSTMENT:3	CR:13	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Elemental Drake (Ooze Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Burrow,10,Fly,50,Swim,20	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Aquan|Terran		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|2|TYPE=Racial				BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4				MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Acid|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Amphibious|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Ooze Drake Skill	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Earth|Water	TYPE:Dragon					HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	CR:12	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Elemental Drake (Smoke Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,120	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Auran|Ignan		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently,Search|2|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|8	BONUS:STAT|CON|6		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Escape Artist|Hide|Listen|Move Silently|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Hazy Cloud of Smokes|Breath Weapon ~ Incendiary Cloud	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Vulnerability To Cold|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Smoke Drake Skill	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Air|Fire	TYPE:Dragon					HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	CR:9	SOURCEPAGE:Drac		DEFINE:BreathWeaponCloud|30	DEFINE:BreathWeaponCloudDuration|1	DEFINE:BreathWeaponDice|2	DEFINE:BreathWeaponDamageDie|6				BONUS:VAR|Maneuverability|4
